"scenario","network","pattern","ipd","n_arm","spread","method","par","declined","failed","width","n_attempted","convergence","convergence_mcse","bias","bias_mcse","empse","empse_mcse","mse","mse_mcse","modse","modse_mcse","relerror_modse","relerror_modse_mcse","coverage","coverage_mcse","becoverage","becoverage_mcse","rejection","rejection_mcse","n_used","truth","coverage_uncond","cov_err_pp","std_bias"
144,"bundled","rho1","all",400,"wide","joint-split","gWB",0,0,0.390158952421347,2000,1,0,-0.000400327207251472,0.00226459603746996,0.10127581362719,0.00160171169273239,0.0102518222925093,0.000326228500996177,0.0995538662013774,4.65254105720335e-05,-1.70025533653213,1.5553227413266,0.9425,0.00520546587732549,0.9425,0.00520546587732549,0.9445,0.00511955808639769,2000,-0.356675,0.9425,-0.749999999999995,-0.00395284118600252
144,"bundled","rho1","all",400,"wide","shared-info","gWA",0,0,0.348211118617217,2000,1,0,-0.000638422798016791,0.00201189589531554,0.0899747197115669,0.00142298102035336,0.00809181004575047,0.000258251478725103,0.088850713986876,4.18949923173793e-05,-1.24924615302408,1.56247097240109,0.9525,0.00475624589355933,0.952,0.00477995815881269,0.995,0.00157718102955875,2000,0.405465,0.9525,0.250000000000006,-0.00709557973687933
144,"bundled","rho1","all",400,"wide","shared-info","gWB",0,0,0.366327169817747,2000,1,0,0.00122908681796774,0.00214401496069986,0.0958832639380285,0.0015164266717444,0.00919051415766402,0.000287398831025879,0.0934772799258126,4.81586239643017e-05,-2.50928463779763,1.54266692023858,0.943,0.00518415856238985,0.9445,0.00511955808639769,0.9585,0.00445969449626317,2000,-0.356675,0.943,-0.700000000000001,0.0128185750827394
144,"bundled","rho1","all",400,"wide","shared-sandwich","gWA",0,0,0.322262645590234,2000,1,0,-0.000638422798016791,0.00201189589531554,0.0899747197115669,0.00142298102035336,0.00809181004575047,0.000258251478725103,0.0841540846872376,0.000412731174112483,-6.46918939340801,1.54871570764644,0.913,0.0063020234845643,0.912,0.00633466652634533,0.994,0.0017268468374468,2000,0.405465,0.913,-3.69999999999999,-0.00709557973687933
144,"bundled","rho1","all",400,"wide","shared-sandwich","gWB",0,0,0.330394377471986,2000,1,0,0.00122908681796774,0.00214401496069986,0.0958832639380285,0.0015164266717444,0.00919051415766402,0.000287398831025879,0.0864404397228382,0.000438842726383307,-9.84825070336928,1.49743978061445,0.892,0.0069403169956422,0.8915,0.00695441406590088,0.965,0.00410944035119139,2000,-0.356675,0.892,-5.79999999999999,0.0128185750827394
145,"bundled","rho1","four",100,"narrow","ipd-anchored","gWA",0,0,1.26131606549502,2000,1,0,0.00852887821044507,0.00725372171691129,0.324396296977603,0.00513043858488062,0.105253082777563,0.0033045959117439,0.322389164577557,0.000454936669597117,-0.61872851778696,1.57799303571184,0.955,0.00463546114210873,0.956,0.00458606585212206,0.2415,0.00957020767799738,2000,0.405465,0.955,0.5,0.0262915399772086
145,"bundled","rho1","four",100,"narrow","ipd-anchored","gWB",0,0,1.24657589872233,2000,1,0,-0.0043389057601641,0.00740240597189761,0.331045659004269,0.00523560052360893,0.109555258834594,0.00343651900701436,0.318532851159131,0.000412742597875845,-3.77978309178706,1.52685464981817,0.944,0.00514120608417908,0.9445,0.00511955808639769,0.218,0.00923244279700665,2000,-0.356675,0.944,-0.6,-0.0131066686487139
145,"bundled","rho1","four",100,"narrow","joint-split","gWA",0,0,1.24959028744318,2000,1,0,0.00823338495051018,0.00719903269075762,0.321950529375545,0.00509175793225864,0.103668105921255,0.00324486098521083,0.319383843428099,0.000448109971208417,-0.79722991989607,1.57508758377469,0.9535,0.00470838348055891,0.9545,0.00465992220965114,0.249,0.00966951394848779,2000,0.405465,0.9535,0.350000000000006,0.025573447468714
145,"bundled","rho1","four",100,"narrow","joint-split","gWB",0,0,1.2333925980089,2000,1,0,-0.00437058185515243,0.00733059609170692,0.327834223533019,0.00518481057129424,0.10744064246619,0.0033876541537584,0.315147800722929,0.000402034088669495,-3.8697676750677,1.52527047950042,0.945,0.00509779364038993,0.9465,0.00503178646208283,0.2235,0.00931524959407959,2000,-0.356675,0.945,-0.5,-0.0133316827268714
145,"bundled","rho1","four",100,"narrow","shared-info","gWA",0,0,1.18814596477846,2000,1,0,0.00961888098908686,0.00686590622328182,0.30705266084794,0.00485614303702517,0.0943267187370154,0.0029176106111165,0.303633236304985,0.000408845571026606,-1.11362804462017,1.5695798538086,0.9575,0.00451075104611194,0.9575,0.00451075104611194,0.279,0.0100289331436599,2000,0.405465,0.9575,0.750000000000006,0.0313264863509858
