"cell","d1","d2","median_A","effect","method","bias","mcse","rmse","predicted","n_ok"
12,3,0,16,0,"midpoint",-0.036862870320659,0.0213870371478012,0.676983621523995,-1.01426045666221,1000
12,3,0,16,0,"interval",-0.0466661502153202,0.0211181057421282,0.66910847051991,-1.01426045666221,1000
13,0,3,16,0,"naive",1.01394402574353,0.0201820921059049,1.19791152105256,1.01426045666221,1000
13,0,3,16,0,"midpoint",0.0515132745059057,0.0208500948231114,0.661018415120884,1.01426045666221,1000
13,0,3,16,0,"interval",0.0713434515964583,0.0201491614886236,0.640837427177621,1.01426045666221,1000
14,1,3,16,0,"naive",0.676204050868039,0.020079291633577,0.927376241319602,0.676173637774808,1000
14,1,3,16,0,"midpoint",0.0307526131224073,0.0209492003773417,0.662854320848419,0.676173637774808,1000
14,1,3,16,0,"interval",0.0377551065703573,0.0205479614597022,0.650555108735146,0.676173637774808,1000
15,2,3,16,0,"naive",0.312122333255518,0.0201687775225523,0.709783881251417,0.338086818887404,1000
15,2,3,16,0,"midpoint",-0.013157748764212,0.0212656173806993,0.672270319478899,0.338086818887404,1000
15,2,3,16,0,"interval",-0.0075703902622155,0.0207479553875772,0.655823517358788,0.338086818887404,1000
16,3,3,16,0,"naive",-0.0114293170094526,0.0200236822976131,0.63299094321348,0,1000
16,3,3,16,0,"midpoint",-0.0119640832796768,0.0213910933243749,0.676213305124373,0,1000
16,3,3,16,0,"interval",-0.0137435462309586,0.0210757378895278,0.666281791679385,0,1000
17,0,0,8,3,"naive",-0.0160906183129999,0.019005241605212,0.6009134024647,0,1000
17,0,0,8,3,"midpoint",-0.0160906183129999,0.019005241605212,0.6009134024647,0,1000
17,0,0,8,3,"interval",-0.0138309975342986,0.0184822336625679,0.584330954758855,0,1000
18,1,0,8,3,"naive",-0.487481939268874,0.0198642267568214,0.794878329214676,-0.462505905790401,1000
18,1,0,8,3,"midpoint",-0.0371662162715308,0.0199785958396371,0.632555511448428,-0.462505905790401,1000
18,1,0,8,3,"interval",-0.0395245471847732,0.0195448067603576,0.619015073854087,-0.462505905790401,1000
19,2,0,8,3,"naive",-0.959279123910408,0.0192141441047404,1.1353548290796,-0.925011811580803,1000
19,2,0,8,3,"midpoint",-0.0589434530303241,0.0194300163389617,0.616945978228664,-0.925011811580803,1000
19,2,0,8,3,"interval",-0.0547997475503198,0.0189473358106241,0.601369724144653,-0.925011811580803,1000
20,3,0,8,3,"naive",-1.43380112863168,0.0190372605472479,1.55494068964708,-1.3875177173712,1000
20,3,0,8,3,"midpoint",-0.0805465254573635,0.0193407899833892,0.616587247506497,-1.3875177173712,1000
20,3,0,8,3,"interval",-0.0562335491520297,0.0190009725476157,0.603189964147055,-1.3875177173712,1000
21,0,3,8,3,"naive",1.25954841452872,0.0192332452116203,1.39857427839595,1.24391132334564,1000
21,0,3,8,3,"midpoint",0.06116381434105,0.0197621729402091,0.627609709950509,1.24391132334564,1000
21,0,3,8,3,"interval",0.0627515609158186,0.0195596669597307,0.621398221273105,1.24391132334564,1000
22,1,3,8,3,"naive",0.805617464872669,0.019562497207673,1.01554325629738,0.781405417555241,1000
22,1,3,8,3,"midpoint",0.059619830779833,0.0202479316961215,0.642746671290523,0.781405417555241,1000
22,1,3,8,3,"interval",0.0622851154044672,0.0199115465247189,0.632418098192948,0.781405417555241,1000
23,2,3,8,3,"naive",0.291147254926055,0.0189472694865677,0.665887938039577,0.31889951176484,1000
23,2,3,8,3,"midpoint",-0.00891761710557317,0.0197626830581981,0.624702010491379,0.31889951176484,1000
23,2,3,8,3,"interval",0.000442931975404014,0.0196071522649509,0.619722660316501,0.31889951176484,1000
24,3,3,8,3,"naive",-0.136746330849278,0.0182876037877218,0.593971021890074,-0.143606394025562,1000
24,3,3,8,3,"midpoint",0.0189111373352724,0.019174882183166,0.606354732600376,-0.143606394025562,1000
24,3,3,8,3,"interval",0.0429993336056896,0.0192130695605592,0.608787189900938,-0.143606394025562,1000
25,0,0,16,3,"naive",0.0202984394463824,0.0204711821267767,0.647350179589032,0,1000
25,0,0,16,3,"midpoint",0.0202984394463824,0.0204711821267767,0.647350179589032,0,1000
25,0,0,16,3,"interval",0.0134748962653394,0.0199084296483769,0.629389226411345,0,1000
26,1,0,16,3,"naive",-0.33634950960112,0.0204701799233684,0.729205204615199,-0.338086818887404,1000
26,1,0,16,3,"midpoint",-0.0154345826368362,0.0207029259290163,0.654538583447521,-0.338086818887404,1000
26,1,0,16,3,"interval",-0.0302556665232116,0.020245940707513,0.640627522335533,-0.338086818887404,1000
27,2,0,16,3,"naive",-0.646471370846983,0.0205864798636156,0.917226571435136,-0.676173637774808,1000
27,2,0,16,3,"midpoint",-0.00239959921139986,0.0210543100184055,0.665467087433446,-0.676173637774808,1000
27,2,0,16,3,"interval",-0.015705848454445,0.0205424420433644,0.649474100219211,-0.676173637774808,1000
28,3,0,16,3,"naive",-0.996948407274236,0.0207596668710048,1.19349860979942,-1.01426045666221,1000
28,3,0,16,3,"midpoint",-0.032732734107272,0.0214427066348716,0.678528783504041,-1.01426045666221,1000
28,3,0,16,3,"interval",-0.042619496113753,0.0208745628134591,0.661156597735656,-1.01426045666221,1000
29,0,3,16,3,"naive",0.897173027033691,0.0203025403013349,1.10304142713746,0.900685314379362,1000
29,0,3,16,3,"midpoint",0.0443215575600386,0.0210113939542063,0.665583651908237,0.900685314379362,1000
29,0,3,16,3,"interval",0.0578874429300717,0.0206066241136568,0.653880172855212,0.900685314379362,1000
30,1,3,16,3,"naive",0.544971299124536,0.0198752712142062,0.831640004029327,0.562598495491958,1000
30,1,3,16,3,"midpoint",0.0112071119861018,0.0208345874891377,0.658613357870731,0.562598495491958,1000
30,1,3,16,3,"interval",0.0278254631044443,0.0200997980674331,0.635902615866781,0.562598495491958,1000
31,2,3,16,3,"naive",0.246754342285379,0.0203294130874907,0.688301864651001,0.224511676604554,1000
31,2,3,16,3,"midpoint",0.0370534297830523,0.0215006319322128,0.680579057104824,0.224511676604554,1000
31,2,3,16,3,"interval",0.0435262392629324,0.0210954581991793,0.668182513824675,0.224511676604554,1000
32,3,3,16,3,"naive",-0.138293402065529,0.0197561194869905,0.63956158263448,-0.11357514228285,1000
32,3,3,16,3,"midpoint",-0.0289498612711171,0.0212088504260005,0.670972142136829,-0.11357514228285,1000
32,3,3,16,3,"interval",-0.0174479544122687,0.0209427755284044,0.662167409421118,-0.11357514228285,1000
