"scenario","nS","nT","d","em_sd","kappa","rho_T","method","width","ess_median","ess_p05","fail_reason","n_attempted","convergence","convergence_mcse","bias","bias_mcse","empse","empse_mcse","mse","mse_mcse","modse","modse_mcse","relerror_modse","relerror_modse_mcse","coverage","coverage_mcse","becoverage","becoverage_mcse","rejection","rejection_mcse","n_used","truth","cov_err_pp","cov_err_pp_mcse"
203,2000,500,0.8,0.45,1,0.3,"joint-score",0.654874235383267,603.735333917002,465.113698192323,"",5000,1,0,0.000743759783113248,0.00243871170774723,0.172442958590709,0.00172460205473644,0.0297311798313387,0.00059265340709291,0.167443590880386,0.000164663525097346,-2.89914285348649,0.975789088560383,0.9408,0.0033375248313683,0.9406,0.00334280241713446,0.0592,0.0033375248313683,5000,0,-0.919999999999999,0.33375248313683
203,2000,500,0.8,0.45,1,0.3,"normal-recon",0.664706232303935,603.735333917002,465.113698192323,"",5000,1,0,0.000743759783113248,0.00243871170774723,0.172442958590709,0.00172460205473644,0.0297311798313387,0.00059265340709291,0.169944892611564,0.000164091486648642,-1.448633217361,0.990195093834968,0.9438,0.00325704037432759,0.9438,0.00325704037432759,0.0562,0.00325704037432759,5000,0,-0.619999999999998,0.325704037432759
203,2000,500,0.8,0.45,1,0.3,"reported-cov",0.664674505492666,603.735333917002,465.113698192323,"",5000,1,0,0.000743759783113248,0.00243871170774723,0.172442958590709,0.00172460205473644,0.0297311798313387,0.00059265340709291,0.169937598855352,0.000164254556792193,-1.45286288047526,0.990162081212396,0.944,0.00325158422926425,0.9438,0.00325704037432759,0.056,0.00325158422926425,5000,0,-0.6,0.325158422926425
203,2000,500,0.8,0.45,1,0.3,"target-fixed",0.655453991986483,603.735333917002,465.113698192323,"",5000,1,0,0.000743759783113248,0.00243871170774723,0.172442958590709,0.00172460205473644,0.0297311798313387,0.00059265340709291,0.167581478212136,0.000162427734240822,-2.81918172728208,0.976459024019524,0.9396,0.00336903072114221,0.9396,0.00336903072114221,0.0604,0.00336903072114221,5000,0,-1.04,0.336903072114221
204,2000,500,0.8,0.45,1,0.6,"joint-score",0.646285955492506,604.995155415267,452.561642586122,"imbalance",5000,0.9998,0.000199979998999889,0.000197711691520964,0.00239846222772835,0.169579930027525,0.00169613856191719,0.0287516391369955,0.000578799308441688,0.165331020050626,0.000180944296547906,-2.50555002364348,0.98095990870545,0.942788557711542,0.00328478562394344,0.942788557711542,0.00328478562394344,0.0572114422884577,0.00328478562394344,4999,0,-0.72114422884576,0.328478562394344
204,2000,500,0.8,0.45,1,0.6,"normal-recon",0.656951450223884,604.995155415267,452.561642586122,"imbalance",5000,0.9998,0.000199979998999889,0.000197711691520964,0.00239846222772835,0.169579930027525,0.00169613856191719,0.0287516391369955,0.000578799308441688,0.168039425763576,0.000179748049480413,-0.908423693593774,0.996765838926515,0.94618923784757,0.00319140561818221,0.94618923784757,0.00319140561818221,0.0538107621524305,0.00319140561818221,4999,0,-0.381076215243048,0.319140561818221
204,2000,500,0.8,0.45,1,0.6,"reported-cov",0.656040961482794,604.995155415267,452.561642586122,"imbalance",5000,0.9998,0.000199979998999889,0.000197711691520964,0.00239846222772835,0.169579930027525,0.00169613856191719,0.0287516391369955,0.000578799308441688,0.167809934759155,0.000180210445908656,-1.0437528002772,0.99544903448138,0.94618923784757,0.00319140561818221,0.946389277855571,0.00318580482666391,0.0538107621524305,0.00319140561818221,4999,0,-0.381076215243048,0.319140561818221
204,2000,500,0.8,0.45,1,0.6,"target-fixed",0.646706139346712,604.995155415267,452.561642586122,"imbalance",5000,0.9998,0.000199979998999889,0.000197711691520964,0.00239846222772835,0.169579930027525,0.00169613856191719,0.0287516391369955,0.000578799308441688,0.165424926992729,0.000178252848698337,-2.4501738113243,0.981339226522713,0.941388277655531,0.00332227108567168,0.941388277655531,0.00332227108567168,0.0586117223444689,0.00332227108567168,4999,0,-0.861172234446883,0.332227108567168
205,2000,500,0.8,0.9,0,0.3,"joint-score",0.695552435766653,600.731455822603,463.097948090089,"imbalance",5000,0.9996,0.000282786138274123,-0.000400256037015156,0.00268510057632685,0.189827305714283,0.00189884279545504,0.0360273564345339,0.000709594048892932,0.178033104582754,0.000212889339658863,-6.21312149332224,0.944829784495519,0.932172869147659,0.00355673760453187,0.932372949179672,0.00355186892673191,0.617246898759504,0.00687528477683367,4998,0.406120123334946,-1.78271308523409,0.355673760453186
205,2000,500,0.8,0.9,0,0.3,"normal-recon",0.695944874280935,600.731455822603,463.097948090089,"imbalance",5000,0.9996,0.000282786138274123,-0.000400256037015156,0.00268510057632685,0.189827305714283,0.00189884279545504,0.0360273564345339,0.000709594048892932,0.178127519938283,0.000212071098206042,-6.16338399366524,0.945272752985943,0.931972789115646,0.00356159737801497,0.932172869147659,0.00355673760453187,0.616446578631453,0.00687800564478292,4998,0.406120123334946,-1.80272108843537,0.356159737801497
205,2000,500,0.8,0.9,0,0.3,"reported-cov",0.695873896413016,600.731455822603,463.097948090089,"imbalance",5000,0.9996,0.000282786138274123,-0.000400256037015156,0.00268510057632685,0.189827305714283,0.00189884279545504,0.0360273564345339,0.000709594048892932,0.178110734159134,0.000212269788861834,-6.17222665151478,0.945197297133497,0.931972789115646,0.00356159737801497,0.932372949179672,0.00355186892673191,0.615646258503401,0.00688070681175449,4998,0.406120123334946,-1.80272108843537,0.356159737801497
205,2000,500,0.8,0.9,0,0.3,"target-fixed",0.671485186998572,600.731455822603,463.097948090089,"imbalance",5000,0.9996,0.000282786138274123,-0.000400256037015156,0.00268510057632685,0.189827305714283,0.00189884279545504,0.0360273564345339,0.000709594048892932,0.171899202695779,0.00021079459872404,-9.44442789779043,0.912608662809069,0.921368547418968,0.00380729663308059,0.92156862745098,0.00380286249752596,0.635454181672669,0.0068080079702132,4998,0.406120123334946,-2.86314525810324,0.380729663308059
206,2000,500,0.8,0.9,0,0.6,"joint-score",0.697185370142124,602.78179745427,451.93646845436,"",5000,1,0,-0.00647394277371155,0.00266390464990435,0.188366504238174,0.00188385343714566,0.0355167554659635,0.000729362597209652,0.178604343448271,0.000241615810068962,-5.18253541381185,0.95690539528333,0.9338,0.00351617860752266,0.934,0.00351123909752668,0.681,0.0065914945194546,5000,0.4430418515817,-1.62,0.351617860752266
206,2000,500,0.8,0.9,0,0.6,"normal-recon",0.701230086305661,602.78179745427,451.93646845436,"",5000,1,0,-0.00647394277371155,0.00266390464990435,0.188366504238174,0.00188385343714566,0.0355167554659635,0.000729362597209652,0.179621287238209,0.000239961768313543,-4.64266034735541,0.962139573308495,0.9358,0.00346636293541228,0.9358,0.00346636293541228,0.6766,0.00661532221437475,5000,0.4430418515817,-1.42,0.346636293541227
206,2000,500,0.8,0.9,0,0.6,"reported-cov",0.697622850383678,602.78179745427,451.93646845436,"",5000,1,0,-0.00647394277371155,0.00266390464990435,0.188366504238174,0.00188385343714566,0.0355167554659635,0.000729362597209652,0.178708007912734,0.000240591590187366,-5.1275020282945,0.957378127329785,0.9346,0.00349636496950762,0.9352,0.00348140661227613,0.6806,0.0065936884973435,5000,0.4430418515817,-1.54,0.349636496950762
206,2000,500,0.8,0.9,0,0.6,"target-fixed",0.673315290460894,602.78179745427,451.93646845436,"",5000,1,0,-0.00647394277371155,0.00266390464990435,0.188366504238174,0.00188385343714566,0.0355167554659635,0.000729362597209652,0.172521370780491,0.00023970065759245,-8.41186362817915,0.924770033360074,0.9238,0.00375216097735692,0.9228,0.00377465654066698,0.6994,0.00648443736957957,5000,0.4430418515817,-2.62,0.375216097735692
207,2000,500,0.8,0.9,0.5,0.3,"joint-score",0.71241453460663,602.00311520254,467.918088846757,"imbalance",5000,0.9998,0.000199979998999889,-0.00205702597379712,0.00273843781206155,0.193617430028889,0.00193656165135815,0.0374844415251981,0.000763524333177521,0.182295490188508,0.00020811118152678,-5.84758295711917,0.947826821105892,0.931786357271454,0.00356576096578313,0.931986397279456,0.00356091091301219,0.213442688537708,0.0057951443630973,4999,0.203060061667473,-1.82136427285456,0.356576096578313
207,2000,500,0.8,0.9,0.5,0.3,"normal-recon",0.730086063855052,602.00311520254,467.918088846757,"imbalance",5000,0.9998,0.000199979998999889,-0.00205702597379712,0.00273843781206155,0.193617430028889,0.00193656165135815,0.0374844415251981,0.000763524333177521,0.186788675476031,0.000207445551396404,-3.52693171882258,0.970853812725567,0.939187837567513,0.0033801026146097,0.938587717543509,0.00339565441377279,0.200440088017604,0.00566208297920054,4999,0.203060061667473,-1.08121624324865,0.33801026146097
207,2000,500,0.8,0.9,0.5,0.3,"reported-cov",0.730073542161648,602.00311520254,467.918088846757,"imbalance",5000,0.9998,0.000199979998999889,-0.00205702597379712,0.00273843781206155,0.193617430028889,0.00193656165135815,0.0374844415251981,0.000763524333177521,0.186787500297679,0.000207811411651785,-3.52753867778928,0.97086865068524,0.938387677535507,0.00340081783537353,0.93878775755151,0.00339048076776004,0.200240048009602,0.00565996477699272,4999,0.203060061667473,-1.16123224644928,0.340081783537353
207,2000,500,0.8,0.9,0.5,0.3,"target-fixed",0.706558926257045,602.00311520254,467.918088846757,"imbalance",5000,0.9998,0.000199979998999889,-0.00205702597379712,0.00273843781206155,0.193617430028889,0.00193656165135815,0.0374844415251981,0.000763524333177521,0.180795421486046,0.000206370546677967,-6.62234207990982,0.94002571903707,0.928385677135427,0.0036468893985836,0.927985597119424,0.00365627397763706,0.219643928785757,0.00585550613158882,4999,0.203060061667473,-2.16143228645729,0.36468893985836
208,2000,500,0.8,0.9,0.5,0.6,"joint-score",0.708577323664823,607.25874135149,458.039673430848,"",5000,1,0,0.000782615182785718,0.00269824356586741,0.190794632271781,0.00190813714597405,0.0363959236719078,0.000759484966709933,0.181430409401591,0.000230965042356908,-4.90801169754658,0.958688502715082,0.9342,0.00350629034736144,0.9346,0.00349636496950762,0.2448,0.00608067364689144,5000,0.22152092579085,-1.57999999999999,0.350629034736144
208,2000,500,0.8,0.9,0.5,0.6,"normal-recon",0.729458558154209,607.25874135149,458.039673430848,"",5000,1,0,0.000782615182785718,0.00269824356586741,0.190794632271781,0.00190813714597405,0.0363959236719078,0.000759484966709933,0.186730835157225,0.000228879672576462,-2.12993262240588,0.986122368449274,0.9408,0.0033375248313683,0.9408,0.0033375248313683,0.2248,0.00590364226558486,5000,0.22152092579085,-0.919999999999999,0.33375248313683
208,2000,500,0.8,0.9,0.5,0.6,"reported-cov",0.726176467340351,607.25874135149,458.039673430848,"",5000,1,0,0.000782615182785718,0.00269824356586741,0.190794632271781,0.00190813714597405,0.0363959236719078,0.000759484966709933,0.185900273647438,0.000229578913223696,-2.5652496435916,0.981846086145687,0.9402,0.00335332551357604,0.9398,0.00336380617753164,0.2288,0.0059405481228587,5000,0.22152092579085,-0.979999999999992,0.335332551357604
208,2000,500,0.8,0.9,0.5,0.6,"target-fixed",0.702621868473553,607.25874135149,458.039673430848,"",5000,1,0,0.000782615182785718,0.00269824356586741,0.190794632271781,0.00190813714597405,0.0363959236719078,0.000759484966709933,0.179903011257902,0.0002289461999099,-5.70855735520089,0.950612719801842,0.9324,0.0035504996831432,0.9328,0.00354073890593475,0.2524,0.00614319525979762,5000,0.22152092579085,-1.76,0.35504996831432
209,2000,500,0.8,0.9,1,0.3,"joint-score",0.74468801271487,604.174445853302,468.998243942997,"",5000,1,0,-0.000267124290894782,0.00281793831468386,0.199258329127835,0.00199278257950121,0.0396960123058579,0.000795153972892659,0.190480920430158,0.000203436666789695,-4.40503979738045,0.961481269859708,0.9364,0.0034512328232097,0.9362,0.00345628586780665,0.0636,0.0034512328232097,5000,0,-1.35999999999999,0.34512328232097
209,2000,500,0.8,0.9,1,0.3,"normal-recon",0.777480783104505,604.174445853302,468.998243942997,"",5000,1,0,-0.000267124290894782,0.00281793831468386,0.199258329127835,0.00199278257950121,0.0396960123058579,0.000795153972892659,0.198823146074466,0.000201908992398032,-0.218401436604054,1.00304722267609,0.9442,0.00324611644892786,0.9442,0.00324611644892786,0.0558,0.00324611644892786,5000,0,-0.579999999999992,0.324611644892786
209,2000,500,0.8,0.9,1,0.3,"reported-cov",0.777441456177595,604.174445853302,468.998243942997,"",5000,1,0,-0.000267124290894782,0.00281793831468386,0.199258329127835,0.00199278257950121,0.0396960123058579,0.000795153972892659,0.198816001702553,0.000202475672606735,-0.221986918799,1.00304031889585,0.9444,0.00324063697442339,0.9446,0.00323514574633045,0.0556,0.00324063697442339,5000,0,-0.559999999999994,0.324063697442339
