"scenario","nS","nT","d","em_sd","kappa","rho_T","method","reference","cov_diff","cov_diff_mcse","discordant","n"
24,500,200,0.4,0.9,0,0.6,"normal-recon","joint-score",0.00239999999999996,0.000979207843105844,24,5000
24,500,200,0.4,0.9,0,0.6,"reported-cov","joint-score",0.000800000000000023,0.00089435563396224,20,5000
25,500,200,0.4,0.9,0.5,0.3,"target-fixed","joint-score",-0.00379999999999991,0.00114765500042478,33,5000
25,500,200,0.4,0.9,0.5,0.3,"normal-recon","joint-score",0.00900000000000001,0.00136521060646334,47,5000
25,500,200,0.4,0.9,0.5,0.3,"reported-cov","joint-score",0.00860000000000005,0.00133611676136481,45,5000
26,500,200,0.4,0.9,0.5,0.6,"target-fixed","joint-score",-0.00480000000000003,0.00123101259132472,38,5000
26,500,200,0.4,0.9,0.5,0.6,"normal-recon","joint-score",0.00819999999999999,0.00127536347760158,41,5000
26,500,200,0.4,0.9,0.5,0.6,"reported-cov","joint-score",0.00719999999999998,0.00119567219587979,36,5000
27,500,200,0.4,0.9,1,0.3,"target-fixed","joint-score",0.00179999999999991,0.000999675947494987,25,5000
27,500,200,0.4,0.9,1,0.3,"normal-recon","joint-score",0.00900000000000001,0.00133558975737312,45,5000
27,500,200,0.4,0.9,1,0.3,"reported-cov","joint-score",0.00900000000000001,0.00133558975737312,45,5000
28,500,200,0.4,0.9,1,0.6,"target-fixed","joint-score",0.00380000000000003,0.00127949677608035,41,5000
28,500,200,0.4,0.9,1,0.6,"normal-recon","joint-score",0.0144000000000001,0.00168479316237929,72,5000
28,500,200,0.4,0.9,1,0.6,"reported-cov","joint-score",0.0136000000000001,0.00163798901095215,68,5000
29,500,200,0.8,0,0,0.3,"target-fixed","joint-score",-0.00819999999999999,0.00127536347760158,41,5000
29,500,200,0.8,0,0,0.3,"normal-recon","joint-score",-0.000799999999999912,0.000748245948869755,14,5000
29,500,200,0.8,0,0,0.3,"reported-cov","joint-score",-0.000599999999999934,0.000663270683808654,11,5000
30,500,200,0.8,0,0,0.6,"target-fixed","joint-score",-0.00640000000000007,0.00112774465194919,32,5000
30,500,200,0.8,0,0,0.6,"normal-recon","joint-score",-0.001,0.000916406023550697,21,5000
30,500,200,0.8,0,0,0.6,"reported-cov","joint-score",-0.000800000000000023,0.000748245948869755,14,5000
31,500,200,0.8,0.45,0,0.3,"target-fixed","joint-score",-0.0104000000000001,0.00143470136265357,52,5000
31,500,200,0.8,0.45,0,0.3,"normal-recon","joint-score",-0.001,0.000774467559036529,15,5000
31,500,200,0.8,0.45,0,0.3,"reported-cov","joint-score",-0.00120000000000009,0.000748139024513492,14,5000
32,500,200,0.8,0.45,0,0.6,"target-fixed","joint-score",-0.00959999999999994,0.00137897353129058,48,5000
32,500,200,0.8,0.45,0,0.6,"normal-recon","joint-score",-0.000799999999999912,0.0007999199959996,16,5000
32,500,200,0.8,0.45,0,0.6,"reported-cov","joint-score",-0.000399999999999956,0.00069279722863187,12,5000
33,500,200,0.8,0.45,0.5,0.3,"target-fixed","joint-score",-0.00800000000000001,0.00125984125984189,40,5000
33,500,200,0.8,0.45,0.5,0.3,"normal-recon","joint-score",0.00319999999999998,0.000936990928451284,22,5000
33,500,200,0.8,0.45,0.5,0.3,"reported-cov","joint-score",0.00219999999999998,0.000915986899469638,21,5000
34,500,200,0.8,0.45,0.5,0.6,"target-fixed","joint-score",-0.01000200040008,0.00143555572684065,52,4999
34,500,200,0.8,0.45,0.5,0.6,"normal-recon","joint-score",0.000800160032006447,0.000894534526552707,20,4999
34,500,200,0.8,0.45,0.5,0.6,"reported-cov","joint-score",0.000800160032006447,0.000800079995993997,16,4999
35,500,200,0.8,0.45,1,0.3,"target-fixed","joint-score",-0.00400080016003201,0.0011301815043933,32,4999
35,500,200,0.8,0.45,1,0.3,"normal-recon","joint-score",0.00500100020004002,0.00121473831603641,37,4999
35,500,200,0.8,0.45,1,0.3,"reported-cov","joint-score",0.00500100020004002,0.00121473831603641,37,4999
36,500,200,0.8,0.45,1,0.6,"target-fixed","joint-score",-0.00480000000000003,0.00112933254624136,32,5000
36,500,200,0.8,0.45,1,0.6,"normal-recon","joint-score",0.004,0.00109398354649419,30,5000
36,500,200,0.8,0.45,1,0.6,"reported-cov","joint-score",0.00439999999999996,0.00101790372825725,26,5000
37,500,200,0.8,0.9,0,0.3,"target-fixed","joint-score",-0.0197999999999999,0.00197017562668915,99,5000
37,500,200,0.8,0.9,0,0.3,"normal-recon","joint-score",-0.00159999999999993,0.00101955284316214,26,5000
37,500,200,0.8,0.9,0,0.3,"reported-cov","joint-score",-0.00119999999999998,0.000979648916704347,24,5000
38,500,200,0.8,0.9,0,0.6,"target-fixed","joint-score",-0.0176000000000001,0.00185958274889826,88,5000
38,500,200,0.8,0.9,0,0.6,"normal-recon","joint-score",0.001,0.0009998999949995,25,5000
38,500,200,0.8,0.9,0,0.6,"reported-cov","joint-score",-0.000400000000000067,0.000979779567045567,24,5000
39,500,200,0.8,0.9,0.5,0.3,"target-fixed","joint-score",-0.00719999999999998,0.00122867082654387,38,5000
39,500,200,0.8,0.9,0.5,0.3,"normal-recon","joint-score",0.005,0.00107470926301023,29,5000
