"a","b","c","bias","pop","bridge","scale"
0.8,0,-1,-0.00499951267345516,-0.0503904766710015,0.0453909639975464,0.5
0.9,0,-1,-0.00799913609767702,-0.056662539612951,0.048663403515274,0.5
1,0,-1,-0.0109954872660658,-0.062929651417174,0.0519341641511082,0.5
-1,0.1,-1,0.0414895395061384,0.0636893861097366,-0.0221998466035982,0.5
-0.9,0.1,-1,0.0384159914159923,0.0572780998037031,-0.0188621083877109,0.5
-0.8,0.1,-1,0.0353475899954099,0.0508769690103366,-0.0155293790149267,0.5
-0.7,0.1,-1,0.0322842309630509,0.0444857174091755,-0.0122014864461245,0.5
-0.6,0.1,-1,0.029225809342686,0.0381040668896669,-0.0088782575469809,0.5
-0.5,0.1,-1,0.0261722194779533,0.0317317376036421,-0.00555951812568878,0.5
-0.4,0.1,-1,0.0231233550471555,0.0253684480178991,-0.0022450929707436,0.5
-0.3,0.1,-1,0.020079109078217,0.0190139149670487,0.00106519411116829,0.5
-0.2,0.1,-1,0.0170393739636021,0.0126678537064443,0.00437152025715787,0.5
-0.1,0.1,-1,0.0140040414754052,0.00632997796531071,0.00767406351009448,0.5
0,0.1,-1,0.0109730027804446,0,0.0109730027804446,0.5
0.1,0.1,-1,0.00794614845545208,-0.00632236935259792,0.01426851780805,0.5
0.2,0.1,-1,0.00492336850231295,-0.0126374206215437,0.0175607891238567,0.5
0.3,0.1,-1,0.00190455236338868,-0.0189454456481798,0.0208499980115684,0.5
0.4,0.1,-1,-0.00111041106313775,-0.0252467375323774,0.0241363264692397,0.5
0.5,0.1,-1,-0.00412163340781269,-0.0315415905786613,0.0274199571708486,0.5
0.6,0.1,-1,-0.00712922681444503,-0.0378303002422392,0.0307010734277942,0.5
0.7,0.1,-1,-0.0101333039245594,-0.044113163074925,0.0339798591503657,0.5
0.8,0.1,-1,-0.0131339778618119,-0.0503904766710015,0.0372564988091896,0.5
0.9,0.1,-1,-0.0161313622163462,-0.056662539612951,0.0405311773966048,0.5
1,0.1,-1,-0.0191255710291062,-0.062929651417174,0.0438040803880678,0.5
-1,0.2,-1,0.0333008938893632,0.0636893861097366,-0.0303884922203734,0.5
-0.9,0.2,-1,0.0302312097272318,0.0572780998037031,-0.0270468900764713,0.5
-0.8,0.2,-1,0.0271665827258399,0.0508769690103366,-0.0237103862844966,0.5
-0.7,0.2,-1,0.0241069080858696,0.0444857174091755,-0.0203788093233058,0.5
-0.6,0.2,-1,0.0210520803255177,0.0381040668896669,-0.0170519865641492,0.5
-0.5,0.2,-1,0.0180019932953349,0.0317317376036421,-0.0137297443083072,0.5
-0.4,0.2,-1,0.0149565401931021,0.0253684480178991,-0.010411907824797,0.5
-0.3,0.2,-1,0.0119156135788171,0.0190139149670487,-0.00709830138823164,0.5
-0.2,0.2,-1,0.00887910538971551,0.0126678537064443,-0.00378874831672876,0.5
-0.1,0.2,-1,0.00584690695538564,0.00632997796531071,-0.000483071009925062,0.5
0,0.2,-1,0.0028189090129484,0,0.0028189090129484,0.5
0.1,0.2,-1,-0.000204998277717222,-0.00632236935259792,0.0061173710748807,0.5
