"cell","K","tau","method","bias","coverage","cov_mcse","width"
12,12,0.1,"twostep_hk",0.00106416512031315,0.9695,0.00384511053157123,0.555045909974338
12,12,0.1,"twostep_dl",0.00106416512031315,0.946,0.00505390937789747,0.494725340978766
12,12,0.1,"naive_hk",0.00108301533030417,0.5295,0.0111608635418591,0.187164724847304
12,12,0.1,"naive_dl",0.00108301533030417,0.546,0.011132924144177,0.19174263454645
13,2,0.2,"twostep_hk",0.00210679570427513,1,0,4.74535541037234
13,2,0.2,"naive_hk",0.00212775359121286,0.94,0.0053103672189407,3.29471344111012
13,2,0.2,"twostep_dl",0.00210679570427513,0.9095,0.00641520654383006,0.754579753214197
13,2,0.2,"naive_dl",0.00212775359121286,0.8265,0.00846751882194542,0.62935714515562
14,3,0.2,"naive_dl",0.00451653056566027,0.811,0.00875439889427024,0.507209610371267
14,3,0.2,"naive_hk",0.00451653056566027,0.9045,0.00657190041007927,0.986311332097422
14,3,0.2,"twostep_hk",0.00451696646467989,0.9995,0.000499874984371065,1.46542678001356
14,3,0.2,"twostep_dl",0.00451696646467989,0.9215,0.00601405645134796,0.675453131738179
15,4,0.2,"twostep_hk",0.00337426216481672,0.994,0.0017268468374468,1.02771452369904
15,4,0.2,"naive_dl",0.00337926317431037,0.779,0.00927790385809209,0.440297916348557
15,4,0.2,"twostep_dl",0.00337426216481672,0.9325,0.00560997994648822,0.635792035528547
15,4,0.2,"naive_hk",0.00337926317431037,0.8855,0.00712003335666344,0.665058774948356
16,6,0.2,"twostep_hk",-0.00182309589179543,0.988,0.00243474844696531,0.771475487475527
16,6,0.2,"twostep_dl",-0.00182309589179543,0.937,0.00543281694887652,0.588901205959514
16,6,0.2,"naive_hk",-0.00183835619792257,0.825,0.00849632273398322,0.458238019495616
16,6,0.2,"naive_dl",-0.00183835619792257,0.7525,0.00964996761652597,0.361979444046931
17,8,0.2,"twostep_dl",0.00636689973514105,0.9455,0.00507591124823908,0.561121624656028
17,8,0.2,"naive_hk",0.00635711706642786,0.7745,0.00934477795348825,0.369785734065802
17,8,0.2,"twostep_hk",0.00636689973514105,0.9785,0.00324328151722911,0.67667519290248
17,8,0.2,"naive_dl",0.00635711706642786,0.7075,0.0101721126124321,0.312946494058558
18,12,0.2,"naive_hk",-0.00289257062531673,0.691,0.0103324488868806,0.28499446962609
18,12,0.2,"naive_dl",-0.00289257062531673,0.639,0.0107396228984076,0.256235007643811
18,12,0.2,"twostep_dl",-0.00288645671495534,0.9565,0.00456112650559048,0.532413614842495
18,12,0.2,"twostep_hk",-0.00288645671495534,0.979,0.00320616593457045,0.597801948679523
