"cell","link","skew","summary","n_t","beta","method","bias","mcse","rmse"
17,"identity",1,"iqr",200,0.3,"normal",-0.0679458206962169,0.00041927164903328,0.0692260606784024
17,"identity",1,"iqr",200,0.3,"lognormal",0.00723391678679131,0.00149093860111516,0.0476760376547921
17,"identity",1,"iqr",200,0.3,"sample_exact",0.000277313158680923,0.000672355797051443,0.0212529329293354
18,"logit",1,"iqr",200,0.3,"normal",-0.0347567315994765,0.000521988402674378,0.0384737548481048
18,"logit",1,"iqr",200,0.3,"lognormal",-0.00171285500548671,0.000526123785090393,0.0167171559563948
18,"logit",1,"iqr",200,0.3,"sample_exact",0.000471076460317604,0.00040381728068452,0.0127721274975912
19,"identity",0,"range",200,0.3,"normal",0.00135784066113809,0.0014563209454012,0.0460499028943522
19,"identity",0,"range",200,0.3,"lognormal",-0.0115849336512843,0.00111646395902859,0.0371410280921602
19,"identity",0,"range",200,0.3,"sample_exact",-0.000441716990839168,0.000660847307589557,0.020892045344686
20,"logit",0,"range",200,0.3,"normal",-0.000267931182695382,0.000892662899572043,0.0282156338284072
20,"logit",0,"range",200,0.3,"lognormal",-0.0100426388747819,0.000668080831001033,0.0233824776344074
20,"logit",0,"range",200,0.3,"sample_exact",-0.000566062343043883,0.000459972695336255,0.0145493550424291
21,"identity",0.5,"range",200,0.3,"normal",0.22127130036367,0.00366274523927081,0.249726400986645
21,"identity",0.5,"range",200,0.3,"lognormal",0.0042315806715854,0.00100272869662434,0.0319744530707729
21,"identity",0.5,"range",200,0.3,"sample_exact",0.00179193243144858,0.000642479267518728,0.0203857266591379
22,"logit",0.5,"range",200,0.3,"normal",0.155384971145279,0.00153847612252065,0.162815942489075
22,"logit",0.5,"range",200,0.3,"lognormal",-0.00188491899671314,0.000603347918406956,0.0191629225735411
22,"logit",0.5,"range",200,0.3,"sample_exact",-0.000945186854781355,0.000459347949008252,0.0145493269916612
23,"identity",1,"range",200,0.3,"normal",0.43496714579807,0.00862706589686025,0.513369513748625
