"cell","no_est","bias","mcse","coverage","cov_mcse","fail","med_ratio","med_eess","med_essp","med_ess","risk","shift","direction","n","delta"
66,0,-0.0103753701734801,0.00910713775430779,0.949,0.00695693898205238,0.051,1.29695879553315,13.6538169938563,10.4908874534806,136.447302238464,0.1,0.3,"misaligned",300,-0.5
67,0.264,0.132890407753679,0.0387228042583936,0.964673913043478,0.00680454556920189,0.29,1.8068564326675,0.727907549747857,0.25003265505311,104.114099493401,0.005,0.6,"misaligned",300,-0.5
68,0.001,-0.0603026760940082,0.0220890189846699,0.920920920920921,0.00853806048279653,0.08,1.7788620355169,2.92642533853675,1.43543697857519,104.712147817992,0.02,0.6,"misaligned",300,-0.5
69,0,-0.0038281964453344,0.00942774542134937,0.946,0.00714730718522718,0.054,1.6827929373349,14.093880993548,8.10781569468656,104.39073804767,0.1,0.6,"misaligned",300,-0.5
70,0.125,-0.0463494492725358,0.0456716395483939,0.874285714285714,0.0112076608535225,0.235,2.34869474356757,0.863839439889635,0.141077061193833,67.7366247417234,0.005,0.9,"misaligned",300,-0.5
71,0.002,-0.0572746199604039,0.0227981656591382,0.911823647294589,0.00897565642979237,0.09,2.30624110201554,2.98572867434914,0.917721291983262,67.812660033656,0.02,0.9,"misaligned",300,-0.5
72,0,-0.00695308871366674,0.0102505073230995,0.942,0.00739161687318817,0.058,2.1421223447144,12.665813952975,5.23088342492519,67.5829573088778,0.1,0.9,"misaligned",300,-0.5
73,0.515,0.245054001485662,0.0341783106222057,0.997938144329897,0.00205972894888721,0.516,1.00409114553873,0,0,136.455954146027,0.005,0.3,"independent",300,-0.5
74,0.021,-0.0324866698779069,0.0245189439927338,0.97752808988764,0.00473688969384623,0.043,1.0003255140669,1.93019197540053,1.79044630260567,136.680143035679,0.02,0.3,"independent",300,-0.5
75,0,0.0134310317772004,0.0103163576546004,0.951,0.00682634602111555,0.049,1.00136185501829,10.6618717088972,10.6523858400296,136.622865237636,0.1,0.3,"independent",300,-0.5
76,0.499,0.300076439074323,0.0459717871457124,0.972055888223553,0.00736329007343415,0.513,1.00816560424008,0.5,0.068579046060158,104.377011515088,0.005,0.6,"independent",300,-0.5
77,0.02,-0.0277066283246795,0.0299705277330502,0.929591836734694,0.00817230601001571,0.089,1.01122219322097,1.65889603901067,1.35159378050529,104.194514303863,0.02,0.6,"independent",300,-0.5
78,0,-0.0319540137522779,0.011896269126695,0.943,0.00733150734842434,0.057,1.00283046547831,8.4479855777266,7.97543109579442,104.509721416778,0.1,0.6,"independent",300,-0.5
79,0.518,0.224308009653466,0.0647784263765216,0.925311203319502,0.0119742445192539,0.554,1.03060205960709,0,0,68.0507372927988,0.005,0.9,"independent",300,-0.5
80,0.029,-0.0842280787002817,0.0363388328645681,0.876416065911432,0.0105615232203039,0.149,1.02783526296066,1.38791317981717,0.755513706170454,67.7364213815265,0.02,0.9,"independent",300,-0.5
81,0,-0.0257588142608664,0.0146999056678902,0.93,0.00806845710157772,0.07,1.01929129110264,6.14858400485184,5.13542152898156,68.2376221826009,0.1,0.9,"independent",300,-0.5
82,0.111,0.0750257272721709,0.0281854161833718,0.978627671541057,0.00485046958115286,0.13,0.749025443725836,1.16707307176614,1.43345641387389,456.376439026696,0.005,0.3,"aligned",1000,-0.5
83,0,-0.0265431862521008,0.0153158961561415,0.951,0.00682634602111555,0.049,0.754901056748104,5.11515706995472,6.68246374588198,456.882238964856,0.02,0.3,"aligned",1000,-0.5
84,0,-0.0161530654506337,0.0063392929236214,0.952,0.00675988165576884,0.048,0.780302956242716,28.172860441833,36.0237016382395,456.560423301872,0.1,0.3,"aligned",1000,-0.5
85,0.248,0.213454479743424,0.0378778124072132,0.956117021276596,0.00746955370702528,0.281,0.577235089611109,0.726665195176851,0.834610968104051,348.058714347999,0.005,0.6,"aligned",1000,-0.5
86,0,-0.0450342651509842,0.0207045066760989,0.936,0.0077397674383666,0.064,0.584114977750142,3.12816051441243,4.89185166066737,347.878363633797,0.02,0.6,"aligned",1000,-0.5
87,0,-0.0123612999715221,0.00783903816076643,0.96,0.00619677335393187,0.04,0.623281618975333,17.0603665326998,27.2251827122632,348.410804681138,0.1,0.6,"aligned",1000,-0.5
88,0.373,0.108188535129026,0.0554133282524346,0.88835725677831,0.01257694918847,0.443,0.474900390878363,0.581072879220697,0.309496977988098,224.444274619255,0.005,0.9,"aligned",1000,-0.5
89,0.007,-0.0788602964233208,0.029251592615246,0.89828801611279,0.00959222244009805,0.108,0.483365724993798,1.94820670927936,2.87067867526967,224.061612284935,0.02,0.9,"aligned",1000,-0.5
90,0,-0.00574683489087645,0.0109228508734915,0.938,0.00762600813007697,0.062,0.52135097287947,9.31402044683147,17.1498559673708,224.731862964251,0.1,0.9,"aligned",1000,-0.5
91,0.024,-0.0162332723203871,0.0236237314759363,0.969262295081967,0.00552498965342892,0.054,1.3450439532922,2.15911410716618,1.56290573570061,456.862270162428,0.005,0.3,"misaligned",1000,-0.5
92,0,-0.0218920834604269,0.0112608727436152,0.944,0.00727076337120113,0.056,1.33689863983214,9.16328751988588,6.73985811714798,456.26684823263,0.02,0.3,"misaligned",1000,-0.5
93,0,-0.0015542716188367,0.00480636338721738,0.955,0.00655553201502365,0.045,1.29389181822333,46.6077585553541,35.9117503824471,457.032909238425,0.1,0.3,"misaligned",1000,-0.5
94,0.006,-0.0831637877823166,0.0245812353095056,0.930583501006036,0.00806149956976147,0.075,1.80996426820756,2.44985152759674,1.16607523287685,349.061121357127,0.005,0.6,"misaligned",1000,-0.5
95,0,0.00137140170369853,0.0102122425196374,0.965,0.00581162627841812,0.035,1.78446074070794,9.70898053481661,5.20189235194695,349.198497730496,0.02,0.6,"misaligned",1000,-0.5
96,0,0.00503693311323793,0.00481080245201648,0.954,0.00662449998113065,0.046,1.68787702190489,47.0312979781521,27.5217684840987,348.774751437743,0.1,0.6,"misaligned",1000,-0.5
97,0,-0.036615483628247,0.0243871462336725,0.904,0.00931579304192617,0.096,2.39919131197048,2.6170447377468,0.747779926021158,225.169821779595,0.005,0.9,"misaligned",1000,-0.5
98,0,-0.0121979130521352,0.0109601045890753,0.946,0.00714730718522718,0.054,2.35778685581171,9.09836414815248,3.27504736695148,224.824155737292,0.02,0.9,"misaligned",1000,-0.5
99,0,-0.00123433866904641,0.00567065593384978,0.947,0.00708456067798138,0.053,2.18480115279959,40.2299239228079,17.4821587914014,223.679950672832,0.1,0.9,"misaligned",1000,-0.5
100,0.042,-0.0140343468503171,0.0259420824457561,0.980167014613779,0.00450465290381082,0.061,1.00155967660995,1.56462700497944,1.50221993291949,456.284353128439,0.005,0.3,"independent",1000,-0.5
101,0,0.00885003539143812,0.0122247232096872,0.957,0.00641490451994416,0.043,1.00129101784904,6.90274963877388,6.82360856465184,456.449951459844,0.02,0.3,"independent",1000,-0.5
102,0,-0.00927723122267942,0.00563625828310449,0.949,0.00695693898205238,0.051,0.999319551220718,35.7272323878114,35.6701878261421,456.108630446615,0.1,0.3,"independent",1000,-0.5
103,0.054,0.00977546469464149,0.0317852757131478,0.945031712473573,0.00741026478606659,0.106,1.00419425663647,1.3828464880032,1.07247461124403,348.58816484098,0.005,0.6,"independent",1000,-0.5
104,0,-0.0125934210160698,0.0155547164087829,0.939,0.00756828910652864,0.061,1.00492362592898,5.42618282948059,5.03150523324062,348.623011368153,0.02,0.6,"independent",1000,-0.5
105,0,-0.0107887818298404,0.00632164206007484,0.947,0.00708456067798138,0.053,1.00220535938523,27.9070722332516,27.426260345961,348.493928658199,0.1,0.6,"independent",1000,-0.5
106,0.043,-0.0888386794129241,0.0391196739674978,0.898641588296761,0.0097558965413344,0.14,1.0179417185733,1.18194353561532,0.590060786598779,224.247994497182,0.005,0.9,"independent",1000,-0.5
107,0,-0.0762700087703362,0.0181824451684074,0.916,0.00877177291087725,0.084,1.01713877897388,4.02776948712053,3.10700711244004,224.170051514111,0.02,0.9,"independent",1000,-0.5
108,0,-0.019102703201755,0.00792332395526165,0.944,0.00727076337120113,0.056,1.00999942798801,19.2471169113521,17.3182602239202,224.404913839738,0.1,0.9,"independent",1000,-0.5
