"cell","sep","beta","position","sizes","sets","true_reversal","p_reversal","p_rev_mcse","corr","p_pred_corr","p_pred_indep"
97,0.5,0.6,"at_A","3to1","differing",TRUE,0.031,0.00548078461536302,0.959557606907556,0.0392500091796549,0.175203176551705
98,1,0.6,"at_A","3to1","differing",TRUE,0.006,0.00244213021765835,0.843280023336632,0.0104597312733847,0.0156195474353492
99,1.5,0.6,"at_A","3to1","differing",TRUE,0.007,0.00263647491928143,0.627804219345572,0.00646903864292396,0.0065269364209289
100,0.5,0.2,"outside","3to1","differing",FALSE,0.087,0.00891240708226459,0.958820350921753,0.081982704808929,0.433931465707995
101,1,0.2,"outside","3to1","differing",FALSE,0.18,0.01214907403879,0.825393767897848,0.176252176784923,0.447196248605449
102,1.5,0.2,"outside","3to1","differing",FALSE,0.264,0.0139392969693597,0.58329726661494,0.280910431747193,0.45529447247536
103,0.5,0.4,"outside","3to1","differing",FALSE,0.054,0.00714730718522718,0.96215177387722,0.0593225495931241,0.30421689697466
104,1,0.4,"outside","3to1","differing",FALSE,0.131,0.0106695360723885,0.841285350642212,0.129131730767762,0.31612963550792
105,1.5,0.4,"outside","3to1","differing",FALSE,0.22,0.0130996183150503,0.628699948361318,0.222503356894259,0.350806023859441
106,0.5,0.6,"outside","3to1","differing",FALSE,0.035,0.00581162627841812,0.964827048759687,0.0363052263253908,0.172095250810148
107,1,0.6,"outside","3to1","differing",FALSE,0.111,0.00993373041711924,0.830893738083773,0.0911203952543768,0.195838895270456
108,1.5,0.6,"outside","3to1","differing",FALSE,0.149,0.0112605062053178,0.655649019225809,0.165008562737711,0.256174419007782
109,0,0,"between","equal","common",FALSE,0.022,0.00463853425124791,0.993951813070218,0.0183292003800035,0.222268914137288
110,1,0,"between","equal","common",FALSE,0.206,0.0127892142057282,0.518194150416929,0.216182481311111,0.311277315171108
111,0,0.4,"between","equal","common",FALSE,0.064,0.00773976743836661,0.983113927505573,0.0585982721000547,0.499872978819164
