"cell","sep","beta","position","sizes","sets","method","bias_native","mcse","bias_FD","rmse_FD"
27,1.5,0.6,"outside","equal","common","sponsorB",0.00873392128585717,0.0132037359800255,-0.441266078714143,0.607354968210639
28,0.5,0.2,"between","3to1","common","average",0.000751666592656373,0.00693697940070921,0.000751666592656373,0.219258127615203
28,0.5,0.2,"between","3to1","common","transportD",-0.000178282093588499,0.00690524494170281,-0.000178282093588499,0.218253882168708
28,0.5,0.2,"between","3to1","common","sponsorA",0.00197002046082189,0.00699491948491663,0.0519700204608219,0.22711418434031
28,0.5,0.2,"between","3to1","common","sponsorB",-0.000466687275509146,0.00746003784807198,-0.0504666872755091,0.241129423867217
29,1,0.2,"between","3to1","common","average",-0.008415006841561,0.00786071672285419,-0.008415006841561,0.24859583437722
29,1,0.2,"between","3to1","common","transportD",-0.0105936898263662,0.00752312838351702,-0.0105936898263662,0.238019094776746
29,1,0.2,"between","3to1","common","sponsorA",-0.00673798441588694,0.0076199950007306,0.0932620155841131,0.258271297356403
29,1,0.2,"between","3to1","common","sponsorB",-0.0100920292672351,0.0103609287582303,-0.110092029267235,0.345487699920805
30,1.5,0.2,"between","3to1","common","transportD",0.00725026929379354,0.00886166970673536,0.00725026929379354,0.280184273659519
30,1.5,0.2,"between","3to1","common","average",0.000790985422720262,0.0106007420187827,0.000790985422720262,0.335058175956617
30,1.5,0.2,"between","3to1","common","sponsorB",0.0011485553918679,0.0155785853542955,-0.148851444608132,0.514399049261715
30,1.5,0.2,"between","3to1","common","sponsorA",0.000433415453572605,0.010571749986365,0.150433415453573,0.366442830959293
31,0.5,0.4,"between","3to1","common","average",0.00744772317971101,0.00716202730511048,0.00744772317971101,0.226492403988722
31,0.5,0.4,"between","3to1","common","sponsorB",0.00780905445767244,0.0077332779583123,-0.0921909455423276,0.261233525475822
31,0.5,0.4,"between","3to1","common","sponsorA",0.00708639190174957,0.00719811239721467,0.10708639190175,0.251452787996848
31,0.5,0.4,"between","3to1","common","transportD",0.0076254124872053,0.00712417253499227,0.0076254124872053,0.225302524152815
32,1,0.4,"between","3to1","common","transportD",-0.011954212178305,0.00770976923809592,-0.011954212178305,0.24397541751535
32,1,0.4,"between","3to1","common","sponsorA",-0.0104427542266725,0.00797977626237604,0.189557245773328,0.315507688961065
32,1,0.4,"between","3to1","common","average",-0.00910110170335223,0.00813547335956224,-0.00910110170335223,0.257298602618781
32,1,0.4,"between","3to1","common","sponsorB",-0.00775944918003199,0.0105978038679427,-0.207759449180032,0.394163826473394
33,1.5,0.4,"between","3to1","common","sponsorA",-0.00524822187728609,0.0112332633902386,0.294751778122714,0.461452739611092
33,1.5,0.4,"between","3to1","common","average",0.000409480628294148,0.0108589558424574,0.000409480628294148,0.343218840888488
33,1.5,0.4,"between","3to1","common","sponsorB",0.00606718313387439,0.015946001601878,-0.293932816866126,0.583452819815676
33,1.5,0.4,"between","3to1","common","transportD",0.00198033481938907,0.00925998454097459,0.00198033481938907,0.292686672247621
34,0.5,0.6,"between","3to1","common","average",-0.00395846392598577,0.00705581237401257,-0.00395846392598577,0.223047916837762
34,0.5,0.6,"between","3to1","common","sponsorA",0.000247455455411073,0.00708585084741231,0.150247455455411,0.269691250915501
34,0.5,0.6,"between","3to1","common","transportD",-0.00394697860130618,0.00702864969245185,-0.00394697860130618,0.222189318426389
34,0.5,0.6,"between","3to1","common","sponsorB",-0.00816438330738263,0.00774070824038252,-0.158164383307383,0.291332486423447
35,1,0.6,"between","3to1","common","average",-0.0134707055481566,0.00864792101450354,-0.0134707055481566,0.273666240598259
35,1,0.6,"between","3to1","common","sponsorA",-0.0151542052700559,0.00819903641046704,0.284845794729944,0.385089730630976
35,1,0.6,"between","3to1","common","sponsorB",-0.0117872058262573,0.0116071209010956,-0.311787205826257,0.48145798578275
35,1,0.6,"between","3to1","common","transportD",-0.0122089525045881,0.00821126714950814,-0.0122089525045881,0.25982021055655
36,1.5,0.6,"between","3to1","common","average",-0.00129456764308071,0.011333484255332,-0.00129456764308071,0.358219337007198
36,1.5,0.6,"between","3to1","common","sponsorB",0.0199150921412529,0.0175435798074822,-0.430084907858747,0.701742433686964
36,1.5,0.6,"between","3to1","common","sponsorA",-0.0225042274274143,0.0111831065119652,0.427495772572586,0.554697615781908
36,1.5,0.6,"between","3to1","common","transportD",-0.00513824516148902,0.00981025315314959,-0.00513824516148902,0.310114861664661
37,0.5,0.2,"at_A","3to1","common","average",-0.0022088161807812,0.00680664215722251,-0.0022088161807812,0.215148613632398
37,0.5,0.2,"at_A","3to1","common","sponsorA",0.00109646324670555,0.00684596958225201,0.0510964632467056,0.222331466009471
37,0.5,0.2,"at_A","3to1","common","sponsorB",-0.00551409560826796,0.00732314417356808,-0.055514095608268,0.238026525743416
37,0.5,0.2,"at_A","3to1","common","transportD",-0.00236358099107234,0.0068157925706931,-0.00236358099107234,0.215439457512894
38,1,0.2,"at_A","3to1","common","sponsorA",0.00185177375135518,0.00768852309367589,0.101851773751355,0.263492045023987
38,1,0.2,"at_A","3to1","common","average",-0.00125861424921735,0.00771709018560094,-0.00125861424921735,0.243917017777756
38,1,0.2,"at_A","3to1","common","sponsorB",-0.00436900224978983,0.010252000196023,-0.10436900224979,0.340428102749835
38,1,0.2,"at_A","3to1","common","transportD",-0.00167087642762737,0.00735398452622239,-0.00167087642762737,0.232443109494652
39,1.5,0.2,"at_A","3to1","common","average",0.00494130179243686,0.0106430466580172,0.00494130179243686,0.336430652863216
39,1.5,0.2,"at_A","3to1","common","sponsorA",0.007495265538618,0.0107169073286873,0.157495265538618,0.373553221450518
39,1.5,0.2,"at_A","3to1","common","transportD",0.00506194928246733,0.00897850128261245,0.00506194928246733,0.283828284579127
39,1.5,0.2,"at_A","3to1","common","sponsorB",0.00238733804625574,0.0157739725498687,-0.147612661953744,0.519960469423472
40,0.5,0.4,"at_A","3to1","common","sponsorA",0.00389713814393863,0.00713437734129077,0.103897138143939,0.248280196597264
40,0.5,0.4,"at_A","3to1","common","transportD",0.00363077054701512,0.00712817279377396,0.00363077054701512,0.225329134878929
40,0.5,0.4,"at_A","3to1","common","sponsorB",0.00517313652172289,0.00771322191474659,-0.0948268634782771,0.261584465423596
40,0.5,0.4,"at_A","3to1","common","average",0.00453513733283077,0.00712213510716975,0.00453513733283077,0.225154727125421
41,1,0.4,"at_A","3to1","common","average",0.00655754223715396,0.0081885278014954,0.00655754223715396,0.258897541372063
41,1,0.4,"at_A","3to1","common","sponsorB",0.0091150685986024,0.0105881713386575,-0.190884931401398,0.385271748199355
41,1,0.4,"at_A","3to1","common","sponsorA",0.0040000158757055,0.00828281538598206,0.204000015875706,0.331892199614319
41,1,0.4,"at_A","3to1","common","transportD",0.00733900238261143,0.00787163424239633,0.00733900238261143,0.248906657155634
42,1.5,0.4,"at_A","3to1","common","sponsorB",0.0362532424199801,0.0166388404388205,-0.26374675758002,0.58833367426262
42,1.5,0.4,"at_A","3to1","common","sponsorA",0.00204202732527529,0.0109552851170003,0.302042027325275,0.459486278351744
42,1.5,0.4,"at_A","3to1","common","transportD",0.0123315183964733,0.00963352550991227,0.0123315183964733,0.304736074796442
42,1.5,0.4,"at_A","3to1","common","average",0.0191476348726277,0.0110407530998299,0.0191476348726277,0.349489574527779
43,0.5,0.6,"at_A","3to1","common","sponsorA",0.00900381303036376,0.00736472415355998,0.159003813030364,0.281899157952568
43,0.5,0.6,"at_A","3to1","common","sponsorB",0.00685705808109322,0.00786299382665972,-0.143142941918907,0.286800884007303
43,0.5,0.6,"at_A","3to1","common","average",0.00793043555572849,0.00727346482884186,0.00793043555572849,0.230028865870974
43,0.5,0.6,"at_A","3to1","common","transportD",0.00900485170605675,0.00721435068044783,0.00900485170605675,0.228201437854773
44,1,0.6,"at_A","3to1","common","sponsorA",-0.00350265549291694,0.00824000880002237,0.296497344507083,0.394639737709184
44,1,0.6,"at_A","3to1","common","sponsorB",-0.0134343344110409,0.0112396805141304,-0.313434334411041,0.473756445475262
