"cell","method","n_ok","n_fail","bias","mcse","emp_se","mod_se","rmse","coverage","cov_mcse","ess","design","var_T","ratio","shift","em","exact_unadj"
16,"unadjusted",1000,0,-0.163538515824383,0.00480762286949044,0.152030383987042,0.149226176709472,0.223237475741942,0.787,0.0129472390879291,500,"unanchored",1,2,0,"none",-0.166613021195602
17,"maic_index",1000,0,0.000350159133802993,0.00602765229353787,0.190611101911175,0.197547356926592,0.190516094309745,0.964,0.00589101010014412,861.635200056566,"anchored",4,2,0,"none",-0.106293694851022
17,"unadjusted",1000,0,-0.107990924882195,0.00574331629597547,0.181619608180442,0.189032803098139,0.211222007022123,0.921,0.00852988862764339,1000,"anchored",4,2,0,"none",-0.106293694851022
17,"maic_means",1000,0,-0.107906652621883,0.00575246945017401,0.181909056330864,0.189214476983697,0.21142766978442,0.923,0.00843036179532053,995.458597864011,"anchored",4,2,0,"none",-0.106293694851022
17,"gcomp",1000,0,-0.00096112289769854,0.00538946017763863,0.170429695201137,0.179262749513159,0.170347170456602,0.956,0.00648567652600714,NA,"anchored",4,2,0,"none",-0.106293694851022
17,"maic_meanvar",1000,0,-0.00179989283952343,0.00666311657695807,0.210706246984121,0.214806081046488,0.210608558728863,0.95,0.00689202437604511,643.864708631289,"anchored",4,2,0,"none",-0.106293694851022
18,"maic_means",1000,0,-0.214164706078398,0.00372229843376321,0.117709411815692,0.137592420184535,0.244352555652714,0.676,0.014799459449588,496.172131077715,"unanchored",4,2,0,"none",-0.213705257780153
18,"maic_index",1000,0,0.00170876838593703,0.0040310868815827,0.127474159918268,0.144135317189511,0.127421864979359,0.975,0.00493710441453288,429.621871761748,"unanchored",4,2,0,"none",-0.213705257780153
18,"maic_meanvar",1000,0,0.0034911182814245,0.00436297075326334,0.137969249450127,0.15679410098353,0.137944431518247,0.975,0.00493710441453288,321.780420686944,"unanchored",4,2,0,"none",-0.213705257780153
18,"unadjusted",1000,0,-0.212846031152799,0.00433553530224007,0.137101664311451,0.137367159799222,0.253143244958484,0.64,0.0151789327688082,500,"unanchored",4,2,0,"none",-0.213705257780153
18,"gcomp",1000,0,0.00185937178931748,0.00409641375891766,0.129539977166317,0.131413766546568,0.129488541354116,0.951,0.00682634602111555,NA,"unanchored",4,2,0,"none",-0.213705257780153
19,"maic_means",1000,0,0.0289036844944505,0.00763967110950995,0.241587612806371,0.243729704534923,0.243190528319205,0.95,0.00689202437604511,580.04596345343,"anchored",0.25,0.5,0.3,"none",0.0201692779838926
19,"maic_index",1000,0,0.0176589777450882,0.0111676251187883,0.353151314302795,0.331641575574444,0.353416149090558,0.933,0.00790638982089803,252.6585632358,"anchored",0.25,0.5,0.3,"none",0.0201692779838926
19,"maic_meanvar",1000,0,0.0349308294240017,0.0132981327416381,0.420523880908359,0.395154880666165,0.421762559888928,0.932,0.00796090447122687,152.759124230961,"anchored",0.25,0.5,0.3,"none",0.0201692779838926
19,"unadjusted",1000,0,0.0323680610848694,0.00636606903021042,0.201312778773242,0.207310586089155,0.203798919135752,0.949,0.00695693898205238,1000,"anchored",0.25,0.5,0.3,"none",0.0201692779838926
