"location","magnitude","model","regimen","administered","rho","truth","bias","sd","coverage"
"A+B (co-administered)",0.3,"interactions for co-administered pairs","A+C+D",FALSE,0.666666666666667,-0.7,-1.11022302462516e-16,0.173205080756888,0.950004209703559
"A+B (co-administered)",0.3,"interactions for co-administered pairs","B+C+D",FALSE,0.666666666666667,-0.6,0,0.173205080756888,0.950004209703559
"A+B (co-administered)",0.3,"interactions for co-administered pairs","A+B+C+D",FALSE,0.5,-1.2,0,0.191485421551268,0.950004209703559
"C+D (never co-administered)",0.1,"additive","A+B",TRUE,0,-0.5,5.55111512312578e-17,0.0707106781186548,0.950004209703559
"C+D (never co-administered)",0.1,"additive","A+C",TRUE,0,-0.55,0,0.0935414346693485,0.950004209703559
"C+D (never co-administered)",0.1,"additive","A+D",FALSE,1,-0.45,0,0.117260393995586,0.950004209703559
"C+D (never co-administered)",0.1,"additive","B+C",TRUE,0,-0.45,-5.55111512312578e-17,0.0935414346693485,0.950004209703559
"C+D (never co-administered)",0.1,"additive","B+D",FALSE,1,-0.35,0,0.117260393995586,0.950004209703559
"C+D (never co-administered)",0.1,"additive","C+D",FALSE,1,-0.5,0.1,0.122474487139159,0.870837771370215
"C+D (never co-administered)",0.1,"additive","A+B+C",FALSE,0,-0.75,0,0.1,0.950004209703559
"C+D (never co-administered)",0.1,"additive","A+B+D",FALSE,0.666666666666667,-0.65,1.11022302462516e-16,0.122474487139159,0.950004209703559
"C+D (never co-administered)",0.1,"additive","A+C+D",FALSE,0.666666666666667,-0.8,0.1,0.136930639376292,0.88702645116555
"C+D (never co-administered)",0.1,"additive","B+C+D",FALSE,0.666666666666667,-0.7,0.1,0.136930639376292,0.88702645116555
"C+D (never co-administered)",0.1,"additive","A+B+C+D",FALSE,0.5,-1,0.1,0.14142135623731,0.891052346983348
"C+D (never co-administered)",0.1,"interactions for co-administered pairs","A+B",TRUE,0,-0.5,0,0.0816496580927726,0.950004209703559
"C+D (never co-administered)",0.1,"interactions for co-administered pairs","A+C",TRUE,0,-0.55,0,0.14142135623731,0.950004209703559
"C+D (never co-administered)",0.1,"interactions for co-administered pairs","A+D",FALSE,1,-0.45,-1.11022302462516e-16,0.129099444873581,0.950004209703559
"C+D (never co-administered)",0.1,"interactions for co-administered pairs","B+C",TRUE,0,-0.45,5.55111512312578e-17,0.141421356237309,0.950004209703559
"C+D (never co-administered)",0.1,"interactions for co-administered pairs","B+D",FALSE,1,-0.35,0,0.141421356237309,0.950004209703559
"C+D (never co-administered)",0.1,"interactions for co-administered pairs","C+D",FALSE,1,-0.5,0.1,0.14142135623731,0.891052346983348
"C+D (never co-administered)",0.1,"interactions for co-administered pairs","A+B+C",FALSE,0,-0.75,-1.11022302462516e-16,0.163299316185545,0.950004209703559
"C+D (never co-administered)",0.1,"interactions for co-administered pairs","A+B+D",FALSE,0.666666666666667,-0.65,0,0.129099444873581,0.950004209703559
"C+D (never co-administered)",0.1,"interactions for co-administered pairs","A+C+D",FALSE,0.666666666666667,-0.8,0.1,0.173205080756888,0.91102909688831
"C+D (never co-administered)",0.1,"interactions for co-administered pairs","B+C+D",FALSE,0.666666666666667,-0.7,0.1,0.173205080756888,0.91102909688831
"C+D (never co-administered)",0.1,"interactions for co-administered pairs","A+B+C+D",FALSE,0.5,-1,0.1,0.191485421551268,0.918221822575485
"C+D (never co-administered)",0.2,"additive","A+B",TRUE,0,-0.5,5.55111512312578e-17,0.0707106781186548,0.950004209703559
"C+D (never co-administered)",0.2,"additive","A+C",TRUE,0,-0.55,0,0.0935414346693485,0.950004209703559
"C+D (never co-administered)",0.2,"additive","A+D",FALSE,1,-0.45,0,0.117260393995586,0.950004209703559
"C+D (never co-administered)",0.2,"additive","B+C",TRUE,0,-0.45,-5.55111512312578e-17,0.0935414346693485,0.950004209703559
"C+D (never co-administered)",0.2,"additive","B+D",FALSE,1,-0.35,0,0.117260393995586,0.950004209703559
"C+D (never co-administered)",0.2,"additive","C+D",FALSE,1,-0.6,0.2,0.122474487139159,0.628005192808236
"C+D (never co-administered)",0.2,"additive","A+B+C",FALSE,0,-0.75,0,0.1,0.950004209703559
"C+D (never co-administered)",0.2,"additive","A+B+D",FALSE,0.666666666666667,-0.65,1.11022302462516e-16,0.122474487139159,0.950004209703559
"C+D (never co-administered)",0.2,"additive","A+C+D",FALSE,0.666666666666667,-0.9,0.2,0.136930639376292,0.6909410609214
"C+D (never co-administered)",0.2,"additive","B+C+D",FALSE,0.666666666666667,-0.8,0.2,0.136930639376292,0.690941060921401
"C+D (never co-administered)",0.2,"additive","A+B+C+D",FALSE,0.5,-1.1,0.2,0.14142135623731,0.707023491933557
"C+D (never co-administered)",0.2,"interactions for co-administered pairs","A+B",TRUE,0,-0.5,0,0.0816496580927726,0.950004209703559
"C+D (never co-administered)",0.2,"interactions for co-administered pairs","A+C",TRUE,0,-0.55,0,0.14142135623731,0.950004209703559
"C+D (never co-administered)",0.2,"interactions for co-administered pairs","A+D",FALSE,1,-0.45,-1.11022302462516e-16,0.129099444873581,0.950004209703559
"C+D (never co-administered)",0.2,"interactions for co-administered pairs","B+C",TRUE,0,-0.45,5.55111512312578e-17,0.141421356237309,0.950004209703559
"C+D (never co-administered)",0.2,"interactions for co-administered pairs","B+D",FALSE,1,-0.35,0,0.141421356237309,0.950004209703559
"C+D (never co-administered)",0.2,"interactions for co-administered pairs","C+D",FALSE,1,-0.6,0.2,0.14142135623731,0.707023491933557
"C+D (never co-administered)",0.2,"interactions for co-administered pairs","A+B+C",FALSE,0,-0.75,-1.11022302462516e-16,0.163299316185545,0.950004209703559
"C+D (never co-administered)",0.2,"interactions for co-administered pairs","A+B+D",FALSE,0.666666666666667,-0.65,0,0.129099444873581,0.950004209703559
"C+D (never co-administered)",0.2,"interactions for co-administered pairs","A+C+D",FALSE,0.666666666666667,-0.9,0.2,0.173205080756888,0.788755895082398
"C+D (never co-administered)",0.2,"interactions for co-administered pairs","B+C+D",FALSE,0.666666666666667,-0.8,0.2,0.173205080756888,0.788755895082398
"C+D (never co-administered)",0.2,"interactions for co-administered pairs","A+B+C+D",FALSE,0.5,-1.1,0.2,0.191485421551268,0.818714098243744
"C+D (never co-administered)",0.3,"additive","A+B",TRUE,0,-0.5,5.55111512312578e-17,0.0707106781186548,0.950004209703559
"C+D (never co-administered)",0.3,"additive","A+C",TRUE,0,-0.55,0,0.0935414346693485,0.950004209703559
"C+D (never co-administered)",0.3,"additive","A+D",FALSE,1,-0.45,0,0.117260393995586,0.950004209703559
"C+D (never co-administered)",0.3,"additive","B+C",TRUE,0,-0.45,-5.55111512312578e-17,0.0935414346693485,0.950004209703559
"C+D (never co-administered)",0.3,"additive","B+D",FALSE,1,-0.35,0,0.117260393995586,0.950004209703559
"C+D (never co-administered)",0.3,"additive","C+D",FALSE,1,-0.7,0.3,0.122474487139159,0.312242326572862
"C+D (never co-administered)",0.3,"additive","A+B+C",FALSE,0,-0.75,0,0.1,0.950004209703559
"C+D (never co-administered)",0.3,"additive","A+B+D",FALSE,0.666666666666667,-0.65,1.11022302462516e-16,0.122474487139159,0.950004209703559
"C+D (never co-administered)",0.3,"additive","A+C+D",FALSE,0.666666666666667,-1,0.3,0.136930639376292,0.408683481271431
"C+D (never co-administered)",0.3,"additive","B+C+D",FALSE,0.666666666666667,-0.9,0.3,0.136930639376292,0.408683481271432
"C+D (never co-administered)",0.3,"additive","A+B+C+D",FALSE,0.5,-1.2,0.3,0.14142135623731,0.435898160339555
"C+D (never co-administered)",0.3,"interactions for co-administered pairs","A+B",TRUE,0,-0.5,0,0.0816496580927726,0.950004209703559
"C+D (never co-administered)",0.3,"interactions for co-administered pairs","A+C",TRUE,0,-0.55,0,0.14142135623731,0.950004209703559
"C+D (never co-administered)",0.3,"interactions for co-administered pairs","A+D",FALSE,1,-0.45,-1.11022302462516e-16,0.129099444873581,0.950004209703559
"C+D (never co-administered)",0.3,"interactions for co-administered pairs","B+C",TRUE,0,-0.45,5.55111512312578e-17,0.141421356237309,0.950004209703559
"C+D (never co-administered)",0.3,"interactions for co-administered pairs","B+D",FALSE,1,-0.35,0,0.141421356237309,0.950004209703559
"C+D (never co-administered)",0.3,"interactions for co-administered pairs","C+D",FALSE,1,-0.7,0.3,0.14142135623731,0.435898160339556
"C+D (never co-administered)",0.3,"interactions for co-administered pairs","A+B+C",FALSE,0,-0.75,-1.11022302462516e-16,0.163299316185545,0.950004209703559
"C+D (never co-administered)",0.3,"interactions for co-administered pairs","A+B+D",FALSE,0.666666666666667,-0.65,0,0.129099444873581,0.950004209703559
"C+D (never co-administered)",0.3,"interactions for co-administered pairs","A+C+D",FALSE,0.666666666666667,-1,0.3,0.173205080756888,0.590045903883858
"C+D (never co-administered)",0.3,"interactions for co-administered pairs","B+C+D",FALSE,0.666666666666667,-0.9,0.3,0.173205080756888,0.590045903883857
"C+D (never co-administered)",0.3,"interactions for co-administered pairs","A+B+C+D",FALSE,0.5,-1.2,0.3,0.191485421551268,0.652741058238669
"A+B and C+D",0.1,"additive","A+B",TRUE,0,-0.6,0.025,0.0707106781186548,0.935565975096809
"A+B and C+D",0.1,"additive","A+C",TRUE,0,-0.55,-0.0125,0.0935414346693485,0.947956230651063
"A+B and C+D",0.1,"additive","A+D",FALSE,1,-0.45,-0.0125,0.117260393995586,0.948701537160034
"A+B and C+D",0.1,"additive","B+C",TRUE,0,-0.45,-0.0625,0.0935414346693485,0.897502420956034
"A+B and C+D",0.1,"additive","B+D",FALSE,1,-0.35,-0.0625,0.117260393995586,0.916876384212953
"A+B and C+D",0.1,"additive","C+D",FALSE,1,-0.5,0.1,0.122474487139159,0.870837771370215
"A+B and C+D",0.1,"additive","A+B+C",FALSE,0,-0.85,0.025,0.1,0.942814482329548
"A+B and C+D",0.1,"additive","A+B+D",FALSE,0.666666666666667,-0.75,0.025,0.122474487139159,0.945217784266185
"A+B and C+D",0.1,"additive","A+C+D",FALSE,0.666666666666667,-0.8,0.0875000000000001,0.136930639376292,0.902073051750235
"A+B and C+D",0.1,"additive","B+C+D",FALSE,0.666666666666667,-0.7,0.0374999999999999,0.136930639376292,0.941369357275916
"A+B and C+D",0.1,"additive","A+B+C+D",FALSE,0.5,-1.1,0.125,0.14142135623731,0.856834059481371
"A+B and C+D",0.1,"interactions for co-administered pairs","A+B",TRUE,0,-0.6,0,0.0816496580927726,0.950004209703559
"A+B and C+D",0.1,"interactions for co-administered pairs","A+C",TRUE,0,-0.55,0,0.14142135623731,0.950004209703559
"A+B and C+D",0.1,"interactions for co-administered pairs","A+D",FALSE,1,-0.45,-1.11022302462516e-16,0.129099444873581,0.950004209703559
"A+B and C+D",0.1,"interactions for co-administered pairs","B+C",TRUE,0,-0.45,5.55111512312578e-17,0.141421356237309,0.950004209703559
"A+B and C+D",0.1,"interactions for co-administered pairs","B+D",FALSE,1,-0.35,0,0.141421356237309,0.950004209703559
"A+B and C+D",0.1,"interactions for co-administered pairs","C+D",FALSE,1,-0.5,0.1,0.14142135623731,0.891052346983348
"A+B and C+D",0.1,"interactions for co-administered pairs","A+B+C",FALSE,0,-0.85,-1.11022302462516e-16,0.163299316185545,0.950004209703559
"A+B and C+D",0.1,"interactions for co-administered pairs","A+B+D",FALSE,0.666666666666667,-0.75,0,0.129099444873581,0.950004209703559
"A+B and C+D",0.1,"interactions for co-administered pairs","A+C+D",FALSE,0.666666666666667,-0.8,0.0999999999999999,0.173205080756888,0.91102909688831
"A+B and C+D",0.1,"interactions for co-administered pairs","B+C+D",FALSE,0.666666666666667,-0.7,0.1,0.173205080756888,0.91102909688831
"A+B and C+D",0.1,"interactions for co-administered pairs","A+B+C+D",FALSE,0.5,-1.1,0.1,0.191485421551268,0.918221822575485
"A+B and C+D",0.2,"additive","A+B",TRUE,0,-0.7,0.05,0.0707106781186548,0.891052346983348
"A+B and C+D",0.2,"additive","A+C",TRUE,0,-0.55,-0.0249999999999999,0.0935414346693485,0.941782488198566
"A+B and C+D",0.2,"additive","A+D",FALSE,1,-0.45,-0.025,0.117260393995586,0.944781312596827
"A+B and C+D",0.2,"additive","B+C",TRUE,0,-0.45,-0.125,0.0935414346693485,0.733095823186718
"A+B and C+D",0.2,"additive","B+D",FALSE,1,-0.35,-0.125,0.117260393995586,0.813099049381757
"A+B and C+D",0.2,"additive","C+D",FALSE,1,-0.6,0.2,0.122474487139159,0.628005192808236
"A+B and C+D",0.2,"additive","A+B+C",FALSE,0,-0.95,0.05,0.1,0.920908112245482
"A+B and C+D",0.2,"additive","A+B+D",FALSE,0.666666666666667,-0.85,0.0500000000000002,0.122474487139159,0.930702909090614
"A+B and C+D",0.2,"additive","A+C+D",FALSE,0.666666666666667,-0.9,0.175,0.136930639376292,0.751772609002871
"A+B and C+D",0.2,"additive","B+C+D",FALSE,0.666666666666667,-0.8,0.0750000000000001,0.136930639376292,0.91499025551072
"A+B and C+D",0.2,"additive","A+B+C+D",FALSE,0.5,-1.3,0.25,0.14142135623731,0.576123577646288
"A+B and C+D",0.2,"interactions for co-administered pairs","A+B",TRUE,0,-0.7,0,0.0816496580927726,0.950004209703559
"A+B and C+D",0.2,"interactions for co-administered pairs","A+C",TRUE,0,-0.55,0,0.14142135623731,0.950004209703559
"A+B and C+D",0.2,"interactions for co-administered pairs","A+D",FALSE,1,-0.45,-1.11022302462516e-16,0.129099444873581,0.950004209703559
"A+B and C+D",0.2,"interactions for co-administered pairs","B+C",TRUE,0,-0.45,5.55111512312578e-17,0.141421356237309,0.950004209703559
"A+B and C+D",0.2,"interactions for co-administered pairs","B+D",FALSE,1,-0.35,0,0.141421356237309,0.950004209703559
"A+B and C+D",0.2,"interactions for co-administered pairs","C+D",FALSE,1,-0.6,0.2,0.14142135623731,0.707023491933557
"A+B and C+D",0.2,"interactions for co-administered pairs","A+B+C",FALSE,0,-0.95,-1.11022302462516e-16,0.163299316185545,0.950004209703559
"A+B and C+D",0.2,"interactions for co-administered pairs","A+B+D",FALSE,0.666666666666667,-0.85,1.11022302462516e-16,0.129099444873581,0.950004209703559
"A+B and C+D",0.2,"interactions for co-administered pairs","A+C+D",FALSE,0.666666666666667,-0.9,0.2,0.173205080756888,0.788755895082398
"A+B and C+D",0.2,"interactions for co-administered pairs","B+C+D",FALSE,0.666666666666667,-0.8,0.2,0.173205080756888,0.788755895082398
"A+B and C+D",0.2,"interactions for co-administered pairs","A+B+C+D",FALSE,0.5,-1.3,0.2,0.191485421551268,0.818714098243744
"A+B and C+D",0.3,"additive","A+B",TRUE,0,-0.8,0.0750000000000002,0.0707106781186548,0.814503039171225
"A+B and C+D",0.3,"additive","A+C",TRUE,0,-0.55,-0.0375,0.0935414346693485,0.93139908305152
"A+B and C+D",0.3,"additive","A+D",FALSE,1,-0.45,-0.0375,0.117260393995586,0.938208349033539
"A+B and C+D",0.3,"additive","B+C",TRUE,0,-0.45,-0.1875,0.0935414346693485,0.482232359923915
"A+B and C+D",0.3,"additive","B+D",FALSE,1,-0.35,-0.1875,0.117260393995586,0.640762137331463
"A+B and C+D",0.3,"additive","C+D",FALSE,1,-0.7,0.3,0.122474487139159,0.312242326572862
"A+B and C+D",0.3,"additive","A+B+C",FALSE,0,-1.05,0.0750000000000002,0.1,0.883496393149353
"A+B and C+D",0.3,"additive","A+B+D",FALSE,0.666666666666667,-0.95,0.075,0.122474487139159,0.906060691284253
"A+B and C+D",0.3,"additive","A+C+D",FALSE,0.666666666666667,-1,0.2625,0.136930639376292,0.517084823963271
"A+B and C+D",0.3,"additive","B+C+D",FALSE,0.666666666666667,-0.9,0.1125,0.136930639376292,0.869821908260772
"A+B and C+D",0.3,"additive","A+B+C+D",FALSE,0.5,-1.5,0.375,0.14142135623731,0.244576444596554
"A+B and C+D",0.3,"interactions for co-administered pairs","A+B",TRUE,0,-0.8,0,0.0816496580927726,0.950004209703559
