"cell","rate","mech","bu","method","n","bias","mcse","rmse","coverage","cov_mcse"
25,0.15,"MAR_u",0.3,"mi_generic",1000,-0.00074999294508735,0.00615034007446698,0.194395007235218,0.951,0.00682634602111555
26,0.3,"MAR_u",0.3,"mi_congenial",1000,-0.00494992668912465,0.00630117883277023,0.199222618199081,0.951,0.00682634602111555
26,0.3,"MAR_u",0.3,"ipw",1000,-0.0177528948190475,0.00991758582811951,0.313967061049269,0.971,0.00530650544143696
26,0.3,"MAR_u",0.3,"complete_case",1000,-0.104871903785502,0.00792480381697798,0.271547103143537,0.915,0.00881901355027874
26,0.3,"MAR_u",0.3,"mi_generic",1000,-0.00611767995713749,0.00599776571188166,0.189669835106025,0.961,0.00612200947402077
27,0.5,"MAR_u",0.3,"ipw",1000,-0.00761092581150641,0.0132423154318226,0.418618543867326,0.957,0.00641490451994416
27,0.5,"MAR_u",0.3,"complete_case",1000,-0.138393374369575,0.00971559483868802,0.336825053040698,0.91,0.00904986187739901
27,0.5,"MAR_u",0.3,"mi_generic",1000,-0.0102757105280875,0.00598828906892409,0.18955035371605,0.972,0.0052168956286282
27,0.5,"MAR_u",0.3,"mi_congenial",1000,-0.00219412268834985,0.0063255489693248,0.199943420416712,0.976,0.00483983470792134
28,0.15,"MAR_u_armA",0.3,"complete_case",1000,-0.445882701020564,0.00719964533068925,0.500594088123523,0.465,0.0157726028289563
28,0.15,"MAR_u_armA",0.3,"ipw",1000,-0.0553356858409157,0.00844254538044128,0.272520336958169,0.915,0.00881901355027874
28,0.15,"MAR_u_armA",0.3,"mi_generic",1000,-0.0174490011180352,0.00619040493885076,0.196436401498445,0.951,0.00682634602111555
28,0.15,"MAR_u_armA",0.3,"mi_congenial",1000,-0.013190274173814,0.00624334567088623,0.197773529911836,0.953,0.00669260786241059
29,0.3,"MAR_u_armA",0.3,"mi_generic",1000,-0.0241765717531777,0.00610804674512439,0.194564728117201,0.955,0.00655553201502365
