"cell","d","c","near","poor","design","rho","same_best","rmse_best","loss_best"
2,-0.1,1,TRUE,FALSE,"unanchored",0.3,FALSE,"gcomp","unadjusted"
3,-0.1,1,TRUE,FALSE,"anchored",0.7,FALSE,"gcomp","unadjusted"
4,-0.1,1,TRUE,FALSE,"unanchored",0.2,FALSE,"gcomp","maic_means"
5,-0.1,1,TRUE,FALSE,"anchored",0.7,FALSE,"gcomp","maic_means"
6,-0.1,1,TRUE,FALSE,"unanchored",-0.5,FALSE,"gcomp","maic_means"
7,-0.1,1,TRUE,FALSE,"anchored",0.6,FALSE,"gcomp","unadjusted"
8,-0.1,1,TRUE,FALSE,"unanchored",0.359092423229804,FALSE,"maic_index","maic_meanvar"
9,-0.1,1,TRUE,FALSE,"anchored",0.102597835208515,FALSE,"gcomp","maic_meanvar"
10,-0.1,1,TRUE,FALSE,"unanchored",-0.307793505625546,FALSE,"gcomp","maic_means"
11,-0.1,1,TRUE,FALSE,"anchored",0.410391340834062,TRUE,"gcomp","gcomp"
12,-0.1,1,TRUE,FALSE,"unanchored",0.8,FALSE,"maic_index","gcomp"
13,-0.1,1,TRUE,FALSE,"anchored",0.0512989176042577,TRUE,"gcomp","gcomp"
14,-0.1,1,TRUE,FALSE,"unanchored",0.7,TRUE,"gcomp","gcomp"
15,-0.1,1,TRUE,FALSE,"anchored",0.7,TRUE,"gcomp","gcomp"
16,-0.1,1,TRUE,FALSE,"unanchored",0.9,TRUE,"gcomp","gcomp"
17,-0.1,1,TRUE,FALSE,"anchored",0.9,TRUE,"gcomp","gcomp"
18,-0.1,1,TRUE,FALSE,"unanchored",0.9,TRUE,"maic_index","maic_index"
19,-0.1,1,TRUE,FALSE,"anchored",0.9,FALSE,"gcomp","unadjusted"
20,-0.1,1,TRUE,FALSE,"unanchored",-0.2,FALSE,"gcomp","unadjusted"
21,-0.1,1,TRUE,FALSE,"anchored",0.6,FALSE,"gcomp","unadjusted"
22,-0.1,1,TRUE,FALSE,"unanchored",-0.1,FALSE,"gcomp","unadjusted"
23,-0.1,1,TRUE,FALSE,"anchored",0.7,FALSE,"gcomp","unadjusted"
24,-0.1,1,TRUE,FALSE,"unanchored",-0.1,FALSE,"gcomp","unadjusted"
25,-0.1,1,TRUE,FALSE,"anchored",0.5,FALSE,"gcomp","unadjusted"
26,-0.1,1,TRUE,FALSE,"unanchored",-0.410391340834062,FALSE,"gcomp","unadjusted"
27,-0.1,1,TRUE,FALSE,"anchored",0.718184846459608,FALSE,"gcomp","unadjusted"
28,-0.1,1,TRUE,FALSE,"unanchored",-0.2,FALSE,"gcomp","unadjusted"
29,-0.1,1,TRUE,FALSE,"anchored",0.974679434480896,TRUE,"gcomp","gcomp"
30,-0.1,1,TRUE,FALSE,"unanchored",-0.66688592885535,FALSE,"maic_means","unadjusted"
31,-0.1,1,TRUE,FALSE,"anchored",0.5,TRUE,"gcomp","gcomp"
32,-0.1,1,TRUE,FALSE,"unanchored",-0.1,FALSE,"gcomp","unadjusted"
33,-0.1,1,TRUE,FALSE,"anchored",0.7,TRUE,"gcomp","gcomp"
34,-0.1,1,TRUE,FALSE,"unanchored",0,FALSE,"gcomp","unadjusted"
35,-0.1,1,TRUE,FALSE,"anchored",0.9,TRUE,"gcomp","gcomp"
36,-0.1,1,TRUE,FALSE,"unanchored",0,FALSE,"maic_index","unadjusted"
37,-0.1,1,TRUE,TRUE,"anchored",0.9,FALSE,"gcomp","unadjusted"
38,-0.1,1,TRUE,TRUE,"unanchored",0.3,FALSE,"gcomp","unadjusted"
39,-0.1,1,TRUE,TRUE,"anchored",0.8,FALSE,"gcomp","unadjusted"
40,-0.1,1,TRUE,TRUE,"unanchored",-0.2,FALSE,"gcomp","unadjusted"
41,-0.1,1,TRUE,TRUE,"anchored",0.8,FALSE,"gcomp","unadjusted"
42,-0.1,1,TRUE,TRUE,"unanchored",-0.1,FALSE,"gcomp","unadjusted"
43,-0.1,1,TRUE,FALSE,"anchored",0.8,FALSE,"gcomp","unadjusted"
44,-0.1,1,TRUE,FALSE,"unanchored",0,FALSE,"gcomp","unadjusted"
45,-0.1,1,TRUE,FALSE,"anchored",0.6,FALSE,"gcomp","unadjusted"
46,-0.1,1,TRUE,FALSE,"unanchored",0,FALSE,"gcomp","unadjusted"
47,-0.1,1,TRUE,FALSE,"anchored",0.9,FALSE,"gcomp","unadjusted"
48,-0.1,1,TRUE,FALSE,"unanchored",0,FALSE,"gcomp","unadjusted"
49,-0.1,1,TRUE,FALSE,"anchored",0.66688592885535,TRUE,"gcomp","gcomp"
50,-0.1,1,TRUE,FALSE,"unanchored",-0.1,FALSE,"gcomp","unadjusted"
51,-0.1,1,TRUE,FALSE,"anchored",0.410391340834062,TRUE,"gcomp","gcomp"
52,-0.1,1,TRUE,FALSE,"unanchored",-0.1,FALSE,"gcomp","unadjusted"
53,-0.1,1,TRUE,FALSE,"anchored",0.5,TRUE,"gcomp","gcomp"
54,-0.1,1,TRUE,FALSE,"unanchored",-0.4,FALSE,"maic_index","unadjusted"
55,-0.1,1,TRUE,FALSE,"anchored",0.4,FALSE,"gcomp","unadjusted"
56,-0.1,1,TRUE,FALSE,"unanchored",-0.1,FALSE,"gcomp","maic_means"
57,-0.1,1,TRUE,FALSE,"anchored",0.6,FALSE,"gcomp","maic_means"
58,-0.1,1,TRUE,FALSE,"unanchored",-0.6,FALSE,"gcomp","maic_means"
59,-0.1,1,TRUE,FALSE,"anchored",0.66688592885535,FALSE,"gcomp","maic_means"
60,-0.1,1,TRUE,FALSE,"unanchored",-0.5,FALSE,"gcomp","maic_means"
61,-0.1,1,TRUE,FALSE,"anchored",0.9,FALSE,"unadjusted","gcomp"
62,-0.1,1,TRUE,FALSE,"unanchored",1,TRUE,"maic_meanvar","maic_meanvar"
63,-0.1,1,TRUE,FALSE,"anchored",0.718184846459608,FALSE,"gcomp","unadjusted"
64,-0.1,1,TRUE,FALSE,"unanchored",0.9,TRUE,"maic_index","maic_index"
65,-0.1,1,TRUE,FALSE,"anchored",0.707106781186547,TRUE,"gcomp","gcomp"
66,-0.1,1,TRUE,FALSE,"unanchored",0.205195670417031,FALSE,"maic_index","gcomp"
67,-0.1,1,TRUE,FALSE,"anchored",0.359092423229804,TRUE,"gcomp","gcomp"
68,-0.1,1,TRUE,FALSE,"unanchored",1,TRUE,"gcomp","gcomp"
69,-0.1,1,TRUE,FALSE,"anchored",0.4,TRUE,"gcomp","gcomp"
70,-0.1,1,TRUE,FALSE,"unanchored",0.8,FALSE,"gcomp","maic_index"
71,-0.1,1,TRUE,FALSE,"anchored",0.8,TRUE,"gcomp","gcomp"
72,-0.1,1,TRUE,FALSE,"unanchored",0.9,TRUE,"maic_index","maic_index"
73,-0.1,1,TRUE,FALSE,"anchored",0.6,FALSE,"gcomp","unadjusted"
74,-0.1,1,TRUE,FALSE,"unanchored",-0.1,FALSE,"gcomp","unadjusted"
75,-0.1,1,TRUE,FALSE,"anchored",0.6,FALSE,"gcomp","unadjusted"
76,-0.1,1,TRUE,FALSE,"unanchored",-0.1,FALSE,"gcomp","unadjusted"
77,-0.1,1,TRUE,FALSE,"anchored",0.6,FALSE,"gcomp","unadjusted"
78,-0.1,1,TRUE,FALSE,"unanchored",-0.2,FALSE,"gcomp","unadjusted"
79,-0.1,1,TRUE,FALSE,"anchored",-0.0512989176042577,FALSE,"gcomp","unadjusted"
80,-0.1,1,TRUE,FALSE,"unanchored",-0.4,FALSE,"gcomp","unadjusted"
81,-0.1,1,TRUE,FALSE,"anchored",0.3,FALSE,"gcomp","unadjusted"
82,-0.1,1,TRUE,FALSE,"unanchored",-0.2,FALSE,"gcomp","unadjusted"
