"cell","em","align","shift","nA_ratio","method","contrast","bias","mcse","coverage","cov_mcse","width","emp_sd"
5,0.6,"opposite",0.3,0.5,"stacked","AC",0.00540761791896072,0.00257333264457285,0.952,0.00675988165576884,0.325421444396426,0.0813759233411474
5,0.6,"opposite",0.3,0.5,"split","BC",0.00404287871859112,0.00315500734611364,0.957,0.00641490451994416,0.40584319697996,0.0997700924828229
5,0.6,"opposite",0.3,0.5,"split","AC",0.00580496310048577,0.00266206397127979,0.92,0.00857904423581089,0.30270784561878,0.0841818542631718
5,0.6,"opposite",0.3,0.5,"fixed_trial","AC",0.00420925160250837,0.00428980172575732,0.957,0.00641490451994416,0.545182367479768,0.135655441639141
5,0.6,"opposite",0.3,0.5,"fixed","AC",0.00568322143025523,0.00257485012745652,0.955,0.00655553201502365,0.327104315606218,0.0814239103633745
5,0.6,"opposite",0.3,0.5,"split_trial","AC",0.00420925160250837,0.00428980172575732,0.95,0.00689202437604511,0.532182764237529,0.135655441639141
5,0.6,"opposite",0.3,0.5,"stacked_trial","BC",0.000587377799097695,0.00380607120971215,0.948,0.00702111102319284,0.473592556331849,0.120358539594828
6,0,"same",0.8,0.5,"drop","AB",-0.000635720048321074,0.00500216506974153,0.953,0.00669260786241059,0.619434363401262,0.158182348525183
6,0,"same",0.8,0.5,"fixed_trial","AC",0.0150376303184626,0.00594535825375881,0.944,0.00727076337120113,0.739166572108053,0.188008735875592
6,0,"same",0.8,0.5,"stacked","AC",0.00974607609156748,0.00292111816282863,0.954,0.00662449998113065,0.365132152877433,0.0923738670902508
6,0,"same",0.8,0.5,"split_trial","AC",0.0150376303184626,0.00594535825375881,0.939,0.00756828910652864,0.726940180987534,0.188008735875592
6,0,"same",0.8,0.5,"split","AC",0.0117424620463495,0.00298215383489294,0.928,0.00817410545564467,0.340597801341698,0.0943039845126742
6,0,"same",0.8,0.5,"split","AB",0.0135263620462342,0.00416742588799972,0.917,0.00872416185085994,0.447936801495391,0.131785577860289
6,0,"same",0.8,0.5,"fixed","AC",0.00958008610221961,0.0029099337249345,0.958,0.00634318531969546,0.366364503606428,0.0920201841093092
6,0,"same",0.8,0.5,"fixed_trial","AB",0.021957533521348,0.00613003508103322,0.937,0.00768316341099159,0.737481850386721,0.193848729927998
