"cell","surface","mu","method","truth","n","bias","mcse","emp_sd","se_ratio","coverage","cov_mcse","rmse"
9,"none",1.5,"gam_full",-0.153697616793403,500,-0.011634185614169,0.0148341982947402,0.331702757787505,0.936642076920171,0.944,0.0102824121683582,0.331575059918103
9,"none",1.5,"gam_struct",-0.153697616793403,500,-0.00312133714863981,0.0139456112803397,0.311833348106275,0.972421219646795,0.946,0.0101078187557949,0.311536995656667
9,"none",1.5,"stc",-0.153697616793403,500,-0.00362091489968344,0.0139786752782568,0.312572681575779,0.968656412918527,0.94,0.0106207344378814,0.312280945511649
10,"A",1.5,"gam_full",-0.176923360712066,500,0.0255224729127883,0.0126694423770608,0.283297343921244,0.953966531487304,0.942,0.0104533248299285,0.28416239534159
10,"A",1.5,"gam_struct",-0.176923360712066,500,0.00819592065403095,0.0118009920939834,0.263878205240846,1.00172111812532,0.956,0.00917213170424412,0.263741572191596
10,"A",1.5,"stc",-0.176923360712066,500,0.0404488268812968,0.0124580191351079,0.278569776510943,1.00558812922298,0.962,0.0085505555375075,0.281215265838573
11,"B",1.5,"gam_full",0.395170185782571,500,-0.0851654683599537,0.0135375497759748,0.302708815478666,0.944072712829609,0.93,0.0114105214604767,0.31416957000246
11,"B",1.5,"gam_struct",0.395170185782571,500,-0.163691025285359,0.0125596852524887,0.280843100005664,1.00395208494682,0.904,0.0131745208641529,0.324822802287835
11,"B",1.5,"stc",0.395170185782571,500,-0.144122332162694,0.0126932202752671,0.283829033888759,1.01156297294358,0.93,0.0114105214604767,0.318070824291201
12,"C",1.5,"gam_struct",0.0868838483248843,500,-0.171834091472429,0.0137680438077714,0.307862818713718,0.984121628525368,0.91,0.0127984374046209,0.352302300742158
12,"C",1.5,"gam_full",0.0868838483248843,500,-0.183410725594084,0.0140788541229017,0.314812748641114,0.983067540083281,0.914,0.0125382614424808,0.364071897894506
12,"C",1.5,"stc",0.0868838483248843,500,-0.174862467050772,0.0136504991307416,0.305234439831399,0.987781722967367,0.904,0.0131745208641529,0.351509046136443
