"S","spread","D","E","model","bias","sd_post","coverage","data_share"
2,1,0,0.1,"separate",0.092156862745098,0.0700140042014005,0.741719635207913,0.980392156862745
2,1,0,0.1,"hierarchical",0.0866666666666666,0.0658280588604383,0.749973910396371,0.866666666666667
4,1,0,0.1,"shared",0.0689655172413793,0.0557086014531156,0.764159161270278,0.689655172413793
4,1,0,0.1,"separate",0.0929273084479372,0.0664863310766904,0.714396343525483,0.982318271119843
4,1,0,0.1,"hierarchical",0.0878378378378378,0.0628705233213682,0.72155728163853,0.878378378378378
1,0.3,0.15,0.1,"shared",-0.15,0.1,0.676958840223195,0
1,0.3,0.15,0.1,"separate",-0.45,0.5,1,0
1,0.3,0.15,0.1,"hierarchical",-0.15,0.180277563773199,0.97899244974323,0
2,0.3,0.15,0.1,"shared",-0.111864406779661,0.0920574617898323,0.771056475554279,0.152542372881356
2,0.3,0.15,0.1,"separate",0,0.21320071635561,0.969751548849649,0.818181818181818
2,0.3,0.15,0.1,"hierarchical",-0.0577287066246057,0.143194734055407,0.980161132312865,0.369085173501577
4,0.3,0.15,0.1,"shared",-0.108333333333333,0.0912870929175277,0.779481756147905,0.166666666666667
4,0.3,0.15,0.1,"separate",0.0083333333333333,0.204124145231932,0.968038380879795,0.833333333333333
4,0.3,0.15,0.1,"hierarchical",-0.0515151515151515,0.140345893053447,0.980600943529718,0.393939393939394
1,1,0.15,0.1,"shared",-0.15,0.1,0.676958840223195,0
1,1,0.15,0.1,"separate",-0.45,0.5,1,0
1,1,0.15,0.1,"hierarchical",-0.15,0.180277563773199,0.97899244974323,0
2,1,0.15,0.1,"shared",0.0166666666666667,0.0577350269189626,0.940399948409937,0.666666666666667
2,1,0.15,0.1,"separate",0.0892156862745097,0.0700140042014005,0.755153811021581,0.980392156862745
2,1,0.15,0.1,"hierarchical",0.0666666666666667,0.0658280588604383,0.83903911056155,0.866666666666667
4,1,0.15,0.1,"shared",0.0224137931034483,0.0557086014531156,0.931257933110756,0.689655172413793
4,1,0.15,0.1,"separate",0.0902750491159136,0.0664863310766904,0.727852819399518,0.982318271119843
4,1,0.15,0.1,"hierarchical",0.0695945945945946,0.0628705233213682,0.812957310192754,0.878378378378378
1,0.3,0.3,0.1,"shared",-0.3,0.1,0.149161231672944,0
1,0.3,0.3,0.1,"separate",-0.6,0.5,1,0
1,0.3,0.3,0.1,"hierarchical",-0.3,0.180277563773199,0.703113101598559,0
2,0.3,0.3,0.1,"shared",-0.238983050847458,0.0920574617898323,0.262367211584278,0.152542372881356
2,0.3,0.3,0.1,"separate",-0.0272727272727272,0.21320071635561,0.968094054121139,0.818181818181818
2,0.3,0.3,0.1,"hierarchical",-0.152365930599369,0.143194734055407,0.883693899302515,0.369085173501577
4,0.3,0.3,0.1,"shared",-0.233333333333333,0.0912870929175277,0.275559539201829,0.166666666666667
4,0.3,0.3,0.1,"separate",-0.0166666666666667,0.204124145231932,0.967524944531549,0.833333333333333
4,0.3,0.3,0.1,"hierarchical",-0.142424242424242,0.140345893053447,0.892576219863284,0.393939393939394
1,1,0.3,0.1,"shared",-0.3,0.1,0.149161231672944,0
1,1,0.3,0.1,"separate",-0.6,0.5,1,0
1,1,0.3,0.1,"hierarchical",-0.3,0.180277563773199,0.703113101598559,0
2,1,0.3,0.1,"shared",-0.0333333333333333,0.0577350269189626,0.911022997852599,0.666666666666667
2,1,0.3,0.1,"separate",0.0862745098039215,0.0700140042014005,0.768185540836343,0.980392156862745
2,1,0.3,0.1,"hierarchical",0.0466666666666666,0.0658280588604383,0.902883739845136,0.866666666666667
4,1,0.3,0.1,"shared",-0.0241379310344828,0.0557086014531156,0.928229201175297,0.689655172413793
4,1,0.3,0.1,"separate",0.0876227897838899,0.0664863310766904,0.740974943020566,0.982318271119843
4,1,0.3,0.1,"hierarchical",0.0513513513513513,0.0628705233213682,0.882018385222611,0.878378378378378
