"cell","method","n_ok","n_fail","bias","bias_mcse","emp_se","mod_se","coverage","cov_mcse","width","realized_pred","arm_C_bias","arm_B_bias","rho0","drho","cv_t","cv_lam","n_arm","gamma","arm","predicted","pred_arm_C","pred_arm_B"
6,"borrowed",1000,0,0.000614691745335447,0.00333788926898874,0.105553326674389,0.103871767747459,0.94,0.00750999334220744,0.407169847591057,0.0122320076975769,-0.0126900886178775,-0.00326212636796669,-0.2,0.2,0.3,0.2,250,0.2,"main",0.0120725812342692,-0.0120725812342692,0
6,"weighted",1000,0,0.000451742579646646,0.00330575875669888,0.104537270662149,0.103867309178033,0.943,0.00733150734842434,0.407152370320063,0.0122320076975769,-0.0126900886178775,-0.00326212636796669,-0.2,0.2,0.3,0.2,250,0.2,"main",0.0120725812342692,-0.0120725812342692,0
6,"sensitivity",1000,0,0.012787189882442,0.00336514458766771,0.106415215528181,NA,0.977,0.00474035863622153,0.502963866603804,0.0122320076975769,-0.0126900886178775,-0.00326212636796669,-0.2,0.2,0.3,0.2,250,0.2,"main",0.0120725812342692,-0.0120725812342692,0
6,"unweighted",1000,0,0.012787189882442,0.00336514458766771,0.106415215528181,0.105253610297154,0.94,0.00750999334220744,0.412586570850472,0.0122320076975769,-0.0126900886178775,-0.00326212636796669,-0.2,0.2,0.3,0.2,250,0.2,"main",0.0120725812342692,-0.0120725812342692,0
7,"borrowed",1000,0,-0.00204601758693329,0.00329574177507689,0.104220505890093,0.101799493514703,0.942,0.00739161687318817,0.399046681866471,-0.000997408286976975,-0.0266505166509166,-0.0268350321336104,-0.4,0.2,0.3,0.2,250,0.2,"main",-0.000882032735645667,-0.0242926925690446,-0.0251747253046903
7,"weighted",1000,0,-0.00125381215166726,0.00326450342459114,0.103232662511277,0.101701159835885,0.943,0.00733150734842434,0.39866122092857,-0.000997408286976975,-0.0266505166509166,-0.0268350321336104,-0.4,0.2,0.3,0.2,250,0.2,"main",-0.000882032735645667,-0.0242926925690446,-0.0251747253046903
7,"unweighted",1000,0,-0.0028620021442365,0.00343553584572213,0.108641182556348,0.106318551465193,0.946,0.00714730718522718,0.416761063520494,-0.000997408286976975,-0.0266505166509166,-0.0268350321336104,-0.4,0.2,0.3,0.2,250,0.2,"main",-0.000882032735645667,-0.0242926925690446,-0.0251747253046903
7,"sensitivity",1000,0,-0.0028620021442365,0.00343553584572213,0.108641182556348,NA,0.987,0.00358203852575597,0.508285786671333,-0.000997408286976975,-0.0266505166509166,-0.0268350321336104,-0.4,0.2,0.3,0.2,250,0.2,"main",-0.000882032735645667,-0.0242926925690446,-0.0251747253046903
8,"weighted",1000,0,-0.000219853576879358,0.00318373404739073,0.100678510539812,0.0999451688312981,0.953,0.00669260786241059,0.391777862676239,-0.0141342854460456,-0.0394305761578444,-0.0526564605643436,-0.6,0.2,0.3,0.2,250,0.2,"main",-0.0143356361034081,-0.0366639843715915,-0.0509996204749996
8,"unweighted",1000,0,-0.0151400180085218,0.00342753244920608,0.108388092936266,0.107414360663827,0.948,0.00702111102319284,0.421056556646992,-0.0141342854460456,-0.0394305761578444,-0.0526564605643436,-0.6,0.2,0.3,0.2,250,0.2,"main",-0.0143356361034081,-0.0366639843715915,-0.0509996204749996
8,"borrowed",1000,0,-0.000209862643024955,0.00320558665805889,0.101369550765134,0.099931589324705,0.953,0.00669260786241059,0.391724631988538,-0.0141342854460456,-0.0394305761578444,-0.0526564605643436,-0.6,0.2,0.3,0.2,250,0.2,"main",-0.0143356361034081,-0.0366639843715915,-0.0509996204749996
8,"sensitivity",1000,0,-0.0151400180085218,0.00342753244920608,0.108388092936266,NA,0.983,0.00408790900094413,0.511680604939625,-0.0141342854460456,-0.0394305761578444,-0.0526564605643436,-0.6,0.2,0.3,0.2,250,0.2,"main",-0.0143356361034081,-0.0366639843715915,-0.0509996204749996
9,"sensitivity",1000,0,0.0525793888833421,0.00325754782961028,0.103012707285066,NA,0.961,0.00612200947402077,0.496861127944475,0.0478619613600943,-0.00454194198017611,0.0485800540037781,0,0.4,0.3,0.2,250,0.2,"main",0.0485243848656148,0,0.0485243848656148
9,"borrowed",1000,0,0.00456173120274567,0.00338866910026957,0.107159125934853,0.10762793368136,0.952,0.00675988165576884,0.42189374749186,0.0478619613600943,-0.00454194198017611,0.0485800540037781,0,0.4,0.3,0.2,250,0.2,"main",0.0485243848656148,0,0.0485243848656148
