"cell","ratio","skew","floor_mass","m","method","n","truth_mean","truth_near","truth_tail","bias_mean","mcse_mean","rmse_mean","bias_near","mcse_near","rmse_near","bias_tail","mcse_tail","rmse_tail"
10,2,"none",0.25,0.3,"tobit",1000,5.38048561496745,0.129245,0.249075,0.0113883906199366,0.0213210359436886,0.673989378684311,0.000595011090873045,0.000848064641059157,0.0268113494620775,-0.000226519657602231,0.000771021440017008,0.0243706975292094
10,2,"none",0.25,0.3,"logistic_responder",1000,5.38048561496745,0.129245,0.249075,0.00961721534670089,0.0213805396253112,0.675842317427563,0.00161621652476067,0.00111802268562288,0.0353742407225474,0.000156919314843962,0.00104855327394955,0.0331419541972616
10,2,"none",0.25,0.3,"normal_arm_sd",1000,5.38048561496745,0.129245,0.249075,0.00961721534670089,0.0213805396253112,0.675842317427563,0.0336693665041058,0.000764288592546442,0.0414388604625143,0.0458493273635823,0.000863526283304749,0.0533581557403279
11,1,"moderate",0.25,0.3,"normal_pooled",1000,4.32097955407965,0.205585,0.1607525,0.00299806887292623,0.015831090071758,0.500381632221069,-0.0247098665475654,0.000754603647404265,0.0343428994525744,0.0228601403599575,0.000646020675941904,0.0306514500196589
11,1,"moderate",0.25,0.3,"logistic_responder",1000,4.32097955407965,0.205585,0.1607525,0.00299806887292623,0.015831090071758,0.500381632221069,-0.0005404653741045,0.000958482134384701,0.0302995283255916,0.00083757921172842,0.000952280625527388,0.030110348558278
11,1,"moderate",0.25,0.3,"normal_arm_sd",1000,4.32097955407965,0.205585,0.1607525,0.00299806887292623,0.015831090071758,0.500381632221069,-0.0288407222087648,0.000677551980098947,0.0359222057587422,0.0299066987933599,0.000830027267217613,0.0397827469109056
11,1,"moderate",0.25,0.3,"tobit",1000,4.32097955407965,0.205585,0.1607525,-0.0274802277256125,0.0159667175270355,0.505407059146791,-0.0165304197235831,0.000683574701485365,0.0272040782673503,0.00939950983325468,0.000788398906373604,0.0266327251298281
12,2,"moderate",0.25,0.3,"tobit",1000,5.13095695683853,0.11389,0.2088175,0.125297006357751,0.0253554062155295,0.811143062309214,-0.0127671333239194,0.00085239927014336,0.029813715376248,0.023133083827696,0.000908528534075312,0.0368746286830256
12,2,"moderate",0.25,0.3,"normal_pooled",1000,5.13095695683853,0.11389,0.2088175,-0.0317331405128392,0.0247715397788192,0.783595907363876,0.0718735377022827,0.00075652706432202,0.0757467246004347,-0.0334182108835749,0.000910030014099101,0.0440919866936582
12,2,"moderate",0.25,0.3,"normal_arm_sd",1000,5.13095695683853,0.11389,0.2088175,-0.0317331405128392,0.0247715397788192,0.783595907363876,0.0174391436640848,0.00076767096307496,0.0298806479276718,0.0702447063783316,0.00105657571572382,0.0777788831559843
12,2,"moderate",0.25,0.3,"logistic_responder",1000,5.13095695683853,0.11389,0.2088175,-0.0317331405128392,0.0247715397788192,0.783595907363876,-0.00104801755381429,0.00114117553054851,0.0360843130837244,-0.00175286781053249,0.00107708093413249,0.0340883525693785
13,1,"none",0,1,"tobit",1000,5.99697428587592,0.24143,0.232335,-0.0174386523250149,0.0224168476770468,0.70874300794509,0.000578083760142771,0.000922107591388276,0.029150751422897,-0.00146589788965809,0.000937214960296971,0.029658765425175
13,1,"none",0,1,"normal_pooled",1000,5.99697428587592,0.24143,0.232335,-0.0174386523250149,0.0224168476770468,0.70874300794509,0.000365153086154842,0.000918974728986842,0.0290482938352711,-0.00154066486637052,0.000914749367538143,0.0289534676202435
13,1,"none",0,1,"normal_arm_sd",1000,5.99697428587592,0.24143,0.232335,-0.0174386523250149,0.0224168476770468,0.70874300794509,0.000578083760142771,0.000922107591388276,0.029150751422897,-0.00146589788965809,0.000937214960296971,0.029658765425175
13,1,"none",0,1,"logistic_responder",1000,5.99697428587592,0.24143,0.232335,-0.0174386523250149,0.0224168476770468,0.70874300794509,-0.00527607158081407,0.00129711272347412,0.0413358905469196,-0.00223051488921234,0.00152523519390793,0.0482596234031061
14,2,"none",0,1,"logistic_responder",1000,5.99607965562908,0.1665175,0.287205,-0.00602455891747291,0.0366152664732617,1.15731298985158,-0.00315812949888592,0.00142993451246799,0.0453060898684588,-0.0013631370934643,0.00172657112918992,0.0545886889293339
14,2,"none",0,1,"normal_pooled",1000,5.99607965562908,0.1665175,0.287205,-0.00602455891747291,0.0366152664732617,1.15731298985158,0.0267638395760796,0.00103935871984535,0.0423732154883738,-0.0962856592538257,0.00125650714625909,0.104154498589045
14,2,"none",0,1,"tobit",1000,5.99607965562908,0.1665175,0.287205,-0.00602455891747291,0.0366152664732617,1.15731298985158,0.000496551156708137,0.00113577994332424,0.0359019866668848,-0.00117813097866007,0.00112147834750701,0.035466095962849
14,2,"none",0,1,"normal_arm_sd",1000,5.99607965562908,0.1665175,0.287205,-0.00602455891747291,0.0366152664732617,1.15731298985158,0.000496551156708137,0.00113577994332424,0.0359019866668848,-0.00117813097866007,0.00112147834750701,0.035466095962849
15,1,"moderate",0,1,"normal_pooled",1000,6.00059645222525,0.259335,0.210965,-0.0171096957312491,0.0217747820405778,0.688447335291357,-0.027119139336036,0.000879815518861778,0.0388426182203276,0.0174417782167469,0.000869495656650932,0.0325496897312415
15,1,"moderate",0,1,"tobit",1000,6.00059645222525,0.259335,0.210965,-0.0171096957312491,0.0217747820405778,0.688447335291357,-0.026700884352188,0.000839787362502391,0.0376493664832945,0.0172084430079508,0.00096165218815147,0.0349282216381456
15,1,"moderate",0,1,"logistic_responder",1000,6.00059645222525,0.259335,0.210965,-0.0171096957312491,0.0217747820405778,0.688447335291357,-0.000751250036433404,0.00123359172693705,0.0389973226880513,-0.0062376357894678,0.0015480851105619,0.0493262510462324
