"cell","cens","mu_t","kappa","ctrl","lambda_c","method","n_rep","truth","bias","mcse","emp_sd","mean_se","se_ratio","coverage","cov_mcse","ess_part","ess_prod","cor_w","cens_share","boot_fail"
8,0.6,1.2,-1.2,"none",0.0743234647448667,"tada_fixed",500,0.902912766712811,-0.173377454461899,0.0719172868032866,1.60811942049497,1.63651181767989,1.01765565220037,0.95,0.00974679434480897,112.815892471045,90.0973231936792,-0.183762525508505,0.597604,0
8,0.6,1.2,-1.2,"none",0.0743234647448667,"part_km",500,0.902912766712811,-0.3571617635759,0.0679797028211999,1.52007236598437,1.42748329485839,0.939089037339333,0.91,0.0127984374046209,112.815892471045,90.0973231936792,-0.183762525508505,0.597604,0
8,0.6,1.2,-1.2,"none",0.0743234647448667,"tada",500,0.902912766712811,-0.173377454461899,0.0719172868032866,1.60811942049497,1.49146955420675,0.927461937962095,0.918,0.0122699633251286,112.815892471045,90.0973231936792,-0.183762525508505,0.597604,0
8,0.6,1.2,-1.2,"none",0.0743234647448667,"tada_miss",500,0.902912766712811,-0.210211813370463,0.0730533718677871,1.63352305481943,1.53252427624877,0.938171194907428,0.916,0.0124051602166195,112.815892471045,90.0973231936792,-0.183762525508505,0.597604,0
9,0,1.2,1.2,"no_censoring",0,"tada",500,0.902912766712811,0.00679922557905968,0.0651786244048806,1.4574383484924,1.3360133411765,0.916686007719294,0.916,0.0124051602166195,111.399897050528,111.399897050528,NA,0,0
9,0,1.2,1.2,"no_censoring",0,"tada_fixed",500,0.902912766712811,0.00679922557905968,0.0651786244048806,1.4574383484924,1.37231432473312,0.941593396490951,0.938,0.0107848041243223,111.399897050528,111.399897050528,NA,0,0
9,0,1.2,1.2,"no_censoring",0,"part_km",500,0.902912766712811,0.00679922557906145,0.0651786244048806,1.4574383484924,1.3360133411765,0.916686007719293,0.916,0.0124051602166195,111.399897050528,111.399897050528,NA,0,0
9,0,1.2,1.2,"no_censoring",0,"tada_miss",500,0.902912766712811,0.00679922557905968,0.0651786244048806,1.4574383484924,1.3360133411765,0.916686007719294,0.916,0.0124051602166195,111.399897050528,111.399897050528,NA,0,0
10,0.6,1.2,0,"independent",0.068281556537005,"part_km",500,0.902912766712811,-0.180343610846339,0.0742279218137968,1.65978679004189,1.62452332416747,0.978754219466024,0.918,0.0122699633251286,111.280730743759,62.6039687283563,-0.231391662182328,0.60116,0
10,0.6,1.2,0,"independent",0.068281556537005,"tada",500,0.902912766712811,-0.095431879189838,0.0827034867872153,1.84930618432469,1.74856004435411,0.945522195932434,0.918,0.0122699633251286,111.280730743759,62.6039687283563,-0.231391662182328,0.60116,0
10,0.6,1.2,0,"independent",0.068281556537005,"tada_fixed",500,0.902912766712811,-0.095431879189838,0.0827034867872153,1.84930618432469,1.91499964582771,1.03552330169004,0.95,0.00974679434480897,111.280730743759,62.6039687283563,-0.231391662182328,0.60116,0
10,0.6,1.2,0,"independent",0.068281556537005,"tada_miss",500,0.902912766712811,-0.0843366953402238,0.0838498583018709,1.87493983066708,1.75698973261846,0.937091262279785,0.91,0.0127984374046209,111.280730743759,62.6039687283563,-0.231391662182328,0.60116,0
