"margin","link","gamma","r","n","label","mean","sd","truth_family","truth","error","rmse"
"beta","identity",0.3,0.6,256,"identity:0.3",-0.5,5.84991873127988e-17,"gauss",-0.5,0,5.84991873127988e-17
"beta","identity",0.3,0.6,256,"identity:0.3",-0.5,5.84991873127988e-17,"t3",-0.5,2.22044604925031e-16,5.84991873127988e-17
"beta","identity",0.3,0.6,1024,"identity:0.3",-0.5,6.72426966394515e-17,"clayton",-0.5,2.22044604925031e-16,6.72426966394515e-17
"beta","identity",0.3,0.6,1024,"identity:0.3",-0.5,6.72426966394515e-17,"gumbel",-0.5,5.55111512312578e-17,6.72426966394515e-17
"beta","identity",0.3,0.6,1024,"identity:0.3",-0.5,6.72426966394515e-17,"gauss",-0.5,0,6.72426966394515e-17
"beta","identity",0.3,0.6,1024,"identity:0.3",-0.5,6.72426966394515e-17,"t3",-0.5,2.22044604925031e-16,6.72426966394515e-17
"beta","identity",0.3,0.6,4096,"identity:0.3",-0.5,6.59639806919362e-17,"clayton",-0.5,2.22044604925031e-16,6.59639806919362e-17
"beta","identity",0.3,0.6,4096,"identity:0.3",-0.5,6.59639806919362e-17,"gumbel",-0.5,5.55111512312578e-17,6.59639806919362e-17
"beta","identity",0.3,0.6,4096,"identity:0.3",-0.5,6.59639806919362e-17,"gauss",-0.5,0,6.59639806919362e-17
"beta","identity",0.3,0.6,4096,"identity:0.3",-0.5,6.59639806919362e-17,"t3",-0.5,2.22044604925031e-16,6.59639806919362e-17
"beta","log",0.15,0.6,1024,"log:0.15",0.246395886621208,0.0535050887859803,"gumbel",0.442925766544516,-0.187938171913613,0.203683058276003
"beta","log",0.15,0.6,1024,"log:0.15",0.246395886621208,0.0535050887859803,"clayton",0.04317585745136,0.211811737179543,0.210145603765079
"beta","log",0.15,0.6,1024,"log:0.15",0.246395886621208,0.0535050887859803,"gauss",0.254987594630904,0,0.0541905155218098
"beta","log",0.15,0.6,1024,"log:0.15",0.246395886621208,0.0535050887859803,"t3",0.378852418579043,-0.123864823948139,0.142854917256259
"beta","log",0.15,0.6,4096,"log:0.15",0.257687858439936,0.0278658944533465,"gumbel",0.442925766544516,-0.187938171913613,0.187322157452464
"beta","log",0.15,0.6,4096,"log:0.15",0.257687858439936,0.0278658944533465,"clayton",0.04317585745136,0.211811737179543,0.21631436993831
"beta","log",0.15,0.6,4096,"log:0.15",0.257687858439936,0.0278658944533465,"gauss",0.254987594630904,0,0.0279964193839751
"beta","log",0.15,0.6,4096,"log:0.15",0.257687858439936,0.0278658944533465,"t3",0.378852418579043,-0.123864823948139,0.124327626484978
"beta","log",0.15,0.6,64,"log:0.15",0.19232691137579,0.184049792468414,"gumbel",0.442925766544516,-0.187938171913613,0.310924608739068
"beta","log",0.15,0.6,64,"log:0.15",0.19232691137579,0.184049792468414,"clayton",0.04317585745136,0.211811737179543,0.236897368061434
"beta","log",0.15,0.6,64,"log:0.15",0.19232691137579,0.184049792468414,"gauss",0.254987594630904,0,0.194423988575649
"beta","log",0.15,0.6,64,"log:0.15",0.19232691137579,0.184049792468414,"t3",0.378852418579043,-0.123864823948139,0.26204215490088
"beta","log",0.15,0.6,256,"log:0.15",0.228514862459184,0.111455910961879,"gumbel",0.442925766544516,-0.187938171913613,0.241649448331735
"beta","log",0.15,0.6,256,"log:0.15",0.228514862459184,0.111455910961879,"clayton",0.04317585745136,0.211811737179543,0.216270587148675
"beta","log",0.15,0.6,256,"log:0.15",0.228514862459184,0.111455910961879,"gauss",0.254987594630904,0,0.114556648157049
"beta","log",0.15,0.6,256,"log:0.15",0.228514862459184,0.111455910961879,"t3",0.378852418579043,-0.123864823948139,0.187146469024756
"beta","log",0.3,0.6,64,"log:0.3",1.0066966484657,0.393251918041053,"clayton",0.694656084903643,0.510000417821579,0.502012334859506
"beta","log",0.3,0.6,64,"log:0.3",1.0066966484657,0.393251918041053,"t3",1.50550437838767,-0.300847875662444,0.635182038846248
"beta","log",0.3,0.6,64,"log:0.3",1.0066966484657,0.393251918041053,"gumbel",1.63351765341425,-0.428861150689024,0.739967325824375
"beta","log",0.3,0.6,64,"log:0.3",1.0066966484657,0.393251918041053,"gauss",1.20465650272522,0,0.440267163142355
"beta","log",0.3,0.6,256,"log:0.3",1.11575293128631,0.261887766541852,"clayton",0.694656084903643,0.510000417821579,0.495890871359523
"beta","log",0.3,0.6,256,"log:0.3",1.11575293128631,0.261887766541852,"t3",1.50550437838767,-0.300847875662444,0.469565110268942
"beta","log",0.3,0.6,256,"log:0.3",1.11575293128631,0.261887766541852,"gumbel",1.63351765341425,-0.428861150689024,0.580228842565158
"beta","log",0.3,0.6,256,"log:0.3",1.11575293128631,0.261887766541852,"gauss",1.20465650272522,0,0.276566533186633
"beta","log",0.3,0.6,1024,"log:0.3",1.17222264438092,0.140668597800984,"clayton",0.694656084903643,0.510000417821579,0.497852862940707
"beta","log",0.3,0.6,1024,"log:0.3",1.17222264438092,0.140668597800984,"t3",1.50550437838767,-0.300847875662444,0.361751805288987
"beta","log",0.3,0.6,1024,"log:0.3",1.17222264438092,0.140668597800984,"gumbel",1.63351765341425,-0.428861150689024,0.482266254019867
"beta","log",0.3,0.6,1024,"log:0.3",1.17222264438092,0.140668597800984,"gauss",1.20465650272522,0,0.144359307196984
"beta","log",0.3,0.6,4096,"log:0.3",1.21008776569426,0.0816972659545903,"clayton",0.694656084903643,0.510000417821579,0.521866133052429
"beta","log",0.3,0.6,4096,"log:0.3",1.21008776569426,0.0816972659545903,"t3",1.50550437838767,-0.300847875662444,0.306505168504062
"beta","log",0.3,0.6,4096,"log:0.3",1.21008776569426,0.0816972659545903,"gumbel",1.63351765341425,-0.428861150689024,0.431239275900304
