"margin","r","link","gamma","truth_family","recon","truth","error","mcse","env_lo","env_hi","contained"
"beta",0.3,"cloglog",0.3,"t3","clayton",-0.2827056523364,0.034845763513005,5.50450225035134e-05,-0.292394173137983,-0.247859888823396,TRUE
"beta",0.3,"cloglog",0.3,"t3","gauss",-0.2827056523364,0.0129662780664898,0.000178813900251722,-0.292394173137983,-0.247859888823396,TRUE
"beta",0.3,"cloglog",0.3,"t3","gauss_uncal",-0.2827056523364,0.012295158094635,0.000190173139436862,-0.292394173137983,-0.247859888823396,TRUE
"beta",0.3,"cloglog",0.3,"clayton","gumbel",-0.247859888823396,-0.0445342843145873,0.000281388017603094,-0.292394173137983,-0.247859888823396,TRUE
"beta",0.3,"cloglog",0.3,"gumbel","gauss",-0.292394173137983,0.0226547988680721,0.000328821642948604,-0.292394173137983,-0.247859888823396,TRUE
"beta",0.3,"cloglog",0.3,"gauss","sclayton",-0.269739374269911,-0.0220454952706845,0.00037629689783181,-0.292394173137983,-0.247859888823396,TRUE
"beta",0.3,"cloglog",0.3,"gumbel","sgumbel",-0.292394173137983,0.0354114921448136,0.000292458016963194,-0.292394173137983,-0.247859888823396,TRUE
"beta",0.3,"cloglog",0.3,"t3","sclayton",-0.2827056523364,-0.00907921720419469,0.000336270221690373,-0.292394173137983,-0.247859888823396,TRUE
"beta",0.3,"cloglog",0.3,"clayton","sclayton",-0.247859888823396,-0.0439249807171997,0.000335641026838233,-0.292394173137983,-0.247859888823396,TRUE
"beta",0.3,"cloglog",0.3,"gauss","clayton",-0.269739374269911,0.0218794854465152,0.000177627835162632,-0.292394173137983,-0.247859888823396,TRUE
"beta",0.3,"cloglog",0.3,"gauss","sgumbel",-0.269739374269911,0.0127566932767415,0.000194689812419675,-0.292394173137983,-0.247859888823396,TRUE
"beta",0.3,"cloglog",0.3,"gauss","gumbel",-0.269739374269911,-0.0226547988680721,0.000328821642948604,-0.292394173137983,-0.247859888823396,TRUE
"beta",0.3,"cloglog",0.3,"t3","sgumbel",-0.2827056523364,0.0257229713432313,9.6862943057999e-05,-0.292394173137983,-0.247859888823396,TRUE
"beta",0.3,"cloglog",0.3,"gauss","gauss",-0.269739374269911,0,0.000245959558150082,-0.292394173137983,-0.247859888823396,TRUE
"beta",0.3,"cloglog",0.3,"clayton","sgumbel",-0.247859888823396,-0.00912279216977366,9.46555156300349e-05,-0.292394173137983,-0.247859888823396,TRUE
"beta",0.3,"cloglog",0.3,"t3","gumbel",-0.2827056523364,-0.00968852080158233,0.000282138227734684,-0.292394173137983,-0.247859888823396,TRUE
"beta",0.3,"cloglog",0.3,"gauss","gauss_uncal",-0.269739374269911,-0.000671119971854761,0.000254337406382591,-0.292394173137983,-0.247859888823396,TRUE
"beta",0.3,"cloglog",0.3,"gumbel","sclayton",-0.292394173137983,0.000609303597387645,0.000435002211424125,-0.292394173137983,-0.247859888823396,TRUE
"beta",0.3,"cloglog",0.3,"gumbel","clayton",-0.292394173137983,0.0445342843145873,0.000281388017603094,-0.292394173137983,-0.247859888823396,TRUE
"beta",0.3,"identity",0.15,"t3","sgumbel",-0.5,-5.55111512312578e-17,5.06745162040676e-17,-0.5,-0.5,TRUE
