"margin","r","family","label","value","batch_sd","link","gamma"
"beta",0.3,"t3","cloglog:0.15",-0.320411928233803,0.000111453072452509,"cloglog",0.15
"beta",0.3,"t3","cloglog:0.3",-0.2827056523364,8.30989482614753e-05,"cloglog",0.3
"beta",0.3,"gauss_uncal","identity:0.15",-0.5,6.40987562127855e-17,"identity",0.15
"beta",0.3,"gauss_uncal","identity:0.3",-0.5,9.06493303673679e-17,"identity",0.3
"beta",0.3,"gauss_uncal","logit:0.15",-0.294966528314211,0.000447899723013235,"logit",0.15
"beta",0.3,"gauss_uncal","logit:0.3",-0.198387939935478,0.000586324526598066,"logit",0.3
"beta",0.3,"gauss_uncal","log:0.15",0.0293677366891614,0.0041822761504325,"log",0.15
"beta",0.3,"gauss_uncal","log:0.3",0.716378659939759,0.0129824714166341,"log",0.3
"beta",0.3,"gauss_uncal","cloglog:0.15",-0.310187487756936,0.000381446618921842,"cloglog",0.15
"beta",0.3,"gauss_uncal","cloglog:0.3",-0.270410494241765,0.000371157455335233,"cloglog",0.3
"normal",0.6,"gauss","identity:0.15",-0.5,1.11022302462516e-16,"identity",0.15
"normal",0.6,"gauss","identity:0.3",-0.5,9.61481343191782e-17,"identity",0.3
"normal",0.6,"gauss","logit:0.15",-0.257547082801909,0.000372851608462753,"logit",0.15
"normal",0.6,"gauss","logit:0.3",-0.142665942765946,0.000604807380938849,"logit",0.3
"normal",0.6,"gauss","log:0.15",0.0654725260408291,0.00210413009629705,"log",0.15
"normal",0.6,"gauss","log:0.3",0.776089967850214,0.0061895671798527,"log",0.3
"normal",0.6,"gauss","cloglog:0.15",-0.2739751339535,0.000401847206179999,"cloglog",0.15
"normal",0.6,"gauss","cloglog:0.3",-0.224101761978472,0.000611613334921403,"cloglog",0.3
"normal",0.6,"clayton","identity:0.15",-0.5,1.92296268638356e-16,"identity",0.15
"normal",0.6,"clayton","identity:0.3",-0.5,1.43329176164975e-16,"identity",0.3
"normal",0.6,"clayton","logit:0.15",-0.254670672973224,0.000357807846900695,"logit",0.15
"normal",0.6,"clayton","logit:0.3",-0.12315881924813,0.000457302511215595,"logit",0.3
"normal",0.6,"clayton","log:0.15",-0.0848982891693126,0.00136909083323529,"log",0.15
"normal",0.6,"clayton","log:0.3",0.405887588624545,0.00349822923299539,"log",0.3
"normal",0.6,"clayton","cloglog:0.15",-0.263373606427253,0.000292967304542771,"cloglog",0.15
"normal",0.6,"clayton","cloglog:0.3",-0.198645391538323,0.000295091721081799,"cloglog",0.3
"normal",0.6,"gumbel","identity:0.15",-0.5,8.47946841437934e-17,"identity",0.15
"normal",0.6,"gumbel","identity:0.3",-0.5,7.16645880824876e-17,"identity",0.3
"normal",0.6,"gumbel","logit:0.15",-0.262316224206597,0.000221875279442222,"logit",0.15
"normal",0.6,"gumbel","logit:0.3",-0.158118976755212,0.000248507452673066,"logit",0.3
"normal",0.6,"gumbel","log:0.15",0.209766425809287,0.00469691195333774,"log",0.15
"normal",0.6,"gumbel","log:0.3",1.13108103802845,0.0128428029163236,"log",0.3
"normal",0.6,"gumbel","cloglog:0.15",-0.282528167163312,0.000149356644944077,"cloglog",0.15
"normal",0.6,"gumbel","cloglog:0.3",-0.240644257584457,0.000220315071324356,"cloglog",0.3
"normal",0.6,"sclayton","identity:0.15",-0.5,6.40987562127855e-17,"identity",0.15
"normal",0.6,"sclayton","identity:0.3",-0.5,4.53246651836839e-17,"identity",0.3
"normal",0.6,"sclayton","logit:0.15",-0.260384477344375,0.000159884585168722,"logit",0.15
"normal",0.6,"sclayton","logit:0.3",-0.160026108744305,0.000381569713568683,"logit",0.3
"normal",0.6,"sclayton","log:0.15",0.239864060242757,0.00554850384952342,"log",0.15
"normal",0.6,"sclayton","log:0.3",1.19912623726271,0.0233473884229977,"log",0.3
"normal",0.6,"sclayton","cloglog:0.15",-0.282954439293048,0.000210855023659086,"cloglog",0.15
"normal",0.6,"sclayton","cloglog:0.3",-0.246442551833652,0.000425078067479349,"cloglog",0.3
"normal",0.6,"sgumbel","identity:0.15",-0.5,9.61481343191782e-17,"identity",0.15
"normal",0.6,"sgumbel","identity:0.3",-0.5,1.01349032408135e-16,"identity",0.3
"normal",0.6,"sgumbel","logit:0.15",-0.258219252404534,0.000740757128750774,"logit",0.15
"normal",0.6,"sgumbel","logit:0.3",-0.135712381796874,0.000934831491180791,"logit",0.3
"normal",0.6,"sgumbel","log:0.15",-0.0150498289834849,0.00224123027190707,"log",0.15
"normal",0.6,"sgumbel","log:0.3",0.581736027796908,0.00667700096133955,"log",0.3
"normal",0.6,"sgumbel","cloglog:0.15",-0.27080108134027,0.00063594125908114,"cloglog",0.15
"normal",0.6,"sgumbel","cloglog:0.3",-0.213105396551307,0.000528623785683707,"cloglog",0.3
"normal",0.6,"t3","identity:0.15",-0.5,3.20493781063927e-17,"identity",0.15
"normal",0.6,"t3","identity:0.3",-0.5,4.53246651836839e-17,"identity",0.3
"normal",0.6,"t3","logit:0.15",-0.264640664000533,0.000130756636552546,"logit",0.15
"normal",0.6,"t3","logit:0.3",-0.153857684409133,0.000116694576845141,"logit",0.3
"normal",0.6,"t3","log:0.15",0.144504822340553,0.00589286729566569,"log",0.15
"normal",0.6,"t3","log:0.3",0.998326509180923,0.0204033194850251,"log",0.3
"normal",0.6,"t3","cloglog:0.15",-0.281168009281234,8.10440934459673e-05,"cloglog",0.15
"normal",0.6,"t3","cloglog:0.3",-0.231516821125587,0.000209176683605699,"cloglog",0.3
"normal",0.6,"gauss_uncal","identity:0.15",-0.5,1.11022302462516e-16,"identity",0.15
"normal",0.6,"gauss_uncal","identity:0.3",-0.5,7.16645880824876e-17,"identity",0.3
"normal",0.6,"gauss_uncal","logit:0.15",-0.257747927215144,0.000400543238597704,"logit",0.15
"normal",0.6,"gauss_uncal","logit:0.3",-0.143176515769666,0.000540755360672871,"logit",0.3
"normal",0.6,"gauss_uncal","log:0.15",0.06975961791465,0.00174076794690437,"log",0.15
"normal",0.6,"gauss_uncal","log:0.3",0.789076605774802,0.00556821202166101,"log",0.3
"normal",0.6,"gauss_uncal","cloglog:0.15",-0.274295302310967,0.000383792962023747,"cloglog",0.15
"normal",0.6,"gauss_uncal","cloglog:0.3",-0.224596695138522,0.000613674319589112,"cloglog",0.3
"beta",0.6,"gauss","identity:0.15",-0.5,7.85046229341888e-17,"identity",0.15
"beta",0.6,"gauss","identity:0.3",-0.5,2.19719466455084e-16,"identity",0.3
"beta",0.6,"gauss","logit:0.15",-0.259207787391744,0.000322832497811884,"logit",0.15
"beta",0.6,"gauss","logit:0.3",-0.161708498557292,0.00033149165530527,"logit",0.3
"beta",0.6,"gauss","log:0.15",0.254987594630904,0.00472604553376644,"log",0.15
"beta",0.6,"gauss","log:0.3",1.20465650272522,0.0140730445923232,"log",0.3
"beta",0.6,"gauss","cloglog:0.15",-0.28326066216389,0.000208280893313188,"cloglog",0.15
"beta",0.6,"gauss","cloglog:0.3",-0.249792751733173,0.0003205945453726,"cloglog",0.3
"beta",0.6,"clayton","identity:0.15",-0.5,9.06493303673679e-17,"identity",0.15
"beta",0.6,"clayton","identity:0.3",-0.5,1.11022302462516e-16,"identity",0.3
"beta",0.6,"clayton","logit:0.15",-0.244827307910887,0.00019916718084451,"logit",0.15
"beta",0.6,"clayton","logit:0.3",-0.127878838411987,0.000236397065368242,"logit",0.3
"beta",0.6,"clayton","log:0.15",0.04317585745136,0.00290446922144366,"log",0.15
"beta",0.6,"clayton","log:0.3",0.694656084903643,0.00706107678301159,"log",0.3
"beta",0.6,"clayton","cloglog:0.15",-0.263374766670134,0.00018527366209197,"cloglog",0.15
"beta",0.6,"clayton","cloglog:0.3",-0.217756229012512,0.000229697204129003,"cloglog",0.3
"beta",0.6,"gumbel","identity:0.15",-0.5,6.40987562127855e-17,"identity",0.15
"beta",0.6,"gumbel","identity:0.3",-0.5,1.06295761943136e-16,"identity",0.3
"beta",0.6,"gumbel","logit:0.15",-0.270413590145039,0.000564337331551634,"logit",0.15
