"cell","scale","p_ipd","sep","beta","method","truth","n","bias","mcse","emp_sd","se_ratio","coverage","rmse","pred_b1"
17,"continuous",0.75,1,0,"two_stage_cond",-0.3,1000,0.00245649281684514,0.00131165579376916,0.0414781981446663,0.952833773297282,0.938,0.041530167798434,0
17,"continuous",0.75,1,0,"transported",-0.3,1000,0.00257937279447223,0.00147543257433458,0.0466572746890298,0.875233141066263,0.922,0.0467052196669605,0
17,"continuous",0.75,1,0,"two_stage_marg",-0.3,1000,0.00245649281684514,0.00131165579376916,0.0414781981446663,0.952833773297282,0.938,0.041530167798434,0
18,"binary",0.75,1,0,"two_stage_cond",-0.283750587439143,1000,-0.00914311071156907,0.00248620440545236,0.0786206864997422,1.03345554408263,0.963,0.0791114884629854,-0.000443636737252756
18,"binary",0.75,1,0,"transported",-0.283750587439143,1000,0.00295159452756074,0.00276972326604458,0.0875863400906138,0.937771791179013,0.935,0.0875922799894678,-0.000443636737252756
18,"binary",0.75,1,0,"two_stage_marg",-0.283750587439143,1000,0.00390731281174919,0.00244019610210301,0.0771657762011032,1.02860753843735,0.957,0.0772260937320468,-0.000443636737252756
19,"continuous",0.25,0,0.3,"transported",-0.15,1000,0.00100248780396204,0.00127971403032426,0.0404681108949844,0.995810248054376,0.944,0.040460293044001,0
19,"continuous",0.25,0,0.3,"two_stage_marg",-0.15,1000,0.00100248780396204,0.00127971403032426,0.0404681108949844,0.995810248054376,0.944,0.040460293044001,0
19,"continuous",0.25,0,0.3,"two_stage_cond",-0.15,1000,0.00100248780396204,0.00127971403032426,0.0404681108949844,0.995810248054376,0.944,0.040460293044001,0
20,"binary",0.25,0,0.3,"transported",-0.114680782645236,1000,-0.00354695775489238,0.00212190963780986,0.0671006744454209,1.05541290997877,0.957,0.0671608436504063,0
20,"binary",0.25,0,0.3,"two_stage_marg",-0.114680782645236,1000,-0.00354695775489238,0.00212190963780986,0.0671006744454209,1.05541290997877,0.957,0.0671608436504063,0
20,"binary",0.25,0,0.3,"two_stage_cond",-0.114680782645236,1000,-0.0115537339880295,0.00217481819696277,0.0687737899918303,1.05719312788334,0.954,0.0697036091226034,0
21,"continuous",0.5,0,0.3,"two_stage_cond",-0.15,1000,0.00128348487556576,0.00123817708209558,0.0391545972604334,0.980953329639603,0.946,0.0391560562054699,0
21,"continuous",0.5,0,0.3,"two_stage_marg",-0.15,1000,0.00128348487556576,0.00123817708209558,0.0391545972604334,0.980953329639603,0.946,0.0391560562054699,0
21,"continuous",0.5,0,0.3,"transported",-0.15,1000,0.00128348487556576,0.00123817708209558,0.0391545972604334,0.980953329639603,0.946,0.0391560562054699,0
22,"binary",0.5,0,0.3,"two_stage_cond",-0.114680782645236,1000,-0.0199321319807933,0.0024094682648327,0.0761940766676511,0.967926168689136,0.931,0.0787211640362135,0
22,"binary",0.5,0,0.3,"transported",-0.114680782645236,1000,-0.0030600301937803,0.00228249771281767,0.0721789152662875,0.969765808036147,0.939,0.0722076851726721,0
22,"binary",0.5,0,0.3,"two_stage_marg",-0.114680782645236,1000,-0.0030600301937803,0.00228249771281767,0.0721789152662875,0.969765808036147,0.939,0.0722076851726721,0
23,"continuous",0.75,0,0.3,"transported",-0.15,1000,-0.00129374853598546,0.00116370448572274,0.0367995669823874,0.999644869561656,0.946,0.0368039088581021,0
23,"continuous",0.75,0,0.3,"two_stage_cond",-0.15,1000,-0.00129374853598546,0.00116370448572274,0.0367995669823874,0.999644869561656,0.946,0.0368039088581021,0
23,"continuous",0.75,0,0.3,"two_stage_marg",-0.15,1000,-0.00129374853598546,0.00116370448572274,0.0367995669823874,0.999644869561656,0.946,0.0368039088581021,0
24,"binary",0.75,0,0.3,"two_stage_marg",-0.114680782645236,1000,-0.00203807919037822,0.00221369395236036,0.0700031493199902,0.988344550042378,0.948,0.0699978159701314,0
24,"binary",0.75,0,0.3,"transported",-0.114680782645236,1000,-0.00203807919037822,0.00221369395236036,0.0700031493199902,0.988344550042378,0.948,0.0699978159701314,0
24,"binary",0.75,0,0.3,"two_stage_cond",-0.114680782645236,1000,-0.0280028701308952,0.00239443669724287,0.075718736763785,0.988219649468032,0.928,0.0806954429046278,0
25,"continuous",0.25,0.5,0.3,"two_stage_marg",-0.15,1000,-0.105577335848099,0.00128788480960557,0.0407264936228589,0.997632573038098,0.265,0.113152827981948,-0.1125
25,"continuous",0.25,0.5,0.3,"two_stage_cond",-0.15,1000,-0.105577335848099,0.00128788480960557,0.0407264936228589,0.997632573038098,0.265,0.113152827981948,-0.1125
25,"continuous",0.25,0.5,0.3,"transported",-0.15,1000,-0.001428980549005,0.00158266325216341,0.0500482064588579,0.947449402904966,0.94,0.0500435823276886,-0.1125
26,"binary",0.25,0.5,0.3,"two_stage_cond",-0.114680782645236,1000,-0.0970137698758798,0.002368417433239,0.0748959353908501,1.00012526812905,0.743,0.122537599464256,-0.0872093383550131
26,"binary",0.25,0.5,0.3,"two_stage_marg",-0.114680782645236,1000,-0.0852973046018402,0.00231798543379936,0.0733011355389942,1.00069214942777,0.783,0.112442490132395,-0.0872093383550131
26,"binary",0.25,0.5,0.3,"transported",-0.114680782645236,1000,-0.00613818495009805,0.00280207030579978,0.0886092433025183,0.961223256734932,0.94,0.0887773829031238,-0.0872093383550131
27,"continuous",0.5,0.5,0.3,"transported",-0.15,1000,-0.00154820866295378,0.00133255539777239,0.0421391016531241,0.961860251480583,0.934,0.0421464723827302,-0.075
