"cell","n_t","eps","release","em","method","infeasible","n_ok","bias","mcse","rmse","coverage","cov_mcse","width"
32,150,4,"means","quadratic","private_propagated",0,1000,0.0899889678946749,0.00667447791346644,0.229351523004934,0.944,0.00727076337120113,0.839179537063752
32,150,4,"means","quadratic","non_private",0,1000,0.0897685163605249,0.00660880949716754,0.227356709020103,0.942,0.00739161687318817,0.834158531916292
32,150,4,"means","quadratic","private_ignored",0,1000,0.0899889678946749,0.00667447791346644,0.229351523004934,0.943,0.00733150734842434,0.835110784424165
33,500,4,"means","quadratic","non_private",0,1000,0.104253784412823,0.0066055604514921,0.23336376542607,0.935,0.0077958322198467,0.836169086326044
33,500,4,"means","quadratic","private_ignored",0,1000,0.104389327139497,0.0066077810302188,0.233487128111622,0.935,0.0077958322198467,0.836115223868856
33,500,4,"means","quadratic","private_propagated",0,1000,0.104389327139497,0.0066077810302188,0.233487128111622,0.935,0.0077958322198467,0.836505682427535
34,40,Inf,"means","quadratic","private_ignored",0,1000,0.103448729870411,0.00692811217301819,0.242182532928042,0.929,0.00812151463706124,0.840356689595503
34,40,Inf,"means","quadratic","non_private",0,1000,0.103448729870411,0.00692811217301819,0.242182532928042,0.929,0.00812151463706124,0.840356689595503
34,40,Inf,"means","quadratic","private_propagated",0,1000,0.103448729870411,0.00692811217301819,0.242182532928042,0.929,0.00812151463706124,0.840356689595503
35,150,Inf,"means","quadratic","private_ignored",0,1000,0.0807718911849704,0.00661005570566013,0.223993843667845,0.935,0.0077958322198467,0.819095643371471
35,150,Inf,"means","quadratic","private_propagated",0,1000,0.0807718911849704,0.00661005570566013,0.223993843667845,0.935,0.0077958322198467,0.819095643371471
35,150,Inf,"means","quadratic","non_private",0,1000,0.0807718911849704,0.00661005570566013,0.223993843667845,0.935,0.0077958322198467,0.819095643371471
36,500,Inf,"means","quadratic","private_propagated",0,1000,0.104424456229509,0.00668340667990454,0.235643213318297,0.943,0.00733150734842434,0.832240468452845
36,500,Inf,"means","quadratic","private_ignored",0,1000,0.104424456229509,0.00668340667990454,0.235643213318297,0.943,0.00733150734842434,0.832240468452845
36,500,Inf,"means","quadratic","non_private",0,1000,0.104424456229509,0.00668340667990454,0.235643213318297,0.943,0.00733150734842434,0.832240468452845
37,40,0.5,"means_sds","quadratic","non_private",0,1000,-0.000967050012583354,0.00578627825341278,0.182889229304567,0.934,0.00785136930732467,0.685583288761485
37,40,0.5,"means_sds","quadratic","private_propagated",0.872,128,0.258158882424937,0.0832642426558471,0.973205343140116,1,0,11.178714613458
37,40,0.5,"means_sds","quadratic","private_ignored",0.872,128,0.258158882424937,0.0832642426558471,0.973205343140116,0.734375,0.0390380783033334,1.78174475980824
38,150,0.5,"means_sds","quadratic","private_ignored",0.446,554,0.0312362183789789,0.0151059177793099,0.356600730747828,0.855595667870036,0.0149337720257503,0.902470379865648
38,150,0.5,"means_sds","quadratic","non_private",0,1000,-0.00362830874024943,0.00529422137270111,0.167373581510155,0.957,0.00641490451994416,0.670066681275944
38,150,0.5,"means_sds","quadratic","private_propagated",0.446,554,0.0312362183789789,0.0151059177793099,0.356600730747828,0.989169675090253,0.00439745351567894,2.17615549291273
39,500,0.5,"means_sds","quadratic","private_ignored",0.057,943,-0.0085063628507042,0.00648554030617751,0.199235995127246,0.928950159066808,0.00836607811517595,0.714913395137657
39,500,0.5,"means_sds","quadratic","private_propagated",0.057,943,-0.0085063628507042,0.00648554030617751,0.199235995127246,0.95864262990456,0.00648408918426894,0.875824435373595
39,500,0.5,"means_sds","quadratic","non_private",0,1000,-0.0123596212244869,0.00537352289890177,0.170289852409031,0.945,0.00720936890441875,0.662966226923446
40,40,1,"means_sds","quadratic","private_propagated",0.697,303,0.0943116272894988,0.030222253470973,0.533607377863952,1,0,5.64734955011423
40,40,1,"means_sds","quadratic","private_ignored",0.697,303,0.0943116272894988,0.030222253470973,0.533607377863952,0.749174917491749,0.0249032358689089,1.27197469471562
40,40,1,"means_sds","quadratic","non_private",0,1000,-0.00882517937932718,0.00553091352282233,0.175037987830126,0.95,0.00689202437604511,0.688517597016571
41,150,1,"means_sds","quadratic","non_private",0,1000,-0.00292721097295724,0.00508372791221578,0.160707852204043,0.962,0.00604615580348373,0.667275107963316
41,150,1,"means_sds","quadratic","private_propagated",0.187,813,-0.00169726529353344,0.00841736012813472,0.239863847524313,0.976629766297663,0.00529847919407361,1.20003060919571
41,150,1,"means_sds","quadratic","private_ignored",0.187,813,-0.00169726529353344,0.00841736012813472,0.239863847524313,0.883148831488315,0.0112664788660123,0.755370140990776
42,500,1,"means_sds","quadratic","non_private",0,1000,0.00670011747426963,0.00529611876839099,0.167528256449661,0.951,0.00682634602111555,0.666973682456637
42,500,1,"means_sds","quadratic","private_ignored",0,1000,0.00444627043793528,0.00556422075553286,0.175924305837748,0.943,0.00733150734842434,0.678631983523494
42,500,1,"means_sds","quadratic","private_propagated",0,1000,0.00444627043793528,0.00556422075553286,0.175924305837748,0.952,0.00675988165576884,0.712798063019258
43,40,4,"means_sds","quadratic","non_private",0,1000,0.0081981213809656,0.00498769106883261,0.157858779705443,0.969,0.00548078461536303,0.688215121425328
43,40,4,"means_sds","quadratic","private_ignored",0.185,815,0.0153127259434375,0.0079990744792855,0.228732215245899,0.916564417177914,0.00968675563718363,0.759094206555376
43,40,4,"means_sds","quadratic","private_propagated",0.185,815,0.0153127259434375,0.0079990744792855,0.228732215245899,0.98159509202454,0.0047081924863147,1.11627931134147
44,150,4,"means_sds","quadratic","private_ignored",0,1000,-0.00166394131197487,0.00541858736927116,0.17127316395173,0.952,0.00675988165576884,0.677552708753383
44,150,4,"means_sds","quadratic","private_propagated",0,1000,-0.00166394131197487,0.00541858736927116,0.17127316395173,0.958,0.00634318531969546,0.701428018422594
44,150,4,"means_sds","quadratic","non_private",0,1000,-0.00296665866423948,0.00516664129867812,0.163328776370018,0.95,0.00689202437604511,0.666647607708364
45,500,4,"means_sds","quadratic","private_propagated",0,1000,-0.0008038637337836,0.00514129593196287,0.16250272961726,0.951,0.00682634602111555,0.665193806712969
45,500,4,"means_sds","quadratic","non_private",0,1000,-0.000166670799448918,0.00515120591196027,0.16281405100366,0.951,0.00682634602111555,0.662866516169563
45,500,4,"means_sds","quadratic","private_ignored",0,1000,-0.0008038637337836,0.00514129593196287,0.16250272961726,0.951,0.00682634602111555,0.663084782630971
46,40,Inf,"means_sds","quadratic","non_private",0,1000,-0.00033177245598515,0.00542961014162063,0.171613798095206,0.951,0.00682634602111555,0.692018597402446
46,40,Inf,"means_sds","quadratic","private_ignored",0,1000,-0.00033177245598515,0.00542961014162063,0.171613798095206,0.951,0.00682634602111555,0.692018597402446
46,40,Inf,"means_sds","quadratic","private_propagated",0,1000,-0.00033177245598515,0.00542961014162063,0.171613798095206,0.951,0.00682634602111555,0.692018597402446
47,150,Inf,"means_sds","quadratic","non_private",0,1000,-0.00689905543139344,0.00533104961868965,0.168639458350469,0.944,0.00727076337120113,0.667559421179812
47,150,Inf,"means_sds","quadratic","private_ignored",0,1000,-0.00689905543139344,0.00533104961868965,0.168639458350469,0.944,0.00727076337120113,0.667559421179812
47,150,Inf,"means_sds","quadratic","private_propagated",0,1000,-0.00689905543139344,0.00533104961868965,0.168639458350469,0.944,0.00727076337120113,0.667559421179812
48,500,Inf,"means_sds","quadratic","private_ignored",0,1000,-0.0124054990878374,0.00533409526755709,0.169050336168461,0.937,0.00768316341099159,0.66302084267873
48,500,Inf,"means_sds","quadratic","non_private",0,1000,-0.0124054990878374,0.00533409526755709,0.169050336168461,0.937,0.00768316341099159,0.66302084267873
48,500,Inf,"means_sds","quadratic","private_propagated",0,1000,-0.0124054990878374,0.00533409526755709,0.169050336168461,0.937,0.00768316341099159,0.66302084267873
