"cell","gu","p_t","delta","bstar","dir","q","width","n","excluded","flip","fr_grid","ff_grid","fr_prob","ff_prob","fr_none","ff_none","qba_mc_disagree"
5,0.5,0.7,-0.3,0.188320960547489,"symmetric",0.1,0.05,2000,0.101,0.235,0,0.0411764705882353,0,0.413725490196078,1,0,0.024
6,1,0.7,-0.3,0.372194219158153,"symmetric",0.1,0.05,2000,0.112,0.6615,0.000755857898715042,0.0620384047267356,0,0.165435745937962,1,0,0
7,0.5,0.3,-0.1,0,"symmetric",0.1,0.05,2000,0.1185,0,NA,0.19,NA,0.8665,1,0,0.0115
8,1,0.3,-0.1,0,"symmetric",0.1,0.05,2000,0.097,0,NA,0.1925,NA,0.8635,1,0,0.0135
9,0.5,0.5,-0.1,0.0948723917686763,"symmetric",0.1,0.05,2000,0.1065,0.203,0.0123152709359606,0.104767879548306,0,0.814930991217064,1,0,0.0115
10,1,0.5,-0.1,0.186853393580291,"symmetric",0.1,0.05,2000,0.0885,0.432,0.00578703703703704,0.154929577464789,0,0.78169014084507,1,0,0.01
11,0.5,0.7,-0.1,0.188320960547489,"symmetric",0.1,0.05,2000,0.109,0.4145,0.00241254523522316,0.137489325362938,0,0.752348420153715,1,0,0.009
12,1,0.7,-0.1,0.372194219158153,"symmetric",0.1,0.05,2000,0.0985,0.6525,0.00153256704980843,0.257553956834532,0,0.828776978417266,1,0,0.001
13,0.5,0.3,0.1,0,"symmetric",0.1,0.05,2000,0.098,0,NA,0.187,NA,0.8595,1,0,0.0135
14,1,0.3,0.1,0,"symmetric",0.1,0.05,2000,0.0955,0,NA,0.186,NA,0.869,1,0,0.017
15,0.5,0.5,0.1,0.0948723917686763,"symmetric",0.1,0.05,2000,0.101,0.165,0.00606060606060606,0.117964071856287,0,0.841916167664671,1,0,0.0145
16,1,0.5,0.1,0.186853393580291,"symmetric",0.1,0.05,2000,0.1105,0.2545,0.00785854616895874,0.150234741784038,0,0.819584171696848,1,0,0.014
17,0.5,0.7,0.1,0.188320960547489,"symmetric",0.1,0.05,2000,0.109,0.2415,0.0020703933747412,0.157547791694133,0,0.814106789716546,1,0,0.0155
18,1,0.7,0.1,0.372194219158153,"symmetric",0.1,0.05,2000,0.1035,0.282,0.00177304964539007,0.146935933147632,0,0.814066852367688,1,0,0.008
1,0.5,0.3,-0.3,0,"understated",0.1,0.05,2000,0.1035,0,NA,0.0635,NA,0.5515,1,0,0.019
2,1,0.3,-0.3,0,"understated",0.1,0.05,2000,0.0985,0,NA,0.0715,NA,0.5635,1,0,0.0235
3,0.5,0.5,-0.3,0.0948723917686763,"understated",0.1,0.05,2000,0.108,0.1035,0,0.0200780814277747,0,0.555493586168433,1,0,0.0175
4,1,0.5,-0.3,0.186853393580291,"understated",0.1,0.05,2000,0.091,0.256,0.001953125,0.0228494623655914,0,0.474462365591398,1,0,0.021
5,0.5,0.7,-0.3,0.188320960547489,"understated",0.1,0.05,2000,0.1015,0.235,0.00425531914893617,0.022875816993464,0,0.475816993464052,1,0,0.024
6,1,0.7,-0.3,0.372194219158153,"understated",0.1,0.05,2000,0.095,0.6615,0,0.0310192023633678,0,0.166912850812408,1,0,0.001
7,0.5,0.3,-0.1,0,"understated",0.1,0.05,2000,0.1105,0,NA,0.1975,NA,0.865,1,0,0.015
8,1,0.3,-0.1,0,"understated",0.1,0.05,2000,0.089,0,NA,0.1945,NA,0.868,1,0,0.0105
9,0.5,0.5,-0.1,0.0948723917686763,"understated",0.1,0.05,2000,0.0935,0.203,0.0123152709359606,0.0633626097867001,0,0.853199498117942,1,0,0.0105
10,1,0.5,-0.1,0.186853393580291,"understated",0.1,0.05,2000,0.0995,0.432,0.00925925925925926,0.0721830985915493,0,0.826584507042254,1,0,0.008
11,0.5,0.7,-0.1,0.188320960547489,"understated",0.1,0.05,2000,0.1045,0.4145,0.0120627261761158,0.0700256191289496,0,0.807856532877882,1,0,0.01
12,1,0.7,-0.1,0.372194219158153,"understated",0.1,0.05,2000,0.11,0.6525,0.00613026819923372,0.146762589928058,0,0.815827338129496,1,0,0.002
13,0.5,0.3,0.1,0,"understated",0.1,0.05,2000,0.1065,0,NA,0.18,NA,0.8595,1,0,0.015
14,1,0.3,0.1,0,"understated",0.1,0.05,2000,0.09,0,NA,0.1985,NA,0.8685,1,0,0.006
15,0.5,0.5,0.1,0.0948723917686763,"understated",0.1,0.05,2000,0.0975,0.165,0.00303030303030303,0.0604790419161677,0,0.810179640718563,1,0,0.0155
16,1,0.5,0.1,0.186853393580291,"understated",0.1,0.05,2000,0.0925,0.2545,0.0157170923379175,0.0784708249496982,0,0.796780684104628,1,0,0.0145
17,0.5,0.7,0.1,0.188320960547489,"understated",0.1,0.05,2000,0.1015,0.2415,0.0144927536231884,0.0718523401450231,0,0.791694133157548,1,0,0.008
18,1,0.7,0.1,0.372194219158153,"understated",0.1,0.05,2000,0.108,0.282,0,0.0759052924791086,0,0.777158774373259,1,0,0.0135
1,0.5,0.3,-0.3,0,"symmetric",0.3,0.05,2000,0.293,0,NA,0.063,NA,0.5595,1,0,0.0265
2,1,0.3,-0.3,0,"symmetric",0.3,0.05,2000,0.2875,0,NA,0.079,NA,0.5725,1,0,0.0235
3,0.5,0.5,-0.3,0.0948723917686763,"symmetric",0.3,0.05,2000,0.309,0.1035,0.0144927536231884,0.0351366424986057,0,0.499721137757948,1,0,0.015
4,1,0.5,-0.3,0.186853393580291,"symmetric",0.3,0.05,2000,0.31,0.256,0.0078125,0.032258064516129,0,0.403897849462366,1,0,0.025
5,0.5,0.7,-0.3,0.188320960547489,"symmetric",0.3,0.05,2000,0.3115,0.235,0.0106382978723404,0.0379084967320261,0,0.409803921568627,1,0,0.022
6,1,0.7,-0.3,0.372194219158153,"symmetric",0.3,0.05,2000,0.3,0.6615,0.00377928949357521,0.0635155096011817,0,0.168389955686854,1,0,5e-04
7,0.5,0.3,-0.1,0,"symmetric",0.3,0.05,2000,0.287,0,NA,0.195,NA,0.8595,1,0,0.0155
8,1,0.3,-0.1,0,"symmetric",0.3,0.05,2000,0.308,0,NA,0.203,NA,0.8565,1,0,0.013
9,0.5,0.5,-0.1,0.0948723917686763,"symmetric",0.3,0.05,2000,0.3,0.203,0.0344827586206897,0.124843161856964,0,0.814930991217064,1,0,0.0115
10,1,0.5,-0.1,0.186853393580291,"symmetric",0.3,0.05,2000,0.3075,0.432,0.0243055555555556,0.15580985915493,0,0.787852112676056,1,0,0.012
11,0.5,0.7,-0.1,0.188320960547489,"symmetric",0.3,0.05,2000,0.2995,0.4145,0.0180940892641737,0.132365499573015,0,0.758326216908625,1,0,0.015
12,1,0.7,-0.1,0.372194219158153,"symmetric",0.3,0.05,2000,0.293,0.6525,0.00842911877394636,0.266187050359712,0,0.81726618705036,1,0,0.002
13,0.5,0.3,0.1,0,"symmetric",0.3,0.05,2000,0.304,0,NA,0.1945,NA,0.855,1,0,0.013
14,1,0.3,0.1,0,"symmetric",0.3,0.05,2000,0.302,0,NA,0.198,NA,0.87,1,0,0.011
