"cell","scen","rel","beta","method","bias","mcse","coverage","width","predicted"
36,"same",0.8,0.6,"bounded",NA,NA,0.999,1.25362545762799,-0.06
36,"same",0.8,0.6,"naive",-0.0604142924405081,0.00452603430655698,0.936,0.583227033027724,-0.06
36,"same",0.8,0.6,"reliability_corrected",-0.000450144787080153,0.00486428156151189,0.955,0.623999967610786,-0.06
37,"same_shifted",0.8,0.6,"reliability_corrected",-0.00435868668971768,0.00499441613975563,0.957,0.627738609859476,-0.06
37,"same_shifted",0.8,0.6,"naive",-0.0642791174470522,0.00464437041896738,0.934,0.586002919902295,-0.06
37,"same_shifted",0.8,0.6,"bounded",NA,NA,0.999,1.54391647982927,-0.06
38,"target_offset",0.8,0.6,"reliability_corrected",0.168632956337464,0.00672512811058455,0.861,0.803634896156668,0.0840000000000001
38,"target_offset",0.8,0.6,"bounded",NA,NA,0.991,1.58914248700073,0.0840000000000001
38,"target_offset",0.8,0.6,"naive",0.076180520940935,0.00568597255466519,0.935,0.695309972273436,0.0840000000000001
39,"target_slope",0.8,0.6,"reliability_corrected",-0.0583140539667285,0.00481535806244755,0.915,0.585178223297861,-0.108
39,"target_slope",0.8,0.6,"bounded",NA,NA,0.997,1.1728657909834,-0.108
39,"target_slope",0.8,0.6,"naive",-0.106799688164994,0.00458038760553933,0.875,0.559496205340789,-0.108
40,"target_both",0.8,0.6,"reliability_corrected",-0.120326089687012,0.00431477727106141,0.87,0.553000411570129,-0.156
40,"target_both",0.8,0.6,"naive",-0.155495021893081,0.00421198924836395,0.797,0.538523842440363,-0.156
40,"target_both",0.8,0.6,"bounded",NA,NA,0.993,1.08473598830998,-0.156
41,"same",0.6,0.6,"bounded",NA,NA,0.996,1.32435235081986,-0.12
41,"same",0.6,0.6,"naive",-0.127191223083695,0.00445372853965697,0.864,0.562380057406972,-0.12
41,"same",0.6,0.6,"reliability_corrected",-0.0106281713249664,0.00519693298794733,0.945,0.653488911073193,-0.12
42,"same_shifted",0.6,0.6,"reliability_corrected",-0.000673644700469692,0.00543273262464855,0.932,0.656589812892837,-0.12
42,"same_shifted",0.6,0.6,"bounded",NA,NA,0.996,1.6494788363432,-0.12
42,"same_shifted",0.6,0.6,"naive",-0.118659168127498,0.00467162443659914,0.863,0.56338055189504,-0.12
43,"target_offset",0.6,0.6,"reliability_corrected",0.172103231785787,0.00722064910740059,0.888,0.884644815339849,-0.012
43,"target_offset",0.6,0.6,"naive",-0.0179357476439602,0.00509228735205797,0.946,0.64109930566211,-0.012
43,"target_offset",0.6,0.6,"bounded",NA,NA,0.99,1.76575554166406,-0.012
44,"target_slope",0.6,0.6,"naive",-0.155633297795198,0.0043076839361959,0.813,0.545897671148973,-0.156
44,"target_slope",0.6,0.6,"reliability_corrected",-0.0582566244587336,0.00482337052378096,0.924,0.604630301231752,-0.156
44,"target_slope",0.6,0.6,"bounded",NA,NA,0.998,1.22915842023919,-0.156
45,"target_both",0.6,0.6,"bounded",NA,NA,0.992,1.13329872403112,-0.192
45,"target_both",0.6,0.6,"naive",-0.191404216026645,0.00424532530455342,0.708,0.533150440254147,-0.192
45,"target_both",0.6,0.6,"reliability_corrected",-0.119458827608839,0.00456113354137206,0.86,0.566403325359532,-0.192
