"cell","res","table","cens","ctrl","method","estimand","n_rep","err_bias","err_mcse","err_rmse","sd_theta","ratio_var","ratio_mcse","ratio_mse","recon_cov90","pop_cov","width_vs_oracle","inflation","materiality"
9,"fine",6,"clustered","none","draws","rmst24",298,-0.00397586625686922,0.000156316068496856,0.00480256414155964,0.486178058708364,11.2395564719283,0.95339341928828,3.54834907068265,0.996644295302013,0.976510067114094,1.01143356167267,0.00014191550593079,0.00987820008644298
9,"fine",6,"clustered","none","oracle","rmst24",298,0,0,0,0.486178058708364,NA,NA,NA,NA,0.973154362416107,1,NA,0
9,"fine",6,"clustered","none","single","rmst24",298,0.00285087472799835,0.000528083552162135,0.00953690418426234,0.486178058708364,NA,NA,NA,NA,0.976510067114094,1.01130199944893,NA,0.019616072781234
9,"fine",6,"clustered","none","variants","rmst24",298,0.185039485574047,0.00123207679992771,0.186253754738156,0.486178058708364,39.5475290268369,3.15795008811388,0.515704717433889,0.808724832214765,0.959731543624161,1.04304552587916,0.0305021448298644,0.383097820648219
9,"fine",6,"clustered","none","draws","s12",298,-0.00022581784905719,4.88680750713378e-05,0.000871926638555478,0.0275232712972731,3.02558354994016,0.360876044359521,2.83214827486047,0.996644295302013,0.979865771812081,1.01455819457087,0.00110639716061423,0.031679615011529
9,"fine",6,"clustered","none","oracle","s12",298,0,0,0,0.0275232712972731,NA,NA,NA,NA,0.976510067114094,1,NA,0
9,"fine",6,"clustered","none","single","s12",298,-5.21004666060387e-05,9.3434812426271e-05,0.00161106906060569,0.0275232712972731,NA,NA,NA,NA,0.979865771812081,1.01396840178866,NA,0.0585347956354777
9,"fine",6,"clustered","none","variants","s12",298,0.00592825825296956,0.000163731487377106,0.00656553287263428,0.0275232712972731,4.85157567339541,0.597899070158943,0.899132151807826,0.822147651006711,0.976510067114094,1.03342165025439,0.0197243445624156,0.238544786399892
9,"fine",6,"clustered","none","draws","s48",298,0.000434256990064831,0.000274434147565282,0.00474940704028781,0.0277058906077971,0.153495779628207,0.0189058328884974,0.152725029673365,0.563758389261745,0.939597315436242,1.00838709541308,0.00208714941361965,0.17142228371288
9,"fine",6,"clustered","none","oracle","s48",298,0,0,0,0.0277058906077971,NA,NA,NA,NA,0.936241610738255,1,NA,0
9,"fine",6,"clustered","none","single","s48",298,-9.54909479221266e-05,0.000296634037030479,0.00511299020562917,0.0277058906077971,NA,NA,NA,NA,0.936241610738255,1.0052289457031,NA,0.184545239061554
9,"fine",6,"clustered","none","variants","s48",298,0.00730375561103772,0.000348791684554263,0.00945920561529257,0.0277058906077971,1.58485330945385,0.167748064581732,0.642137818667728,0.61744966442953,0.963087248322148,1.09265208484815,0.0309161734508774,0.341414962947645
10,"coarse",6,"clustered","none","variants","rmst24",300,0.173027285834346,0.00112490030361535,0.174117191714171,0.557618121098375,34.0432467248363,3.26786737391138,0.426281992596385,0.673333333333333,0.933333333333333,1.02965811581614,0.0223970153443476,0.312251673907587
10,"coarse",6,"clustered","none","draws","rmst24",300,-0.000770065231217217,0.000322604212229001,0.00563124944456824,0.557618121098375,2.30297832670237,0.178126507958509,2.26747048088981,0.983333333333333,0.943333333333333,1.01129328026322,0.000124996661344579,0.0100987561764959
10,"coarse",6,"clustered","none","oracle","rmst24",300,0,0,0,0.557618121098375,NA,NA,NA,NA,0.94,1,NA,0
10,"coarse",6,"clustered","none","single","rmst24",300,0.0350726568359097,0.000978229115652956,0.0389385925033266,0.557618121098375,NA,NA,NA,NA,0.946666666666667,1.00971554004026,NA,0.0698302135996348
10,"coarse",6,"clustered","none","variants","s12",300,0.00692961988125615,0.000282906186503879,0.00848235632928661,0.0322749853886167,2.62451189804075,0.260695791420864,0.875833726370885,0.753333333333333,0.95,1.04524768608123,0.0319655893490856,0.26281518727746
10,"coarse",6,"clustered","none","draws","s12",300,-0.000135994864367382,0.000145180282778116,0.00251408266389291,0.0322749853886167,1.83698149226317,0.159255949625067,1.83773211471271,0.973333333333333,0.95,1.0196754976681,0.00597078501846493,0.0778957026198878
10,"coarse",6,"clustered","none","oracle","s12",300,0,0,0,0.0322749853886167,NA,NA,NA,NA,0.94,1,NA,0
10,"coarse",6,"clustered","none","single","s12",300,0.00157993112813851,0.000226973281571538,0.00423080685724597,0.0322749853886167,NA,NA,NA,NA,0.946666666666667,1.01390873260215,NA,0.131086251668394
10,"coarse",6,"clustered","none","variants","s48",300,-0.001217972842164,0.000308064652548334,0.00546440326650742,0.0280839235055578,2.14562572697669,0.233555093908603,2.04584853863494,0.85,0.943333333333333,1.05738173512664,0.035588546179794,0.194574068877022
