"cell","res","rep","quantity","both","jitter","censoring","events_given","events_not_given"
4,"coarse",4,"rmst24_error_60_points",NA,NA,NA,0.169079882182402,0.169079882182402
4,"coarse",4,"rmst24_error_120_points",NA,NA,NA,0.0718664951838903,0.0718664951838903
4,"coarse",5,"B_rmst24",7.39704118069749e-05,3.97902884787089e-05,1.35176546587792e-05,NA,NA
4,"coarse",5,"B_s12",2.56805335397136e-05,2.46868478145799e-05,6.03502669805426e-07,NA,NA
4,"coarse",5,"B_s48",3.20758642721686e-05,2.3103801133279e-05,1.37636293079535e-06,NA,NA
4,"coarse",5,"rmst24_error_30_points",NA,NA,NA,0.326774653929089,0.326774653929089
4,"coarse",5,"rmst24_error_60_points",NA,NA,NA,0.164771631933082,0.164771631933082
4,"coarse",5,"rmst24_error_120_points",NA,NA,NA,0.0751997172690366,0.0751997172690366
4,"coarse",6,"B_rmst24",7.14732685673261e-05,6.26210455111888e-05,0.000208656546509646,NA,NA
4,"coarse",6,"B_s12",4.4150794442349e-06,3.9244498058669e-06,4.23787966044912e-06,NA,NA
4,"coarse",6,"B_s48",6.29445746142634e-06,6.26756408033824e-06,5.59677944283631e-06,NA,NA
4,"coarse",6,"rmst24_error_30_points",NA,NA,NA,0.307776730829676,0.307776730829676
4,"coarse",6,"rmst24_error_60_points",NA,NA,NA,0.15476257647482,0.15476257647482
4,"coarse",6,"rmst24_error_120_points",NA,NA,NA,0.0559983153220998,0.0559983153220998
4,"coarse",7,"B_rmst24",5.51223617187144e-05,6.50919702200649e-05,2.28416349065468e-05,NA,NA
4,"coarse",7,"B_s12",0.000113058917100152,0.000109878253688993,1.75384742203557e-07,NA,NA
4,"coarse",7,"B_s48",2.79294589588115e-06,2.20311049499665e-06,1.98376085037768e-06,NA,NA
4,"coarse",7,"rmst24_error_30_points",NA,NA,NA,0.311234255414691,0.311234255414691
4,"coarse",7,"rmst24_error_60_points",NA,NA,NA,0.156987569814513,0.156987569814513
4,"coarse",7,"rmst24_error_120_points",NA,NA,NA,0.00284583262900462,0.00284583262900462
4,"coarse",8,"B_rmst24",7.66498984418576e-05,0.000123668340260934,3.66586429824732e-05,NA,NA
4,"coarse",8,"B_s12",3.78863633148994e-06,3.96219119226644e-06,0,NA,NA
4,"coarse",8,"B_s48",6.06299095083684e-06,3.92937961843474e-06,3.25489250276388e-06,NA,NA
4,"coarse",8,"rmst24_error_30_points",NA,NA,NA,0.246605413152377,0.246605413152377
4,"coarse",8,"rmst24_error_60_points",NA,NA,NA,0.182000596711372,0.182000596711372
4,"coarse",8,"rmst24_error_120_points",NA,NA,NA,0.0799461367322607,0.0799461367322607
4,"coarse",9,"B_rmst24",4.32834236197652e-05,3.00564525297267e-05,1.85538367514883e-05,NA,NA
4,"coarse",9,"B_s12",3.18477894797537e-06,3.03817267225284e-06,4.1532067128769e-08,NA,NA
4,"coarse",9,"B_s48",6.60374681490893e-06,8.03331763739695e-06,2.10950419385519e-06,NA,NA
4,"coarse",9,"rmst24_error_30_points",NA,NA,NA,0.274773894778946,0.274773894778946
4,"coarse",9,"rmst24_error_60_points",NA,NA,NA,0.1356762405692,0.1356762405692
4,"coarse",9,"rmst24_error_120_points",NA,NA,NA,0.0517494602765325,0.0517494602765325
4,"coarse",10,"B_rmst24",3.15529589999985e-05,4.29927918633173e-05,0.000377302270233675,NA,NA
4,"coarse",10,"B_s12",3.55152959028357e-06,3.65637935967899e-06,5.75766312158266e-07,NA,NA
4,"coarse",10,"B_s48",4.01146987465312e-06,2.84195920446522e-06,3.50148298988385e-06,NA,NA
4,"coarse",10,"rmst24_error_30_points",NA,NA,NA,0.235448824722017,0.235448824722017
4,"coarse",10,"rmst24_error_60_points",NA,NA,NA,0.133022933369112,0.133022933369112
4,"coarse",10,"rmst24_error_120_points",NA,NA,NA,-6.74145771579759e-05,-6.74145771579759e-05
