"cell","k","bias_max","mcse_max","bias_int","mcse_int","exact_max","exact_int","cover_max","cover_int","cover_bnd","width_bnd","width_max","pattern","strength","similarity","separation"
5,2,0.192834421505093,0.00364190947555611,0.461972438311498,0.00336683356469569,0.191247428024645,0.458943556520255,0.683,0.007,0.972,0.546211109878643,0.505095166097173,"random",0.25,"similar","separated"
5,3,0.141350398828926,0.00384866726145653,0.480080227349542,0.00342470474016955,0.134407721123683,0.471610613878254,0.827,0.006,0.977,0.590639814172091,0.537753251192921,"random",0.25,"similar","separated"
6,4,0.176242916844892,0.00370550575546561,0.334955101839816,0.00374791280489518,0.177655813971015,0.336130083822889,0.71,0.218,0.962,0.565722950948799,0.498520529349797,"adversarial",0.25,"similar","separated"
6,1,0.122921662601311,0.00435269241768226,0.249503731774958,0.00359404729741726,0.122362568889922,0.250191164164666,0.846,0.454,0.968,0.600460577476973,0.551639968867292,"adversarial",0.25,"similar","separated"
6,2,0.00381328574750062,0.00467131398235035,0.334736027741121,0.00353761202687474,0,0.333545990981959,0.954,0.171,0.954,0.598781674734793,0.598792677690763,"adversarial",0.25,"similar","separated"
6,3,0.00235278530641193,0.00423207664825149,0.288263324222458,0.00354716078398632,0,0.286907378459207,0.956,0.318,0.956,0.56888654477138,0.568896998387227,"adversarial",0.25,"similar","separated"
7,1,0.00248190232252116,0.00435100613121353,0.623440256162124,0.00418371571115973,0,0.624284379340697,0.986,0.014,0.986,0.792184514771777,0.792199071615621,"fawsitt",0.5,"similar","separated"
7,2,0.365626077659205,0.00519954174434641,0.658196115105172,0.00457582882914044,0.367261450923886,0.660538919429942,0.5,0.014,0.957,0.805704995459841,0.734179348755179,"fawsitt",0.5,"similar","separated"
7,3,0.259796817224111,0.00471081557560762,0.538394438860157,0.00413126769394784,0.255089154988608,0.535493725962409,0.692,0.031,0.989,0.763468189233356,0.691941766403206,"fawsitt",0.5,"similar","separated"
7,4,0.278242518982633,0.00390752586672499,0.546589720993518,0.00444139121424889,0.2736412222432,0.547740999927401,0.613,0.057,0.995,0.753896036798132,0.647542009807369,"fawsitt",0.5,"similar","separated"
8,1,0.335358398372916,0.00404217274312087,0.619191038822853,0.00357607323296568,0.339240080598459,0.623753973691689,0.474,0.004,0.983,0.698265906391838,0.675302632515635,"random",0.5,"similar","separated"
8,2,0.194564288697689,0.00419453343566795,0.65471799366428,0.0036414396519477,0.195173184571089,0.656062521013993,0.842,0.001,0.987,0.738377591750281,0.706267396830285,"random",0.5,"similar","separated"
8,3,0.424706746605519,0.00423806561529924,0.640696356366903,0.00355541493082082,0.423982846237254,0.642120764723386,0.245,0,0.984,0.745965120209334,0.654031449024357,"random",0.5,"similar","separated"
8,4,0.267760045191697,0.00384941058133665,0.624346070808778,0.00351846789965288,0.263342299553317,0.621938886509646,0.645,0,0.985,0.656522580259633,0.642860960884481,"random",0.5,"similar","separated"
9,3,0.0066434813389369,0.00447361646415414,0.57685585721959,0.00422807019208545,0,0.571558605984684,0.987,0.034,0.987,0.768676714734244,0.768690839608808,"adversarial",0.5,"similar","separated"
9,4,0.304747915616935,0.0041837773763553,0.66735018438562,0.00452281461139167,0.302610678127071,0.664875005563867,0.574,0.012,0.995,0.784242055408497,0.670915576505071,"adversarial",0.5,"similar","separated"
9,1,0.340862303524576,0.00548416509359808,0.692098524795706,0.00426767693029336,0.340047759215272,0.690847213654046,0.584,0.011,0.977,0.914657809081182,0.779647730531568,"adversarial",0.5,"similar","separated"
9,2,0.000544986944496831,0.00437596564992698,0.555346460774662,0.00424564231632575,0,0.554575822493033,0.988,0.038,0.988,0.747851323306703,0.747865065502781,"adversarial",0.5,"similar","separated"
10,4,0.0731635433178852,0.00306304624462966,0.08580765138085,0.00307482837433833,0.0771942428315972,0.0898556883659933,0.903,0.875,0.982,0.527030351946203,0.401382994715222,"fawsitt",0.1,"dispersed","separated"
10,1,-0.00695254381747742,0.00729533973359423,0.150030188523147,0.0038167165233823,0,0.150302556254708,0.919,0.745,0.919,0.800007594153931,0.800022294751335,"fawsitt",0.1,"dispersed","separated"
10,2,0.0350022055352588,0.00373838973422031,0.0945292601049607,0.00311888155029817,0.0354951286109938,0.0956462257604537,0.935,0.842,0.967,0.516860335223883,0.464348549598092,"fawsitt",0.1,"dispersed","separated"
10,3,0.0149620715980102,0.00442721369301814,0.071705819953984,0.003522740689816,0.0171414138408756,0.0721260544095629,0.935,0.888,0.964,0.577820516614914,0.525309851167345,"fawsitt",0.1,"dispersed","separated"
11,4,0.0579807478927025,0.00564823708822481,0.254496325906896,0.00297158972674762,0.051506468003228,0.254624821524131,0.914,0.242,0.937,0.70379470272349,0.662001852554697,"random",0.1,"dispersed","separated"
11,1,0.0525353172056617,0.00471196817671233,0.221552358778911,0.00293587141763906,0.0520212722243891,0.224331409681482,0.933,0.36,0.927,0.584854233045944,0.568149447868566,"random",0.1,"dispersed","separated"
11,2,0.0448737063866014,0.00400001616944652,0.121437531885365,0.00330704556046589,0.0422592892782337,0.122396571370097,0.933,0.78,0.912,0.542844160480588,0.494653188976488,"random",0.1,"dispersed","separated"
11,3,0.0318970755662511,0.00415748367949838,0.115645453619266,0.00315658967379699,0.0366945308498946,0.120867121377271,0.936,0.773,0.88,0.57727337348912,0.506917517954345,"random",0.1,"dispersed","separated"
12,1,0.0254808477636525,0.00737636151133079,0.132256969644852,0.00320345704848098,0.0236812666333114,0.132002760438031,0.914,0.765,0.943,0.937069168245699,0.812816993559835,"adversarial",0.1,"dispersed","separated"
12,2,-0.00160976295314887,0.00452274584918287,0.140961295878629,0.00340428056102122,0,0.140529987720214,0.944,0.758,0.944,0.54915404209407,0.549164133113886,"adversarial",0.1,"dispersed","separated"
12,3,-0.00190754696200923,0.00446341822673527,0.0555101681845333,0.00360285179187923,0,0.0570677271355254,0.945,0.925,0.945,0.540287525413014,0.540297453505512,"adversarial",0.1,"dispersed","separated"
12,4,0.0597697490237107,0.00770005866432992,0.212049600725115,0.00565513891321787,0.064394706957977,0.216082880770594,0.892,0.705,0.945,0.967001653345963,0.831993516262474,"adversarial",0.1,"dispersed","separated"
13,3,-0.0448852695445283,0.00667856934789423,0.203910326716697,0.0039829632238297,-0.0493401018576385,0.200827167802258,0.934,0.63,0.894,0.863777898425114,0.834396013968465,"fawsitt",0.25,"dispersed","separated"
13,4,0.14907175629463,0.00340024748139372,0.270958815387703,0.00348599679113273,0.152127823401563,0.273368965143518,0.751,0.325,0.977,0.650140855866997,0.453776312029537,"fawsitt",0.25,"dispersed","separated"
13,2,0.0651048124727547,0.0053132768557779,0.28364661826561,0.0038012032118678,0.0669266653095357,0.283662535617239,0.925,0.366,0.961,0.705080037561942,0.675695236941273,"fawsitt",0.25,"dispersed","separated"
13,1,-0.0034378146297712,0.0068197457759778,0.326344667845968,0.0044248542480318,0,0.32493773653736,0.932,0.368,0.932,0.871442339285952,0.871458352537682,"fawsitt",0.25,"dispersed","separated"
14,3,0.346142572587843,0.0051125094425287,0.461376150872969,0.00376339134180112,0.338649801627279,0.455698689982294,0.393,0.034,0.678,0.764918120414017,0.631639688655841,"random",0.25,"dispersed","separated"
14,4,0.260456956795519,0.00427007510149402,0.322114073525834,0.00383485995633483,0.260030098178669,0.318006400541532,0.483,0.247,0.955,0.807077326768169,0.5267724685459,"random",0.25,"dispersed","separated"
14,1,0.0289437104104146,0.00425762724201528,0.0897768388176744,0.00387720712158883,0.0370938500022944,0.0935816445399036,0.953,0.869,0.969,0.579370315449499,0.549934749230595,"random",0.25,"dispersed","separated"
14,2,0.165984727396394,0.00494571476971091,0.311119765462217,0.00463922516060175,0.16731656624457,0.307963304819986,0.78,0.411,0.917,0.73060293239664,0.628014975169588,"random",0.25,"dispersed","separated"
15,4,0.215023023808822,0.00464119558311087,0.26296748578884,0.00490004731308363,0.219516503315687,0.268618345864283,0.714,0.599,0.98,0.826893571552412,0.625440355518231,"adversarial",0.25,"dispersed","separated"
15,1,0.252907893180982,0.00378566507253789,0.343824802919016,0.00347151482549693,0.253898001403811,0.346253693159322,0.479,0.143,0.904,0.616049709821095,0.494689265716534,"adversarial",0.25,"dispersed","separated"
15,2,-0.00727800702739301,0.00479350866127553,0.310843132527146,0.00391402495165848,0,0.315279735945233,0.965,0.323,0.965,0.633300835783535,0.633312473048845,"adversarial",0.25,"dispersed","separated"
15,3,-0.00750582534671855,0.00712333556827044,0.367964701124234,0.00412962588490366,0,0.375214707575728,0.937,0.227,0.937,0.873415799313229,0.873431848828417,"adversarial",0.25,"dispersed","separated"
16,4,0.24822463262761,0.00443720783818402,0.655266731662663,0.00490972294698528,0.253496313377038,0.654269724576377,0.767,0.041,1,1.16712304406019,0.763029869267348,"fawsitt",0.5,"dispersed","separated"
16,2,0.651522541505639,0.00817824198266255,1.1297083805504,0.0050803345117124,0.650741604850692,1.12479648956661,0.309,0,0.875,1.15523990930174,1.0713887393594,"fawsitt",0.5,"dispersed","separated"
16,3,0.612425557487759,0.0057609031284395,0.974609702707846,0.00431220074382157,0.624335100984098,0.975867237059826,0.149,0,0.891,0.874799661928842,0.790943338736459,"fawsitt",0.5,"dispersed","separated"
16,1,0.0096773503553895,0.00551245343481743,0.621217130750602,0.00552047448825594,0,0.612646344575942,0.979,0.12,0.979,0.961744678268115,0.961762350877006,"fawsitt",0.5,"dispersed","separated"
17,2,0.2942378029212,0.00390739058813411,0.542408994504207,0.00423921236066813,0.289889909945328,0.535862524852397,0.505,0.029,0.994,0.708504609137247,0.590831333358266,"random",0.5,"dispersed","separated"
17,3,0.659905435547133,0.00418015454048283,1.34846040688226,0.0038738467539401,0.647787861209517,1.33998458972422,0.022,0,0.86,0.82904487824536,0.666397340436053,"random",0.5,"dispersed","separated"
17,4,0.507433937676435,0.00545094701228715,1.02342915706936,0.00442026045068793,0.497793853868446,1.01697490215568,0.269,0,0.998,1.52814521524094,0.776089744721762,"random",0.5,"dispersed","separated"
17,1,0.233249991129317,0.00581495869673468,0.45212049966361,0.00539330020630113,0.231162600147398,0.446966718762814,0.833,0.298,0.988,1.07091187808797,0.92755020386527,"random",0.5,"dispersed","separated"
18,3,-0.00243822109405905,0.0060991822657585,0.243257312426321,0.00428262636102272,0,0.250280225282904,0.978,0.63,0.978,1.00898045552514,1.00899899611848,"adversarial",0.5,"dispersed","separated"
18,4,0.359221539707853,0.0068495540940124,0.164903742329666,0.00807974942678065,0.367152947876477,0.166611315783084,0.677,0.85,0.995,1.41018502442744,1.02194242516386,"adversarial",0.5,"dispersed","separated"
18,1,0.506857010627485,0.00445925746323703,0.679890780382861,0.00423434298740266,0.501147607380074,0.677393569818235,0.114,0.002,0.926,1.2638095604331,0.63386311889662,"adversarial",0.5,"dispersed","separated"
18,2,0.00406926168599973,0.00707404636457302,0.714287941382947,0.00564655452943569,0,0.713171989036284,0.977,0.069,0.977,1.10228210508451,1.10230236014905,"adversarial",0.5,"dispersed","separated"
19,4,0.0726233402747664,0.00361935940333692,0.130101141940151,0.00347714030597474,0.0644532247820916,0.123331503787889,0.902,0.768,0.953,0.489959906424338,0.453462427815662,"fawsitt",0.1,"similar","tied"
19,3,0.0597203013669683,0.00395638411223509,0.123189310516171,0.00326500381152627,0.0580882058123864,0.121300637587997,0.923,0.779,0.957,0.515336153122775,0.502345975455024,"fawsitt",0.1,"similar","tied"
19,1,0.00071170712067929,0.00417331470486609,0.120234277098574,0.00341406137000932,0,0.119378624321102,0.95,0.806,0.95,0.530740965930857,0.530750718599861,"fawsitt",0.1,"similar","tied"
19,2,0.050109328865288,0.00407836416417317,0.116374182874862,0.0033730123904789,0.0512452209267356,0.115909412295805,0.928,0.804,0.954,0.523363090745022,0.510373060576844,"fawsitt",0.1,"similar","tied"
20,1,0.081615668426541,0.00351913374719936,0.15798004651043,0.00302644103517564,0.086504123044193,0.158546966898876,0.88,0.617,0.933,0.450442601306141,0.437543594919602,"random",0.1,"similar","tied"
20,2,0.104735989609095,0.00388618686528185,0.182515578790823,0.002973941117878,0.111246945502568,0.184116132723191,0.857,0.513,0.951,0.504799281227927,0.482387853191358,"random",0.1,"similar","tied"
20,4,0.0417196002616854,0.00357152150306153,0.162958952596087,0.0029924405144988,0.0430977888332586,0.164658547507599,0.948,0.602,0.965,0.494091692111463,0.465690060954176,"random",0.1,"similar","tied"
20,3,0.082826401261732,0.00399408615278261,0.175525072260201,0.00307377893191918,0.0923589832347032,0.178966021015714,0.89,0.566,0.943,0.508806642465663,0.495219982444803,"random",0.1,"similar","tied"
21,2,0.00355351180641321,0.00467192951548039,0.117358852517875,0.0036505087565934,0,0.111991326691972,0.936,0.81,0.936,0.560287064334381,0.560297359929853,"adversarial",0.1,"similar","tied"
21,3,0.00263086916430718,0.00438275655089861,0.127879199521355,0.00339978843850048,0,0.12459966905898,0.95,0.767,0.95,0.542852053061566,0.542862028278727,"adversarial",0.1,"similar","tied"
21,4,0.0558493698293281,0.00339200852982432,0.112232023158508,0.0033019580228055,0.0552151626092353,0.110901810345528,0.931,0.814,0.949,0.468140667421904,0.435219106265937,"adversarial",0.1,"similar","tied"
21,1,0.0554712029801885,0.00415409523243339,0.120319880217575,0.00332486144541095,0.0574617489557007,0.120320302361357,0.919,0.798,0.945,0.52853434664028,0.508303775603253,"adversarial",0.1,"similar","tied"
22,3,0.141245751144469,0.00488034496126674,0.308236450843887,0.00380122598061208,0.144155922588983,0.30648189972725,0.818,0.293,0.957,0.638049248172894,0.604449840981179,"fawsitt",0.25,"similar","tied"
22,2,0.197420049083854,0.00463239881414886,0.367339549291908,0.00355510989555892,0.194761240458667,0.360728544949329,0.697,0.122,0.929,0.610996466121736,0.577396561819668,"fawsitt",0.25,"similar","tied"
22,4,0.156893588384815,0.0037019008253021,0.278627510138805,0.00380060471800606,0.159126441425763,0.277688052199137,0.764,0.363,0.958,0.539226162105251,0.488005683643665,"fawsitt",0.25,"similar","tied"
22,1,0.00169331295986282,0.0042618846318048,0.302256386954581,0.00346951763854814,0,0.296752501535532,0.975,0.27,0.975,0.585729037086419,0.585739800192701,"fawsitt",0.25,"similar","tied"
23,4,0.20495073636477,0.00404893495104241,0.398474685344128,0.00352633376051147,0.205215882134839,0.399712103545195,0.652,0.058,0.97,0.592610452689502,0.529644849940423,"random",0.25,"similar","tied"
23,1,0.0934476851056845,0.00392593925858446,0.426355223571576,0.00350105958606685,0.0853906700124686,0.423681715770375,0.896,0.034,0.946,0.539826617336211,0.521500825971398,"random",0.25,"similar","tied"
23,3,0.27123488618175,0.00420997730486383,0.462982837552412,0.00347681858248546,0.268889584906706,0.462313746001757,0.474,0.016,0.96,0.612246517131829,0.530643617433228,"random",0.25,"similar","tied"
23,2,0.172400598382483,0.00395137413710557,0.492778082452235,0.00346088478882794,0.168673557469551,0.489770212339524,0.75,0.006,0.946,0.572550975084038,0.530175870534826,"random",0.25,"similar","tied"
24,4,0.158408720722211,0.00355889870435107,0.322718672612679,0.0035678807986996,0.161893196477552,0.328378515655577,0.749,0.22,0.974,0.563195318083113,0.494341938215587,"adversarial",0.25,"similar","tied"
24,1,0.128474480649114,0.00433812368053741,0.265922186161964,0.00352138061062994,0.135400070956591,0.27461751842092,0.835,0.347,0.97,0.60408406661932,0.550440088377526,"adversarial",0.25,"similar","tied"
24,2,0.00629515587660473,0.0042626728307796,0.311107027049567,0.00363230162708687,0,0.311599453638358,0.965,0.249,0.965,0.586395709743066,0.58640648509984,"adversarial",0.25,"similar","tied"
24,3,0.00307098114935611,0.00436312639392631,0.299058508480277,0.00358492459252245,0,0.303105467438942,0.963,0.306,0.963,0.600036727224501,0.600047753242778,"adversarial",0.25,"similar","tied"
25,2,0.319106407146433,0.00515401850174797,0.630969282610253,0.00421165662855493,0.310662962958509,0.621804554378801,0.597,0.014,0.985,0.816523602132043,0.742283901994402,"fawsitt",0.5,"similar","tied"
25,1,0.00695981395826541,0.0044907106563025,0.612339370675792,0.00431400891859976,0,0.601068142879136,0.986,0.013,0.986,0.769801828659156,0.769815974208333,"fawsitt",0.5,"similar","tied"
25,3,0.308815198964453,0.00487929641326951,0.614311636248304,0.00419446941250272,0.302270485917221,0.606587409494108,0.581,0.014,0.982,0.774184686025891,0.699944207886436,"fawsitt",0.5,"similar","tied"
25,4,0.291796175118722,0.00371556238226843,0.654381056923112,0.00421399161150811,0.288920969809837,0.648062070368911,0.558,0.004,1,0.740966635265209,0.636603084626891,"fawsitt",0.5,"similar","tied"
26,3,0.406061152109246,0.0043158719385487,1.00291652099188,0.00404751756513366,0.412373813891622,1.0088925170505,0.306,0,0.993,0.790556322494436,0.665709814050176,"random",0.5,"similar","tied"
26,4,0.560158175081103,0.00492864028303458,1.01325800710519,0.00421072969945234,0.562715759952736,1.01725483282145,0.086,0,0.992,0.854477471222945,0.661473905902745,"random",0.5,"similar","tied"
26,2,0.221294784204434,0.00429312341417095,1.13687205632734,0.00418386720376264,0.222646113436473,1.1412953766167,0.797,0,0.992,0.788493105540119,0.73330215268521,"random",0.5,"similar","tied"
26,1,0.402349096810812,0.00454940721525177,0.912233212082594,0.00410946569326547,0.407772655396847,0.917520737593823,0.298,0,0.987,0.816562767271399,0.644462646728816,"random",0.5,"similar","tied"
27,3,-0.0023951114248364,0.00414566158002645,0.519759406161252,0.0041660985538215,0,0.526875208062392,0.993,0.046,0.993,0.738130264185373,0.738143827751426,"adversarial",0.5,"similar","tied"
27,4,0.304140688767705,0.00397627512586489,0.620510737692928,0.00441365388533975,0.308410460735096,0.623942162505408,0.569,0.021,0.995,0.772975069731017,0.665699449828444,"adversarial",0.5,"similar","tied"
27,1,0.291723529569863,0.00487261305620197,0.572312255131739,0.00433066410869235,0.294870359052969,0.573640769435086,0.608,0.03,0.99,0.847470731795227,0.701010878982317,"adversarial",0.5,"similar","tied"
27,2,-0.00453839402807648,0.00453610194207429,0.622848382862799,0.00451940979587345,0,0.627237362815105,0.989,0.023,0.988,0.798144205211119,0.798158871567686,"adversarial",0.5,"similar","tied"
28,4,0.0642960918525013,0.00635692389560639,0.155754389143664,0.00572748053687339,0.049394294084906,0.138718658522322,0.911,0.808,0.958,0.846193035859973,0.713195885705513,"fawsitt",0.1,"dispersed","tied"
28,1,0.0121209100279143,0.0122705029378413,0.222643216700825,0.00562063260626537,0,0.209781151032252,0.851,0.688,0.851,1.1678467562869,1.16786821613944,"fawsitt",0.1,"dispersed","tied"
28,2,-0.00389988350222997,0.00692058596722666,0.117061715352155,0.00340853180839094,-0.00389184357991549,0.106900595074191,0.916,0.809,0.889,0.812875597849875,0.753725407730505,"fawsitt",0.1,"dispersed","tied"
28,3,0.137289219537285,0.00595711575587175,0.18510515420803,0.00397197256455012,0.122903379759741,0.17453266714367,0.83,0.66,0.944,0.732466954555755,0.673315286881545,"fawsitt",0.1,"dispersed","tied"
29,4,0.0821663751086832,0.00431235390328638,0.0892755889047372,0.0035274873584773,0.0807867334081094,0.088180264713121,0.883,0.859,0.94,0.561752244021402,0.522666646424718,"random",0.1,"dispersed","tied"
29,2,0.0313193899151117,0.00449569638867981,0.0782666979394903,0.00395597691492243,0.0306206727646195,0.0815064694407387,0.942,0.89,0.94,0.575822326945565,0.545582346385187,"random",0.1,"dispersed","tied"
29,3,0.107884935755684,0.00427129321741627,0.187526877510206,0.00359108017519799,0.111117742019101,0.189299128942051,0.85,0.598,0.901,0.56641776028568,0.511165796210097,"random",0.1,"dispersed","tied"
29,1,0.00933118253424973,0.00351860428545417,0.0510738308067721,0.00326995484320133,0.0123808578942284,0.0542438810281443,0.954,0.93,0.902,0.45053056770695,0.436454737049219,"random",0.1,"dispersed","tied"
30,2,0.00281040743694515,0.0042259978431873,0.105336082722249,0.00317137595091641,0,0.105193388596632,0.945,0.813,0.945,0.513147396975656,0.513156826352761,"adversarial",0.1,"dispersed","tied"
30,3,-0.00194126414705783,0.00645407741226793,0.108238577659123,0.00415443571948929,0,0.110626944614301,0.924,0.845,0.924,0.735500115248412,0.735513630483973,"adversarial",0.1,"dispersed","tied"
30,4,0.0384461636630582,0.00434831260987517,0.153006654172435,0.00352759574026761,0.0383018989101908,0.155985241696505,0.934,0.721,0.951,0.655057980037483,0.51623504693599,"adversarial",0.1,"dispersed","tied"
30,1,0.123998601902301,0.0154715043798157,0.254795782458313,0.00466261417640461,0.110329269488531,0.256506144028383,0.765,0.54,0.806,1.33313223714786,1.24446202062488,"adversarial",0.1,"dispersed","tied"
