"cell","method","diff","mcse","max_abs","design","shift","beta","b"
9,"gcomp",0.000761877770508489,0.00261603979062527,0.267590038943182,"anchored",0.5,0.3,0.4
10,"naive",0.498845596825709,0.00267608312690975,0.756679558256893,"unanchored",0.5,0.3,0.4
10,"maic",7.1846096780237e-15,2.06383596576488e-15,2.59764432186671e-13,"unanchored",0.5,0.3,0.4
10,"gcomp",-1.65032917887053e-17,1.4241183314226e-17,1.4432899320127e-15,"unanchored",0.5,0.3,0.4
11,"naive",-0.0042004448128522,0.00374128642916012,0.412839505395316,"anchored",1,0.3,0.4
11,"maic",-0.00436387542483748,0.00645792833700458,0.6516975770516,"anchored",1,0.3,0.4
11,"gcomp",-0.000913856570513257,0.00262562963250474,0.297128661749429,"anchored",1,0.3,0.4
12,"naive",1.00321276610267,0.00260035265142987,1.26120155881403,"unanchored",1,0.3,0.4
12,"maic",4.76073347410733e-15,2.39905931357402e-15,3.62820884447501e-13,"unanchored",1,0.3,0.4
12,"gcomp",-6.38378239159448e-18,2.22437496046568e-17,2.13717932240343e-15,"unanchored",1,0.3,0.4
13,"naive",-0.000271717478567783,0.00353644155553429,0.394437213749377,"anchored",0,0,0.8
13,"maic",-0.000220629190710327,0.00355427796920057,0.398856169307254,"anchored",0,0,0.8
13,"gcomp",0.001459098757878,0.00261464443137213,0.265060219789418,"anchored",0,0,0.8
14,"naive",0.00157341363856831,0.0026758567123625,0.260942190854398,"unanchored",0,0,0.8
14,"maic",2.58804089270372e-15,2.30869297855559e-15,2.76362266404817e-13,"unanchored",0,0,0.8
14,"gcomp",-9.7144514654701e-18,9.68463783186124e-18,1.27675647831893e-15,"unanchored",0,0,0.8
15,"naive",0.00389952608689487,0.00359569648093145,0.399691846257644,"anchored",0.5,0,0.8
15,"maic",0.00388157526675076,0.00405413417753532,0.488357830884974,"anchored",0.5,0,0.8
15,"gcomp",0.00078549938234693,0.00257724610918056,0.308692556351277,"anchored",0.5,0,0.8
16,"naive",0.496562704067576,0.00249094200347955,0.735789936975809,"unanchored",0.5,0,0.8
16,"maic",8.03657140835412e-15,1.85654923363554e-15,2.58404408981505e-13,"unanchored",0.5,0,0.8
16,"gcomp",-3.21270787750922e-18,1.37157445243477e-17,1.47104550762833e-15,"unanchored",0.5,0,0.8
17,"naive",-0.000514113641846083,0.00348036840340713,0.383775053704726,"anchored",1,0,0.8
17,"maic",-0.00347379356547938,0.00609754375374978,0.65536486554476,"anchored",1,0,0.8
17,"gcomp",-0.00305796833069272,0.00253472406738182,0.302881603068092,"anchored",1,0,0.8
18,"naive",0.998817436430909,0.00264005358673039,1.30355824434249,"unanchored",1,0,0.8
18,"maic",5.03541652818743e-15,2.25051817262587e-15,3.50774964630318e-13,"unanchored",1,0,0.8
18,"gcomp",2.34257058195907e-17,2.22030654462255e-17,2.27595720048157e-15,"unanchored",1,0,0.8
19,"naive",-0.00503765958896651,0.00382628438910253,0.377617740393869,"anchored",0,0.3,0.8
19,"maic",-0.00525397662760021,0.00383446609878166,0.361509218759652,"anchored",0,0.3,0.8
19,"gcomp",-0.00430942220216526,0.00264700012105428,0.251786225848986,"anchored",0,0.3,0.8
20,"naive",-0.00168135611913121,0.00255043839427905,0.256344305756487,"unanchored",0,0.3,0.8
20,"maic",2.96289381918059e-15,2.02876301192163e-15,2.74558153989801e-13,"unanchored",0,0.3,0.8
20,"gcomp",-4.20496970576781e-18,1.01563676381003e-17,1.22124532708767e-15,"unanchored",0,0.3,0.8
21,"naive",0.00063821802528031,0.00364557496370778,0.358256296766018,"anchored",0.5,0.3,0.8
21,"maic",-0.000633514745157129,0.00410852107698098,0.423064627914308,"anchored",0.5,0.3,0.8
21,"gcomp",-0.00119174640062811,0.00260124297778659,0.317818938580707,"anchored",0.5,0.3,0.8
22,"naive",0.49911158370177,0.00262177157963219,0.780130903452455,"unanchored",0.5,0.3,0.8
22,"maic",8.08268729723948e-15,1.84752367753661e-15,2.59153809523127e-13,"unanchored",0.5,0.3,0.8
22,"gcomp",9.58261248129592e-18,1.54488746460586e-17,2.16493489801906e-15,"unanchored",0.5,0.3,0.8
23,"naive",0.00265035240490078,0.00362660703607674,0.423225365400154,"anchored",1,0.3,0.8
23,"maic",0.00675981599842138,0.00610343171654072,0.605364845173213,"anchored",1,0.3,0.8
23,"gcomp",-0.00190683544144576,0.0026174752948694,0.291453197457171,"anchored",1,0.3,0.8
24,"naive",0.999624436303441,0.00245977044645343,1.26555085897291,"unanchored",1,0.3,0.8
24,"maic",6.55231424673275e-15,2.13118754566231e-15,3.82249787378441e-13,"unanchored",1,0.3,0.8
24,"gcomp",-1.03250741290138e-17,2.65345272125389e-17,2.66453525910038e-15,"unanchored",1,0.3,0.8
