"cell","departure","m","law","rule","bias","rmse","coverage","cov_mcse","width","top_choice","top_share"
4,"quadratic",0.3,"normal","averaged",-0.020408192704601,0.246334435093538,0.9575,0.00451075104611194,0.985632869254916,"all",1
4,"quadratic",0.3,"normal","prespecified_maic",-0.0154366992654444,0.256044284880036,0.9505,0.0048502448391808,0.989171135511708,"maic_means",1
4,"quadratic",0.3,"normal","most_favorable",-0.0661854331053004,0.254618364207298,0.9415,0.0052477495176504,0.959482200059382,"stc_flexible",0.3825
4,"quadratic",0.3,"normal","min_se",-0.0259832476890512,0.245425886002783,0.943,0.00518415856238985,0.933093799086495,"stc_flexible",0.685
5,"linear",0.8,"normal","min_se",-0.00538121638230721,0.271532266402456,0.956,0.00458606585212206,1.07965240211492,"stc_linear",0.962
5,"linear",0.8,"normal","averaged",0.00392956391011845,0.291379127837382,0.9755,0.00345685912353975,1.30330342528226,"all",1
5,"linear",0.8,"normal","prespecified_maic",0.0136300899449103,0.327979729896948,0.9555,0.00461084319837489,1.30413030405356,"maic_means",1
5,"linear",0.8,"normal","most_favorable",-0.101615487741868,0.306224012361803,0.96,0.00438178046004133,1.19863501044308,"stc_linear",0.349
5,"linear",0.8,"normal","prespecified_stc",-0.00756624138328595,0.270736281335638,0.957,0.00453602248671675,1.0802561004003,"stc_linear",1
6,"threshold",0.8,"normal","most_favorable",-0.116352323596829,0.317190006656312,0.9425,0.00520546587732549,1.19718587986936,"stc_linear",0.302
6,"threshold",0.8,"normal","averaged",-0.0176932323156207,0.29381300871885,0.974,0.00355837041354607,1.28853221522274,"all",1
6,"threshold",0.8,"normal","prespecified_maic",-0.0153709022293056,0.325097750807495,0.9495,0.00489641450451246,1.29472480376191,"maic_means",1
6,"threshold",0.8,"normal","min_se",-0.00888889147929395,0.273296327411671,0.956,0.00458606585212206,1.07743372919623,"stc_linear",0.96
6,"threshold",0.8,"normal","prespecified_stc",-0.00986072246013993,0.272846762697309,0.9575,0.00451075104611194,1.07803076289178,"stc_linear",1
7,"interaction",0.8,"normal","prespecified_maic",-0.0162483382687543,0.331009829208373,0.944,0.00514120608417908,1.29271962926843,"maic_means",1
7,"interaction",0.8,"normal","prespecified_stc",0.0343981576710186,0.276963801470716,0.9435,0.00516273909857936,1.07511705205045,"stc_linear",1
7,"interaction",0.8,"normal","averaged",-0.00899889115751783,0.294229271630257,0.9685,0.00390562094934979,1.28842354931161,"all",1
7,"interaction",0.8,"normal","most_favorable",-0.112551727794035,0.318361628845359,0.9405,0.00528960064655168,1.19651621481224,"stc_flexible",0.3955
7,"interaction",0.8,"normal","min_se",0.031283977250518,0.275533652722596,0.945,0.00509779364038993,1.07174956436014,"stc_linear",0.85
8,"quadratic",0.8,"normal","averaged",0.00641907142544328,0.293965320865333,0.9705,0.00378350036342009,1.28208809303894,"all",1
8,"quadratic",0.8,"normal","min_se",0.0424514769399804,0.278012692089932,0.94,0.0053103672189407,1.06980225268144,"stc_linear",0.883
8,"quadratic",0.8,"normal","prespecified_stc",0.0452832550967704,0.277097467941206,0.942,0.00522666241496426,1.07216942954534,"stc_linear",1
8,"quadratic",0.8,"normal","prespecified_maic",0.00595156261630869,0.33060587514407,0.9465,0.00503178646208283,1.28181794144255,"maic_means",1
8,"quadratic",0.8,"normal","most_favorable",-0.0983729256918365,0.313041643726171,0.947,0.0050095408971282,1.1959986764381,"stc_flexible",0.3845
9,"linear",1.2,"normal","most_favorable",-0.234796056013335,0.490286785858314,0.9285,0.00576141258720464,1.71521035744653,"stc_linear",0.3265
9,"linear",1.2,"normal","min_se",0.00241793675320108,0.327673878969151,0.952,0.00477995815881269,1.28058690764464,"stc_linear",0.9945
9,"linear",1.2,"normal","averaged",0.0042239900445193,0.424898324722985,0.987,0.00253288373203351,2.03510794532565,"all",1
9,"linear",1.2,"normal","prespecified_maic",-0.00164591434665759,0.547084110585115,0.924,0.0059255379502624,1.99725028095478,"maic_means",1
9,"linear",1.2,"normal","prespecified_stc",0.00149805711444615,0.327398515303668,0.9525,0.00475624589355933,1.28080647845609,"stc_linear",1
10,"threshold",1.2,"normal","prespecified_maic",-0.0133957735582036,0.556474927806696,0.925,0.00588960949469487,1.99431643104661,"maic_means",1
10,"threshold",1.2,"normal","most_favorable",-0.255989176523417,0.500478918098656,0.928,0.0057799653978203,1.70969184324541,"stc_linear",0.2895
10,"threshold",1.2,"normal","prespecified_stc",0.00358489119774138,0.329704511030854,0.9495,0.00489641450451246,1.27753427064132,"stc_linear",1
10,"threshold",1.2,"normal","averaged",-0.0136754887590276,0.429115393561,0.99,0.0022248595461287,2.04048030727063,"all",1
10,"threshold",1.2,"normal","min_se",0.00414821952051518,0.329895839979552,0.949,0.00491929873051028,1.27731566441185,"stc_linear",0.993
11,"interaction",1.2,"normal","averaged",0.0174499757080022,0.406337993553983,0.991,0.00211175282644537,1.98870487934561,"all",1
11,"interaction",1.2,"normal","prespecified_maic",-0.0255072700193162,0.533792083382859,0.929,0.0057427780733718,1.94396248580652,"maic_means",1
11,"interaction",1.2,"normal","min_se",0.119957153418285,0.344169409124672,0.938,0.00539240206216117,1.26877268667779,"stc_linear",0.9695
11,"interaction",1.2,"normal","prespecified_stc",0.119201494964091,0.344025537885124,0.9365,0.005452877680638,1.26984556428552,"stc_linear",1
11,"interaction",1.2,"normal","most_favorable",-0.216489395939829,0.478666763662633,0.942,0.00522666241496426,1.72888044591307,"stc_flexible",0.3355
12,"quadratic",1.2,"normal","averaged",-0.0164134392279632,0.407006522171349,0.991,0.00211175282644537,2.00330458550212,"all",1
12,"quadratic",1.2,"normal","most_favorable",-0.25928492431223,0.509271337235084,0.9275,0.00579843728947723,1.74910731587401,"maic_means_sds",0.3425
12,"quadratic",1.2,"normal","min_se",0.0962887891300434,0.335562048117824,0.9395,0.0053310294503032,1.27046521689667,"stc_linear",0.9845
12,"quadratic",1.2,"normal","prespecified_stc",0.0958903152594063,0.335772055028911,0.939,0.00535158854920668,1.27086532717317,"stc_linear",1
12,"quadratic",1.2,"normal","prespecified_maic",-0.0498935924379139,0.535921420575567,0.9265,0.00583514138646186,1.9397116354187,"maic_means",1
13,"linear",0.3,"skewed","prespecified_maic",-0.0199892573245642,0.258613849574718,0.951,0.00482695556225661,1.00944105554134,"maic_means",1
13,"linear",0.3,"skewed","most_favorable",-0.107785092396283,0.273763920185171,0.9325,0.00560997994648822,0.992165735711933,"stc_flexible",0.3365
13,"linear",0.3,"skewed","min_se",-0.0617319846893805,0.257926309002575,0.9425,0.00520546587732549,0.970682519541091,"stc_linear",0.928
13,"linear",0.3,"skewed","prespecified_stc",-0.0608330875549192,0.25750413648653,0.942,0.00522666241496426,0.971119698970163,"stc_linear",1
13,"linear",0.3,"skewed","averaged",-0.0402363490394632,0.252764964128627,0.962,0.00427527776875375,1.03666767351315,"all",1
14,"linear",0.8,"skewed","averaged",-0.029454541583329,0.297363392300081,0.9745,0.00352489361541593,1.3574626029674,"all",1
14,"linear",0.8,"skewed","prespecified_maic",0.02357967530527,0.32793042015406,0.939,0.00535158854920668,1.2667544216368,"maic_means",1
14,"linear",0.8,"skewed","most_favorable",-0.169731460444654,0.345257584794474,0.927,0.00581682903307291,1.2213805680229,"stc_linear",0.266
14,"linear",0.8,"skewed","min_se",-0.0548867287722396,0.295063949924952,0.9465,0.00503178646208283,1.11765290733894,"stc_linear",0.986
14,"linear",0.8,"skewed","prespecified_stc",-0.0551490468896058,0.295153266550723,0.9465,0.00503178646208283,1.11784169495739,"stc_linear",1
15,"linear",1.2,"skewed","averaged",0.0115808890566299,0.372070088608765,0.9885,0.00238408787589719,1.86709308024861,"all",1
15,"linear",1.2,"skewed","prespecified_maic",0.107372498350164,0.463306699118796,0.921,0.00603154209137265,1.64562284746741,"maic_means",1
15,"linear",1.2,"skewed","most_favorable",-0.223549292818505,0.442768091976863,0.9335,0.00557125434709276,1.58986276727939,"maic_means_sds",0.3
15,"linear",1.2,"skewed","min_se",-0.0271401759712158,0.338070183114042,0.9555,0.00461084319837489,1.31811300961001,"stc_linear",0.996
15,"linear",1.2,"skewed","prespecified_stc",-0.0276847786430325,0.33774773945856,0.9555,0.00461084319837489,1.31821574247862,"stc_linear",1
16,"none",0.8,"normal","averaged",0.00512016647827434,0.315891090345601,0.9745,0.00352489361541593,1.36094957978748,"all",1
16,"none",0.8,"normal","prespecified_maic",0.00711774012666695,0.34763876002535,0.951,0.00482695556225661,1.35287712485685,"maic_means",1
16,"none",0.8,"normal","most_favorable",-0.103806798698105,0.328702667314445,0.9515,0.00480352734977121,1.27303309083454,"stc_linear",0.357
16,"none",0.8,"normal","min_se",-0.000436063163241391,0.293249460070713,0.951,0.00482695556225661,1.15042020891668,"stc_linear",0.9745
16,"none",0.8,"normal","prespecified_stc",0.000169709168054159,0.293038059756938,0.9525,0.00475624589355933,1.15091270660308,"stc_linear",1
