"fpr","tpr","diagnostic","target"
0.490275764526888,0.76917210673844,"lambda_norm","material error"
0.495369470333427,0.772617708660185,"lambda_norm","material error"
0.500946862951475,0.775620023427078,"lambda_norm","material error"
0.506402285682689,0.77849058506019,"lambda_norm","material error"
0.511624751233373,0.781817928497777,"lambda_norm","material error"
0.516999978294075,0.784996526078351,"lambda_norm","material error"
0.522179651338643,0.78813591196237,"lambda_norm","material error"
0.527623100039223,0.79141496335016,"lambda_norm","material error"
0.53286417004228,0.794660678214587,"lambda_norm","material error"
0.538345136449123,0.797630201438621,"lambda_norm","material error"
0.543876962621946,0.800656601183714,"lambda_norm","material error"
0.549657964528353,0.803687669074976,"lambda_norm","material error"
0.555216214748836,0.806785340086746,"lambda_norm","material error"
0.56123481718687,0.809732805931659,"lambda_norm","material error"
0.566994289357886,0.812835405599025,"lambda_norm","material error"
0.572597209947761,0.815932173511438,"lambda_norm","material error"
0.578214026725856,0.819170412212264,"lambda_norm","material error"
0.583621485784214,0.822291777633965,"lambda_norm","material error"
0.589165730069664,0.825515284689768,"lambda_norm","material error"
0.594767377033088,0.828587650572901,"lambda_norm","material error"
0.60048391278641,0.831616554864795,"lambda_norm","material error"
0.606175812448069,0.834547877351676,"lambda_norm","material error"
0.611892777238906,0.837512867254598,"lambda_norm","material error"
0.617789449109551,0.840493236354557,"lambda_norm","material error"
0.623349870650653,0.843566344461049,"lambda_norm","material error"
0.629249339057103,0.846526798561817,"lambda_norm","material error"
0.635136404635161,0.849549449256294,"lambda_norm","material error"
0.641180087067043,0.852429117750628,"lambda_norm","material error"
0.646870783409739,0.855488097105345,"lambda_norm","material error"
0.652637608976859,0.858404271654437,"lambda_norm","material error"
0.658595999314405,0.861289609591334,"lambda_norm","material error"
0.664677488174774,0.864268156039353,"lambda_norm","material error"
0.670164783933864,0.867420613555301,"lambda_norm","material error"
0.675815292024554,0.870416826198932,"lambda_norm","material error"
0.681483420502529,0.87346405253035,"lambda_norm","material error"
0.687228823383851,0.876377202819595,"lambda_norm","material error"
0.692955690142328,0.879438185224136,"lambda_norm","material error"
0.698704322672765,0.882478989639012,"lambda_norm","material error"
0.704244499972686,0.885520654257331,"lambda_norm","material error"
0.710077183817131,0.888519621184242,"lambda_norm","material error"
0.71561009469125,0.891410636659735,"lambda_norm","material error"
0.720914596194476,0.894367971372276,"lambda_norm","material error"
0.726174829393642,0.897381174062228,"lambda_norm","material error"
0.731478602887698,0.900404492026472,"lambda_norm","material error"
0.736857103412324,0.903256327275472,"lambda_norm","material error"
0.742289331085665,0.906101440728277,"lambda_norm","material error"
0.747485948894315,0.909019175918194,"lambda_norm","material error"
0.75235079243705,0.911866896750468,"lambda_norm","material error"
0.756971444285931,0.914830054599604,"lambda_norm","material error"
0.761353459092185,0.917893888570395,"lambda_norm","material error"
0.765958486615155,0.920913782565837,"lambda_norm","material error"
0.770594323263255,0.923702490634435,"lambda_norm","material error"
0.775574768021137,0.926425802413678,"lambda_norm","material error"
0.780602422009964,0.929062863764617,"lambda_norm","material error"
0.785724930211271,0.931666667202058,"lambda_norm","material error"
0.790760114893344,0.93431341460699,"lambda_norm","material error"
0.796110385792486,0.936758361744626,"lambda_norm","material error"
0.801400999079271,0.939349718772768,"lambda_norm","material error"
0.80669260350385,0.941923140281639,"lambda_norm","material error"
0.812269155369005,0.944358660895349,"lambda_norm","material error"
0.817766483221532,0.946914567878635,"lambda_norm","material error"
0.823276270424157,0.949318119284393,"lambda_norm","material error"
0.829107289125935,0.951713229597009,"lambda_norm","material error"
0.835099994972313,0.953980403663382,"lambda_norm","material error"
0.841233653547647,0.956325105074886,"lambda_norm","material error"
0.847387353053843,0.958582055615179,"lambda_norm","material error"
0.853553005432491,0.960822807235151,"lambda_norm","material error"
0.859951220658361,0.962850778800914,"lambda_norm","material error"
0.866456964984514,0.964932944815841,"lambda_norm","material error"
0.873091845526536,0.966938835432581,"lambda_norm","material error"
0.879662391719535,0.968927877814145,"lambda_norm","material error"
0.886392454995218,0.970936331739207,"lambda_norm","material error"
0.893195883505953,0.97284435829974,"lambda_norm","material error"
0.899724205047179,0.974892059700595,"lambda_norm","material error"
0.906579239734087,0.976886084406614,"lambda_norm","material error"
0.913576723206998,0.978622458431093,"lambda_norm","material error"
0.920691152368434,0.980449337610068,"lambda_norm","material error"
0.927708793651666,0.982260654451915,"lambda_norm","material error"
0.935099728440107,0.98393117606702,"lambda_norm","material error"
0.942111973788414,0.985978308786887,"lambda_norm","material error"
0.949113287011525,0.987720951033871,"lambda_norm","material error"
0.956551889138444,0.989401360907906,"lambda_norm","material error"
0.963661136643959,0.991198914821119,"lambda_norm","material error"
0.970995127761032,0.992919510070185,"lambda_norm","material error"
0.978109143948386,0.994666578692304,"lambda_norm","material error"
0.985273578037436,0.996691609243707,"lambda_norm","material error"
0.992412512924987,0.998469165956884,"lambda_norm","material error"
1,1,"lambda_norm","material error"
0,0,"ess","transport error"
0,2.67209448294967e-06,"ess","transport error"
0.000944060271268541,0.00413281571639278,"ess","transport error"
0.00184501508613611,0.008179125560556,"ess","transport error"
0.00278705334175477,0.0121470323314466,"ess","transport error"
0.00372922647119782,0.0163132765718233,"ess","transport error"
0.00474329558797585,0.0203903038229039,"ess","transport error"
0.00577917831403433,0.0243151541789542,"ess","transport error"
0.00690266926153829,0.0281030620203841,"ess","transport error"
0.0080211214626669,0.0318185191115116,"ess","transport error"
0.00913906432404706,0.0355209601806398,"ess","transport error"
0.0103223346282384,0.0392552493817838,"ess","transport error"
0.0115160168278829,0.0428461485479587,"ess","transport error"
0.0127329183465913,0.0466278138258702,"ess","transport error"
0.0139743091628045,0.0503629795057591,"ess","transport error"
0.0152236836437813,0.0541332950212836,"ess","transport error"
0.0164926284165667,0.0578818514911901,"ess","transport error"
0.0177492716545006,0.0617121987109023,"ess","transport error"
0.019119719870651,0.0652501683966012,"ess","transport error"
0.0205348085429025,0.0689028550005051,"ess","transport error"
0.0218749389311057,0.0727681266920769,"ess","transport error"
0.0233263322002674,0.0764575918293858,"ess","transport error"
0.0247797989164292,0.0802269426172771,"ess","transport error"
0.0261536535313192,0.0841906876810447,"ess","transport error"
0.0276144291562499,0.0878517756527471,"ess","transport error"
0.0291260884145165,0.0915926593770208,"ess","transport error"
0.0305945445717666,0.0953028008457103,"ess","transport error"
0.032092434245858,0.0988349527107199,"ess","transport error"
0.0336057667810998,0.102461199841552,"ess","transport error"
0.0350210886057065,0.106258420603941,"ess","transport error"
0.0365760458594712,0.10966932251781,"ess","transport error"
0.0380153473188453,0.113459408017598,"ess","transport error"
0.039553109434291,0.117159971732723,"ess","transport error"
0.0410453207284079,0.120849835651129,"ess","transport error"
0.0425852588481841,0.124364285363658,"ess","transport error"
0.0441001922691971,0.127933441575911,"ess","transport error"
0.0455951705945377,0.131548452119485,"ess","transport error"
0.0472150248916219,0.134828441750789,"ess","transport error"
0.0487486256099129,0.138369650448265,"ess","transport error"
0.0503043010923375,0.141922486282414,"ess","transport error"
0.0517781683948716,0.145259125077413,"ess","transport error"
0.0533803122918502,0.148495359008129,"ess","transport error"
0.054991930964422,0.15176324402456,"ess","transport error"
0.0564714035605613,0.155255712930009,"ess","transport error"
0.0579675385351906,0.158718159491017,"ess","transport error"
0.0594904969648841,0.162201689635931,"ess","transport error"
0.0610182955924239,0.165513107939429,"ess","transport error"
0.0624780775075311,0.169012440116662,"ess","transport error"
0.0640087668202672,0.17231590636373,"ess","transport error"
0.0655561505644309,0.175713428422594,"ess","transport error"
0.0671228660228328,0.179058700229568,"ess","transport error"
