"diagnostic","factor","level","cal_intercept","cal_slope","ice"
"orc_cross","sd_target",1.25,0.587944907930185,0.484473218825511,0.138996431827305
"lambda_norm","omit",0,-0.535059828681677,1.04649314121075,0.133090891884924
"lambda_norm","omit",0.35,-0.109747531237542,1.27270897803419,0.0716065539005092
"lambda_norm","joint",0,-0.93664860904107,1.57856104762059,0.218763940607475
"lambda_norm","joint",0.45,0.571276659207891,0.688895781490375,0.131910079601349
"lambda_norm","overlap",0,-0.698917108286834,4.09603050195687,0.167671430206219
"lambda_norm","overlap",0.25,-0.535569991509666,3.78946905153982,0.133226104356672
"lambda_norm","overlap",0.75,-0.178075184218282,-0.969178071220434,0.11831801509466
"lambda_norm","overlap",1.25,-0.276976300016037,0.0210209713894326,0.0973513606644577
"lambda_norm","n_arm",150,0.107037727212203,0.793110746337596,0.0450987209168364
"lambda_norm","n_arm",400,-0.774910633617286,1.5929083805865,0.19119561092107
"lambda_norm","rho4",0,-0.369783734136681,1.21457942384026,0.10290909261173
"lambda_norm","rho4",0.5,-0.341695533478765,1.07803168382639,0.100047124045025
"lambda_norm","sd_target",1,-1.08075438946027,1.00424869043265,0.233598748531037
"lambda_norm","sd_target",1.25,0.621571210889132,1.30989455197648,0.147052564798002
