"gu","m","r","b","b_oc","b_mc","b_me","sum_marg","interaction","rel_inter","oat_max","exceeds_oat","cancel"
1,0.2,1,0.15558024109891,0.188035155245214,0.126454185409471,0,0.314489340654685,-0.158909099555775,0.505292482171154,0.188035155245214,FALSE,FALSE
-1,0,0.8,-0.131057587839169,-0.177296390598544,0,0.0474940956051266,-0.129802294993417,-0.00125529284575177,0.0096708062505014,0.177296390598544,FALSE,TRUE
-0.5,0,0.8,-0.0456180007722152,-0.0927868811775936,0,0.0474940956051266,-0.045292785572467,-0.000325215199748263,0.00718028700681104,0.0927868811775936,FALSE,TRUE
0,0,0.8,0.0474940956051266,0,0,0.0474940956051266,0.0474940956051266,0,0,0.0474940956051266,FALSE,FALSE
0.5,0,0.8,0.142151671375164,0.0952712572998982,0,0.0474940956051266,0.142765352905025,-0.000613681529860521,0.00429853264376249,0.0952712572998982,TRUE,FALSE
1,0,0.8,0.233266825727639,0.188035155245214,0,0.0474940956051266,0.235529250850341,-0.00226242512270164,0.00960570763305838,0.188035155245214,TRUE,FALSE
-1,0.1,0.8,0.0138838975940386,-0.177296390598544,0.0641714816859618,0.0474940956051266,-0.0656308133074555,0.0795147109014941,1.21154541433149,0.177296390598544,FALSE,TRUE
-0.5,0.1,0.8,0.0603350306825333,-0.0927868811775936,0.0641714816859618,0.0474940956051266,0.0188786961134948,0.0414563345690385,2.19593208767235,0.0927868811775936,FALSE,TRUE
0,0.1,0.8,0.111665577291088,0,0.0641714816859618,0.0474940956051266,0.111665577291088,0,0,0.0641714816859618,TRUE,FALSE
0.5,0.1,0.8,0.164902081828169,0.0952712572998982,0.0641714816859618,0.0474940956051266,0.206936834590987,-0.0420347527628172,0.203128422476837,0.0952712572998982,TRUE,FALSE
1,0.1,0.8,0.217077717690647,0.188035155245214,0.0641714816859618,0.0474940956051266,0.299700732536302,-0.082623014845655,0.275685061382514,0.188035155245214,TRUE,FALSE
-1,0.2,0.8,0.147394452281718,-0.177296390598544,0.126454185409471,0.0474940956051266,-0.00334810958394616,0.150742561865664,45.0231863940355,0.177296390598544,FALSE,TRUE
-0.5,0.2,0.8,0.160550078166476,-0.0927868811775936,0.126454185409471,0.0474940956051266,0.0811613998370041,0.0793886783294717,0.978158071311085,0.126454185409471,TRUE,TRUE
0,0.2,0.8,0.173948281014598,0,0.126454185409471,0.0474940956051266,0.173948281014598,0,0,0.126454185409471,TRUE,FALSE
0.5,0.2,0.8,0.187453494136725,0.0952712572998982,0.126454185409471,0.0474940956051266,0.269219538314496,-0.0817660441777709,0.303715119228285,0.126454185409471,TRUE,FALSE
1,0.2,0.8,0.200811911581335,0.188035155245214,0.126454185409471,0.0474940956051266,0.361983436259812,-0.161171524678477,0.445245579034719,0.188035155245214,TRUE,FALSE
-1,0,0.6,-0.0847455177666527,-0.177296390598544,0,0.0950235612324505,-0.0822728293660934,-0.00247268840055936,0.0300547388440541,0.177296390598544,FALSE,TRUE
-0.5,0,0.6,0.00159739013143811,-0.0927868811775936,0,0.0950235612324505,0.00223668005485689,-0.000639289923418773,0.285820907657567,0.0950235612324505,FALSE,TRUE
0,0,0.6,0.0950235612324505,0,0,0.0950235612324505,0.0950235612324505,0,0,0.0950235612324505,FALSE,FALSE
0.5,0,0.6,0.189064576550601,0.0952712572998982,0,0.0950235612324505,0.190294818532349,-0.00123024198174748,0.0064649263245092,0.0952712572998982,TRUE,FALSE
1,0,0.6,0.27852091462359,0.188035155245214,0,0.0950235612324505,0.283058716477665,-0.00453780185407487,0.0160313093712235,0.188035155245214,TRUE,FALSE
-1,0.1,0.6,0.0601959676665549,-0.177296390598544,0.0641714816859618,0.0950235612324505,-0.0181013476801316,0.0782973153466865,4.32549646193621,0.177296390598544,FALSE,TRUE
-0.5,0.1,0.6,0.107550421586187,-0.0927868811775936,0.0641714816859618,0.0950235612324505,0.0664081617408186,0.041142259845368,0.619536195052955,0.0950235612324505,TRUE,TRUE
0,0.1,0.6,0.159195042918412,0,0.0641714816859618,0.0950235612324505,0.159195042918412,0,0,0.0950235612324505,TRUE,FALSE
0.5,0.1,0.6,0.211814987003606,0.0952712572998982,0.0641714816859618,0.0950235612324505,0.25446630021831,-0.0426513132147042,0.167610851331249,0.0952712572998982,TRUE,FALSE
1,0.1,0.6,0.262331806586598,0.188035155245214,0.0641714816859618,0.0950235612324505,0.347230198163626,-0.0848983915770282,0.244501751362712,0.188035155245214,TRUE,FALSE
-1,0.2,0.6,0.193706522354234,-0.177296390598544,0.126454185409471,0.0950235612324505,0.0441813560433777,0.149525166310857,3.38434986386682,0.177296390598544,TRUE,TRUE
-0.5,0.2,0.6,0.207765469070129,-0.0927868811775936,0.126454185409471,0.0950235612324505,0.128690865464328,0.0790746036058012,0.614453895546456,0.126454185409471,TRUE,TRUE
0,0.2,0.6,0.221477746641922,0,0.126454185409471,0.0950235612324505,0.221477746641922,0,0,0.126454185409471,TRUE,FALSE
0.5,0.2,0.6,0.234366399312162,0.0952712572998982,0.126454185409471,0.0950235612324505,0.31674900394182,-0.0823826046296579,0.260087967458265,0.126454185409471,TRUE,FALSE
1,0.2,0.6,0.246066000477285,0.188035155245214,0.126454185409471,0.0950235612324505,0.409512901887136,-0.16344690140985,0.399125157367807,0.188035155245214,TRUE,FALSE
