"strategy","shift","drift","n_studies","spread","tau_re","bias","rmse","p_material","reversal","n"
"always_common",1,0.6,12,0.6,0.15,0.123547437793238,0.1283685698976,1,0.58,50
"always_common",1,1.2,6,0.25,0,0.214098958962744,0.219348698963767,1,0.38,50
"always_common",1,1.2,6,0.25,0.15,0.208574194695578,0.213998105198886,1,0.42,50
"always_common",1,1.2,6,0.6,0,0.212379377321312,0.223686004318389,1,0.42,50
"always_common",1,1.2,6,0.6,0.15,0.21440772846777,0.22785459874108,1,0.48,50
"always_common",1,1.2,12,0.25,0,0.225470821154793,0.228501879436291,1,0.46,50
"always_common",1,1.2,12,0.25,0.15,0.219941465765654,0.223389444105,1,0.32,50
"always_common",1,1.2,12,0.6,0,0.206590284378235,0.212048520716833,1,0.38,50
"always_common",1,1.2,12,0.6,0.15,0.2248706939613,0.231787744151951,1,0.42,50
"always_common",1.5,0,6,0.25,0,-0.00854226218203787,0.0433996654446894,0.46,NA,50
"always_common",1.5,0,6,0.25,0.15,0.00636601217021497,0.0454947401132065,0.58,NA,50
"always_common",1.5,0,6,0.6,0,0.00150127111630767,0.0449619681746989,0.5,NA,50
"always_common",1.5,0,6,0.6,0.15,0.0025652801867634,0.0489030419889511,0.58,NA,50
"always_common",1.5,0,12,0.25,0,0.00171573092645173,0.0284039241154777,0.28,NA,50
"always_common",1.5,0,12,0.25,0.15,-0.00149509476777785,0.0256569144824445,0.24,NA,50
"always_common",1.5,0,12,0.6,0,-0.00376419271000363,0.03111553493703,0.34,NA,50
"always_common",1.5,0,12,0.6,0.15,0.00243942016524141,0.0300009756095386,0.34,NA,50
"always_common",1.5,0.3,6,0.25,0,0.0781993612467997,0.085525537074108,0.9,0.42,50
"always_common",1.5,0.3,6,0.25,0.15,0.0805030884255795,0.0891807540177709,0.9,0.46,50
"always_common",1.5,0.3,6,0.6,0,0.0876363888171536,0.0956191786201409,0.92,0.58,50
"always_common",1.5,0.3,6,0.6,0.15,0.0811054283353502,0.0932560746805139,0.88,0.46,50
"always_common",1.5,0.3,12,0.25,0,0.0810636495803161,0.0848919543007386,0.96,0.44,50
"always_common",1.5,0.3,12,0.25,0.15,0.0794609934163506,0.0851374809844831,0.94,0.42,50
"always_common",1.5,0.3,12,0.6,0,0.0820736530294865,0.0870263997389523,0.98,0.42,50
"always_common",1.5,0.3,12,0.6,0.15,0.0823091921968818,0.0877954169328044,0.96,0.46,50
"always_common",1.5,0.6,6,0.25,0,0.164206517674221,0.168794777340303,1,0.38,50
"always_common",1.5,0.6,6,0.25,0.15,0.16430916601092,0.170287795044026,1,0.32,50
"always_common",1.5,0.6,6,0.6,0,0.162463273263677,0.169673443310825,1,0.48,50
"always_common",1.5,0.6,6,0.6,0.15,0.171642037446005,0.18090483847793,0.98,0.58,50
"always_common",1.5,0.6,12,0.25,0,0.16772987399662,0.169993557312829,1,0.48,50
"always_common",1.5,0.6,12,0.25,0.15,0.166536511305922,0.169969904631605,1,0.42,50
"always_common",1.5,0.6,12,0.6,0,0.164544758854508,0.168649920282411,1,0.42,50
"always_common",1.5,0.6,12,0.6,0.15,0.177007618679222,0.180291429009074,1,0.58,50
"always_common",1.5,1.2,6,0.25,0,0.316404712912154,0.319458648607744,1,0.36,50
"always_common",1.5,1.2,6,0.25,0.15,0.311893969896716,0.315131607511474,1,0.42,50
"always_common",1.5,1.2,6,0.6,0,0.314287636366067,0.32135577942373,1,0.42,50
"always_common",1.5,1.2,6,0.6,0.15,0.316056127637886,0.324654290538252,0.98,0.48,50
"always_common",1.5,1.2,12,0.25,0,0.327530817884431,0.329411870796661,1,0.44,50
"always_common",1.5,1.2,12,0.25,0.15,0.322115000980969,0.324234913359614,1,0.32,50
"always_common",1.5,1.2,12,0.6,0,0.30891525615522,0.312441546314152,1,0.38,50
"always_common",1.5,1.2,12,0.6,0.15,0.326562642879443,0.331149882093211,1,0.42,50
"always_relaxed",0,0,6,0.25,0,-0.0111291979371433,0.0523647286079569,0.58,NA,50
"always_relaxed",0,0,6,0.25,0.15,0.0101446518088494,0.052172044430406,0.64,NA,50
"always_relaxed",0,0,6,0.6,0,0.0153015506003191,0.0649777056805196,0.66,NA,50
"always_relaxed",0,0,6,0.6,0.15,0.00435077729472274,0.0883088256184458,0.66,NA,50
"always_relaxed",0,0,12,0.25,0,0.00519651753084047,0.0309574269401296,0.34,NA,50
"always_relaxed",0,0,12,0.25,0.15,-0.000407575142299537,0.031064072759466,0.44,NA,50
"always_relaxed",0,0,12,0.6,0,-0.00489434206691901,0.0305937911573299,0.34,NA,50
"always_relaxed",0,0,12,0.6,0.15,-0.00746039148073321,0.0361191079715645,0.4,NA,50
"always_relaxed",0,0.3,6,0.25,0,-0.00790601650675841,0.0379947625323566,0.5,0.36,50
"always_relaxed",0,0.3,6,0.25,0.15,-0.004502233070815,0.039842365286005,0.44,0.46,50
"always_relaxed",0,0.3,6,0.6,0,0.0188097575150364,0.0627490071317496,0.56,0.56,50
"always_relaxed",0,0.3,6,0.6,0.15,0.00406648505930016,0.0617589776696537,0.58,0.52,50
"always_relaxed",0,0.3,12,0.25,0,-0.00167525584382609,0.0299266390501982,0.28,0.46,50
"always_relaxed",0,0.3,12,0.25,0.15,-0.00218188384142409,0.0340812040366701,0.42,0.52,50
"always_relaxed",0,0.3,12,0.6,0,7.02746608733096e-05,0.0307678556383423,0.36,0.42,50
"always_relaxed",0,0.3,12,0.6,0.15,-2.73749281244962e-05,0.0329835261241918,0.36,0.4,50
"always_relaxed",0,0.6,6,0.25,0,0.00138197502695639,0.0429256800955033,0.6,0.48,50
"always_relaxed",0,0.6,6,0.25,0.15,0.000480769085948897,0.0459260853932264,0.48,0.38,50
"always_relaxed",0,0.6,6,0.6,0,-0.00388675649397221,0.0593996204841153,0.62,0.42,50
"always_relaxed",0,0.6,6,0.6,0.15,0.0238390801042473,0.0869506167018181,0.7,0.58,50
"always_relaxed",0,0.6,12,0.25,0,0.00764733220108526,0.028317174126017,0.22,0.46,50
"always_relaxed",0,0.6,12,0.25,0.15,0.000419301300810447,0.0387043648374127,0.48,0.42,50
"always_relaxed",0,0.6,12,0.6,0,0.000382765971047823,0.0310727239899937,0.32,0.48,50
"always_relaxed",0,0.6,12,0.6,0.15,0.0132772691182898,0.0382001621593701,0.34,0.62,50
"always_relaxed",0,1.2,6,0.25,0,0.00118397334013584,0.0447295594512615,0.62,0.42,50
"always_relaxed",0,1.2,6,0.25,0.15,-0.00379228567854954,0.0493629165011863,0.52,0.44,50
"always_relaxed",0,1.2,6,0.6,0,-0.00394934365297052,0.0711450217318253,0.64,0.42,50
"always_relaxed",0,1.2,6,0.6,0.15,0.0039328692624415,0.0779120919047596,0.74,0.46,50
"always_relaxed",0,1.2,12,0.25,0,0.00986623107099628,0.0333371692217666,0.28,0.38,50
"always_relaxed",0,1.2,12,0.25,0.15,0.001099900914969,0.0363021182365325,0.34,0.28,50
"always_relaxed",0,1.2,12,0.6,0,-0.00344269568305309,0.0344777368594851,0.42,0.36,50
"always_relaxed",0,1.2,12,0.6,0.15,0.0113843422328637,0.0349172503598041,0.5,0.54,50
"always_relaxed",0.5,0,6,0.25,0,0.00876688490516024,0.0718535232129203,0.52,NA,50
"always_relaxed",0.5,0,6,0.25,0.15,0.0127143778013716,0.0738832096156632,0.8,NA,50
"always_relaxed",0.5,0,6,0.6,0,0.0357410001772674,0.0797654667317389,0.78,NA,50
"always_relaxed",0.5,0,6,0.6,0.15,0.0127138547261132,0.0969194767899555,0.8,NA,50
"always_relaxed",0.5,0,12,0.25,0,0.0440065757010081,0.0746091141367036,0.76,NA,50
"always_relaxed",0.5,0,12,0.25,0.15,0.0318091348441108,0.0639702403045821,0.68,NA,50
"always_relaxed",0.5,0,12,0.6,0,0.0110403587144006,0.0469935639620284,0.44,NA,50
"always_relaxed",0.5,0,12,0.6,0.15,0.0113407670871263,0.0527999879147705,0.62,NA,50
"always_relaxed",0.5,0.3,6,0.25,0,0.0138219969637416,0.0613396019920693,0.6,0.4,50
"always_relaxed",0.5,0.3,6,0.25,0.15,0.0146370080663664,0.0765187715059344,0.8,0.5,50
"always_relaxed",0.5,0.3,6,0.6,0,0.0428844954886755,0.0806631100499601,0.7,0.56,50
"always_relaxed",0.5,0.3,6,0.6,0.15,0.0236214586783574,0.0792849197999099,0.68,0.42,50
"always_relaxed",0.5,0.3,12,0.25,0,0.0429800409874117,0.0685566518393685,0.7,0.62,50
"always_relaxed",0.5,0.3,12,0.25,0.15,0.0370956928071461,0.0821652623619153,0.7,0.54,50
"always_relaxed",0.5,0.3,12,0.6,0,0.0194270763506938,0.0557660005277425,0.56,0.4,50
"always_relaxed",0.5,0.3,12,0.6,0.15,0.0142702363998363,0.0597370522328646,0.58,0.38,50
"always_relaxed",0.5,0.6,6,0.25,0,0.0385963381499458,0.0780761533951493,0.7,0.38,50
"always_relaxed",0.5,0.6,6,0.25,0.15,0.0284408042471402,0.0951718730548854,0.76,0.32,50
"always_relaxed",0.5,0.6,6,0.6,0,0.0116926331287342,0.0832604692459952,0.68,0.3,50
"always_relaxed",0.5,0.6,6,0.6,0.15,0.0487197939119983,0.0905329989646196,0.82,0.56,50
"always_relaxed",0.5,0.6,12,0.25,0,0.0447955365813122,0.080808397179519,0.76,0.38,50
"always_relaxed",0.5,0.6,12,0.25,0.15,0.00548675138068124,0.0864220405272691,0.8,0.26,50
"always_relaxed",0.5,0.6,12,0.6,0,0.01891726209431,0.04772683719389,0.44,0.18,50
"always_relaxed",0.5,0.6,12,0.6,0.15,0.0370535941815253,0.069444454362669,0.6,0.28,50
"always_relaxed",0.5,1.2,6,0.25,0,0.0395541767201693,0.0819567863133512,0.64,0.12,50
"always_relaxed",0.5,1.2,6,0.25,0.15,0.0252858548176353,0.0776623552150617,0.7,0.06,50
"always_relaxed",0.5,1.2,6,0.6,0,0.0141914595836623,0.094745066238195,0.62,0.12,50
"always_relaxed",0.5,1.2,6,0.6,0.15,0.0242835590902517,0.0930876477138859,0.68,0.1,50
"always_relaxed",0.5,1.2,12,0.25,0,0.0397734725047528,0.0740415425766232,0.54,0.1,50
"always_relaxed",0.5,1.2,12,0.25,0.15,0.0247113282599696,0.0842411972908267,0.66,0.16,50
"always_relaxed",0.5,1.2,12,0.6,0,0.00765019582469562,0.0604540903623057,0.66,0.06,50
"always_relaxed",0.5,1.2,12,0.6,0.15,0.0190251880797932,0.0597053860411586,0.52,0.06,50
"always_relaxed",1,0,6,0.25,0,0.0280757551749934,0.11194544306065,0.68,NA,50
"always_relaxed",1,0,6,0.25,0.15,0.0157994386310481,0.12317642880154,0.86,NA,50
"always_relaxed",1,0,6,0.6,0,0.054528699179856,0.109031451582667,0.9,NA,50
"always_relaxed",1,0,6,0.6,0.15,0.0206430507111042,0.127835779196236,0.78,NA,50
"always_relaxed",1,0,12,0.25,0,0.0806710558828886,0.13128088246409,0.86,NA,50
"always_relaxed",1,0,12,0.25,0.15,0.0622083297053387,0.11914927479076,0.82,NA,50
"always_relaxed",1,0,12,0.6,0,0.0264510572983466,0.076983685886775,0.6,NA,50
"always_relaxed",1,0,12,0.6,0.15,0.029788903489223,0.0890592136609482,0.72,NA,50
"always_relaxed",1,0.3,6,0.25,0,0.0367415885412118,0.108464704640077,0.82,0.42,50
"always_relaxed",1,0.3,6,0.25,0.15,0.0351285695210529,0.133362784885547,0.86,0.52,50
"always_relaxed",1,0.3,6,0.6,0,0.0660259920950404,0.111208663045966,0.84,0.5,50
"always_relaxed",1,0.3,6,0.6,0.15,0.0422377105072718,0.113810166549994,0.74,0.44,50
"always_relaxed",1,0.3,12,0.25,0,0.0861434199104972,0.12705906457062,0.82,0.64,50
"always_relaxed",1,0.3,12,0.25,0.15,0.0752567520158491,0.149332145903824,0.86,0.52,50
"always_relaxed",1,0.3,12,0.6,0,0.038929559951418,0.0966873889658174,0.76,0.4,50
"always_relaxed",1,0.3,12,0.6,0.15,0.0289064929874228,0.0969113879747372,0.68,0.36,50
"always_relaxed",1,0.6,6,0.25,0,0.0768534302692632,0.130190813341754,0.86,0.42,50
"always_relaxed",1,0.6,6,0.25,0.15,0.0580749396889571,0.160728491864711,0.88,0.4,50
"always_relaxed",1,0.6,6,0.6,0,0.0280671590133902,0.11705923700074,0.82,0.24,50
"always_relaxed",1,0.6,6,0.6,0.15,0.0736375129781456,0.12791053556646,0.92,0.4,50
"always_relaxed",1,0.6,12,0.25,0,0.0823189802733721,0.143114921290236,0.88,0.36,50
"always_relaxed",1,0.6,12,0.25,0.15,0.0149560942328055,0.149745680159595,0.88,0.3,50
"always_relaxed",1,0.6,12,0.6,0,0.0374399251976069,0.0770297059886411,0.6,0.12,50
"always_relaxed",1,0.6,12,0.6,0.15,0.0605220600902057,0.108176981185176,0.78,0.24,50
"always_relaxed",1,1.2,6,0.25,0,0.0820155668386026,0.143675085591559,0.8,0.14,50
"always_relaxed",1,1.2,6,0.25,0.15,0.05980303566805,0.136949313715845,0.84,0.08,50
"always_relaxed",1,1.2,6,0.6,0,0.0371633842732661,0.134248336178419,0.84,0.04,50
"always_relaxed",1,1.2,6,0.6,0.15,0.0485591438649572,0.142904700147135,0.8,0.1,50
"always_relaxed",1,1.2,12,0.25,0,0.0709874079187925,0.129283122126339,0.78,0.08,50
"always_relaxed",1,1.2,12,0.25,0.15,0.0517506153676396,0.150980220263561,0.86,0.12,50
"always_relaxed",1,1.2,12,0.6,0,0.0208074400930155,0.0978872802005687,0.72,0.06,50
"always_relaxed",1,1.2,12,0.6,0.15,0.028700415935561,0.0994953393636359,0.7,0.04,50
"always_relaxed",1.5,0,6,0.25,0,0.0431119304947052,0.150563825548455,0.8,NA,50
"always_relaxed",1.5,0,6,0.25,0.15,0.0174739598196636,0.167796319004446,0.86,NA,50
"always_relaxed",1.5,0,6,0.6,0,0.0689133422099486,0.138699103515478,0.88,NA,50
"always_relaxed",1.5,0,6,0.6,0.15,0.0263246723044818,0.162911466192934,0.86,NA,50
"always_relaxed",1.5,0,12,0.25,0,0.111240609864574,0.179065862951377,0.88,NA,50
"always_relaxed",1.5,0,12,0.25,0.15,0.087219705288466,0.167800428955361,0.86,NA,50
"always_relaxed",1.5,0,12,0.6,0,0.0402233719870035,0.106905053405328,0.76,NA,50
"always_relaxed",1.5,0,12,0.6,0.15,0.0465551476997383,0.126239845444007,0.84,NA,50
"always_relaxed",1.5,0.3,6,0.25,0,0.0582661873325681,0.150634321037566,0.88,0.46,50
"always_relaxed",1.5,0.3,6,0.25,0.15,0.054473574714984,0.18331532460022,0.84,0.52,50
"always_relaxed",1.5,0.3,6,0.6,0,0.0868819636564156,0.142571053510893,0.86,0.52,50
"always_relaxed",1.5,0.3,6,0.6,0.15,0.0580622538970574,0.148503896122859,0.86,0.44,50
"always_relaxed",1.5,0.3,12,0.25,0,0.123993331460298,0.178960895926853,0.9,0.64,50
"always_relaxed",1.5,0.3,12,0.25,0.15,0.108935006173248,0.208047169493833,0.92,0.58,50
"always_relaxed",1.5,0.3,12,0.6,0,0.0570903461358176,0.136314124232559,0.86,0.4,50
"always_relaxed",1.5,0.3,12,0.6,0.15,0.0428495125145466,0.132144600623707,0.76,0.38,50
"always_relaxed",1.5,0.6,6,0.25,0,0.113911397888816,0.17912447145154,0.88,0.38,50
"always_relaxed",1.5,0.6,6,0.25,0.15,0.0877971494746004,0.217173407639846,0.96,0.44,50
"always_relaxed",1.5,0.6,6,0.6,0,0.0443211089338441,0.150062276416963,0.86,0.24,50
"always_relaxed",1.5,0.6,6,0.6,0.15,0.0975213743650742,0.174962561937466,0.92,0.36,50
"always_relaxed",1.5,0.6,12,0.25,0,0.118360616561571,0.198550386172376,0.92,0.38,50
"always_relaxed",1.5,0.6,12,0.25,0.15,0.0288603138320827,0.202773405222225,0.92,0.26,50
"always_relaxed",1.5,0.6,12,0.6,0,0.0555667733770272,0.106738295128613,0.68,0.12,50
"always_relaxed",1.5,0.6,12,0.6,0.15,0.0831753526500773,0.14591416317671,0.84,0.22,50
"always_relaxed",1.5,1.2,6,0.25,0,0.127746264366981,0.203364106332493,0.96,0.12,50
"always_relaxed",1.5,1.2,6,0.25,0.15,0.0995301912984848,0.193468798848329,0.88,0.04,50
"always_relaxed",1.5,1.2,6,0.6,0,0.0647429757017133,0.175415477287753,0.88,0.04,50
"always_relaxed",1.5,1.2,6,0.6,0.15,0.0773917820023991,0.196081521043262,0.84,0.12,50
"always_relaxed",1.5,1.2,12,0.25,0,0.103491822450316,0.180917121130956,0.88,0.06,50
"always_relaxed",1.5,1.2,12,0.25,0.15,0.0825136255679386,0.210439544721137,0.92,0.12,50
"always_relaxed",1.5,1.2,12,0.6,0,0.0361289956051321,0.134154834421015,0.82,0.02,50
"always_relaxed",1.5,1.2,12,0.6,0.15,0.041568847335828,0.136273658787776,0.82,0.02,50
"check_then_relax",0,0,6,0.25,0,-0.00885990072916996,0.0450659228175428,0.46,NA,50
"check_then_relax",0,0,6,0.25,0.15,0.00860216286233086,0.0459824682235268,0.56,NA,50
