"drift","shift","n_studies","spread","tau_re","systematic_bias","noise_sd","rmse","p_material_realized","p_material_if_no_noise","n"
0.6,1,6,0.25,0,0.110597293893354,0.0418902505246693,0.118116292880246,0.98,1,50
0.6,1,6,0.25,0.15,0.110539081313979,0.0472736789427988,0.120037465835086,0.98,1,50
0.6,1,6,0.6,0,0.108955541758401,0.050959080287492,0.120067486799461,0.94,1,50
0.6,1,6,0.6,0.15,0.118256390162129,0.059135696751319,0.131953263816536,0.98,1,50
0.6,1,12,0.25,0,0.113962119114983,0.0286921430665179,0.117448452035147,1,1,50
0.6,1,12,0.25,0.15,0.112763522904658,0.0351705029889439,0.118016257747628,1,1,50
0.6,1,12,0.6,0,0.110723588492,0.0379697196502605,0.116929802303171,0.98,1,50
0.6,1,12,0.6,0.15,0.123547437793238,0.0352037850510308,0.1283685698976,1,1,50
0.6,1.5,6,0.25,0,0.164206517674221,0.0394851613909552,0.168794777340303,1,1,50
0.6,1.5,6,0.25,0.15,0.16430916601092,0.0451802637260965,0.170287795044026,1,1,50
0.6,1.5,6,0.6,0,0.162463273263677,0.0494331356831939,0.169673443310825,1,1,50
0.6,1.5,6,0.6,0.15,0.171642037446005,0.0577253487108218,0.18090483847793,0.98,1,50
0.6,1.5,12,0.25,0,0.16772987399662,0.0279302867019523,0.169993557312829,1,1,50
0.6,1.5,12,0.25,0.15,0.166536511305922,0.0343356612756229,0.169969904631605,1,1,50
0.6,1.5,12,0.6,0,0.164544758854508,0.0373595047706658,0.168649920282411,1,1,50
0.6,1.5,12,0.6,0.15,0.177007618679222,0.0346012607951999,0.180291429009074,1,1,50
1.2,0,6,0.25,0,-0.00181173825223248,0.0504939306796147,0.0500192631919222,0.62,0,50
1.2,0,6,0.25,0.15,-0.00812482563010557,0.0493713383237225,0.0495458500627205,0.56,0,50
1.2,0,6,0.6,0,-0.0026195130449587,0.0717585089303336,0.0710855806786396,0.68,0,50
1.2,0,6,0.6,0.15,-0.00082461452166104,0.0787263860744701,0.0779395084419252,0.66,0,50
1.2,0,12,0.25,0,0.00920000018782481,0.0382836766940077,0.0389995782880156,0.34,0,50
1.2,0,12,0.25,0.15,0.00365120261565081,0.0407942412131827,0.0405489579937226,0.44,0,50
1.2,0,12,0.6,0,-0.00954595625184322,0.0480980997232586,0.0485621656622814,0.56,0,50
1.2,0,12,0.6,0.15,0.00877665087504534,0.0572357263375982,0.0573361962689104,0.5,0,50
