"rule","xvar","drift","n_studies","spread","tau_re","n","k","rate","lo","hi"
"flag_dic5","x1",1.2,6,0.25,0.15,50,9,0.18,0.0977019262304215,0.307960537883892
"flag_dic5","x1",1.2,6,0.6,0,50,23,0.46,0.329696520988216,0.596011287026074
"flag_dic5","x1",1.2,6,0.6,0.15,50,22,0.44,0.311621991202537,0.576939720818897
"flag_dic5","x1",1.2,12,0.25,0,50,19,0.38,0.258627892271457,0.51849553177141
"flag_dic5","x1",1.2,12,0.25,0.15,50,21,0.42,0.293750032662329,0.557665583366249
"flag_dic5","x1",1.2,12,0.6,0,50,41,0.82,0.692039462116108,0.902298073769578
"flag_dic5","x1",1.2,12,0.6,0.15,50,43,0.86,0.738138061763102,0.930491666108296
"flag_dic5","x2",0,6,0.25,0,50,0,0,0,0.0713476001786141
"flag_dic5","x2",0,6,0.25,0.15,50,0,0,0,0.0713476001786141
"flag_dic5","x2",0,6,0.6,0,50,0,0,0,0.0713476001786141
"flag_dic5","x2",0,6,0.6,0.15,50,3,0.06,0.0206149701884362,0.162170917968744
"flag_dic5","x2",0,12,0.25,0,50,0,0,0,0.0713476001786141
"flag_dic5","x2",0,12,0.25,0.15,50,2,0.04,0.0110388842281735,0.134600907936151
"flag_dic5","x2",0,12,0.6,0,50,1,0.02,0.0035392592325046,0.104954436938965
"flag_dic5","x2",0,12,0.6,0.15,50,1,0.02,0.0035392592325046,0.104954436938965
"flag_dic5","x2",0.3,6,0.25,0,50,1,0.02,0.0035392592325046,0.104954436938965
"flag_dic5","x2",0.3,6,0.25,0.15,50,3,0.06,0.0206149701884362,0.162170917968744
"flag_dic5","x2",0.3,6,0.6,0,50,1,0.02,0.0035392592325046,0.104954436938965
"flag_dic5","x2",0.3,6,0.6,0.15,50,3,0.06,0.0206149701884362,0.162170917968744
"flag_dic5","x2",0.3,12,0.25,0,50,0,0,0,0.0713476001786141
"flag_dic5","x2",0.3,12,0.25,0.15,50,1,0.02,0.0035392592325046,0.104954436938965
"flag_dic5","x2",0.3,12,0.6,0,50,0,0,0,0.0713476001786141
"flag_dic5","x2",0.3,12,0.6,0.15,50,3,0.06,0.0206149701884362,0.162170917968744
"flag_dic5","x2",0.6,6,0.25,0,50,0,0,0,0.0713476001786141
"flag_dic5","x2",0.6,6,0.25,0.15,50,2,0.04,0.0110388842281735,0.134600907936151
"flag_dic5","x2",0.6,6,0.6,0,50,2,0.04,0.0110388842281735,0.134600907936151
"flag_dic5","x2",0.6,6,0.6,0.15,50,7,0.14,0.0695083338917044,0.261861938236898
"flag_dic5","x2",0.6,12,0.25,0,50,3,0.06,0.0206149701884362,0.162170917968744
