"rule","shift","drift","n_studies","spread","tau_re","n","risk"
"flag_dic5",0.5,1.2,6,0.6,0,26,0.846153846153846
"flag_dic5",0.5,1.2,6,0.6,0.15,27,0.888888888888889
"flag_dic5",0.5,1.2,12,0.25,0,27,1
"flag_dic5",0.5,1.2,12,0.25,0.15,27,1
"flag_dic5",0.5,1.2,12,0.6,0,8,0.875
"flag_dic5",0.5,1.2,12,0.6,0.15,7,0.857142857142857
"flag_dic5",1,0,6,0.25,0,50,0.46
"flag_dic5",1,0,6,0.25,0.15,49,0.571428571428571
"flag_dic5",1,0,6,0.6,0,50,0.52
"flag_dic5",1,0,6,0.6,0.15,47,0.553191489361702
"flag_dic5",1,0,12,0.25,0,49,0.306122448979592
"flag_dic5",1,0,12,0.25,0.15,47,0.25531914893617
"flag_dic5",1,0,12,0.6,0,49,0.36734693877551
"flag_dic5",1,0,12,0.6,0.15,48,0.3125
"flag_dic5",1,0.3,6,0.25,0,49,0.73469387755102
"flag_dic5",1,0.3,6,0.25,0.15,46,0.760869565217391
"flag_dic5",1,0.3,6,0.6,0,48,0.791666666666667
"flag_dic5",1,0.3,6,0.6,0.15,46,0.739130434782609
"flag_dic5",1,0.3,12,0.25,0,50,0.82
"flag_dic5",1,0.3,12,0.25,0.15,48,0.6875
"flag_dic5",1,0.3,12,0.6,0,47,0.851063829787234
"flag_dic5",1,0.3,12,0.6,0.15,44,0.795454545454545
"flag_dic5",1,0.6,6,0.25,0,50,0.98
"flag_dic5",1,0.6,6,0.25,0.15,46,0.978260869565217
"flag_dic5",1,0.6,6,0.6,0,42,0.976190476190476
"flag_dic5",1,0.6,6,0.6,0.15,40,1
"flag_dic5",1,0.6,12,0.25,0,45,1
"flag_dic5",1,0.6,12,0.25,0.15,41,1
"flag_dic5",1,0.6,12,0.6,0,36,0.972222222222222
"flag_dic5",1,0.6,12,0.6,0.15,33,1
"flag_dic5",1,1.2,6,0.25,0,47,1
"flag_dic5",1,1.2,6,0.25,0.15,38,1
"flag_dic5",1,1.2,6,0.6,0,26,1
"flag_dic5",1,1.2,6,0.6,0.15,27,1
"flag_dic5",1,1.2,12,0.25,0,27,1
"flag_dic5",1,1.2,12,0.25,0.15,27,1
"flag_dic5",1,1.2,12,0.6,0,8,1
"flag_dic5",1,1.2,12,0.6,0.15,7,1
"flag_dic5",1.5,0,6,0.25,0,50,0.46
"flag_dic5",1.5,0,6,0.25,0.15,49,0.571428571428571
"flag_dic5",1.5,0,6,0.6,0,50,0.5
"flag_dic5",1.5,0,6,0.6,0.15,47,0.553191489361702
"flag_dic5",1.5,0,12,0.25,0,49,0.285714285714286
"flag_dic5",1.5,0,12,0.25,0.15,47,0.25531914893617
"flag_dic5",1.5,0,12,0.6,0,49,0.346938775510204
"flag_dic5",1.5,0,12,0.6,0.15,48,0.3125
"flag_dic5",1.5,0.3,6,0.25,0,49,0.897959183673469
"flag_dic5",1.5,0.3,6,0.25,0.15,46,0.891304347826087
"flag_dic5",1.5,0.3,6,0.6,0,48,0.916666666666667
"flag_dic5",1.5,0.3,6,0.6,0.15,46,0.869565217391304
"flag_dic5",1.5,0.3,12,0.25,0,50,0.96
"flag_dic5",1.5,0.3,12,0.25,0.15,48,0.9375
"flag_dic5",1.5,0.3,12,0.6,0,47,0.978723404255319
"flag_dic5",1.5,0.3,12,0.6,0.15,44,0.954545454545455
"flag_dic5",1.5,0.6,6,0.25,0,50,1
"flag_dic5",1.5,0.6,6,0.25,0.15,46,1
"flag_dic5",1.5,0.6,6,0.6,0,42,1
"flag_dic5",1.5,0.6,6,0.6,0.15,40,0.975
"flag_dic5",1.5,0.6,12,0.25,0,45,1
"flag_dic5",1.5,0.6,12,0.25,0.15,41,1
"flag_dic5",1.5,0.6,12,0.6,0,36,1
"flag_dic5",1.5,0.6,12,0.6,0.15,33,1
"flag_dic5",1.5,1.2,6,0.25,0,47,1
"flag_dic5",1.5,1.2,6,0.25,0.15,38,1
"flag_dic5",1.5,1.2,6,0.6,0,26,1
"flag_dic5",1.5,1.2,6,0.6,0.15,27,0.962962962962963
"flag_dic5",1.5,1.2,12,0.25,0,27,1
"flag_dic5",1.5,1.2,12,0.25,0.15,27,1
"flag_dic5",1.5,1.2,12,0.6,0,8,1
"flag_dic5",1.5,1.2,12,0.6,0.15,7,1
"flag_margin",0,0,6,0.25,0,13,0.384615384615385
"flag_margin",0,0,6,0.25,0.15,20,0.65
"flag_margin",0,0,6,0.6,0,35,0.542857142857143
"flag_margin",0,0,6,0.6,0.15,29,0.551724137931034
"flag_margin",0,0,12,0.25,0,32,0.3125
"flag_margin",0,0,12,0.25,0.15,30,0.233333333333333
"flag_margin",0,0,12,0.6,0,39,0.384615384615385
"flag_margin",0,0,12,0.6,0.15,39,0.282051282051282
"flag_margin",0,0.3,6,0.25,0,18,0.555555555555556
"flag_margin",0,0.3,6,0.25,0.15,19,0.421052631578947
"flag_margin",0,0.3,6,0.6,0,30,0.4
"flag_margin",0,0.3,6,0.6,0.15,28,0.357142857142857
"flag_margin",0,0.3,12,0.25,0,31,0.225806451612903
"flag_margin",0,0.3,12,0.25,0.15,29,0.413793103448276
"flag_margin",0,0.3,12,0.6,0,40,0.3
"flag_margin",0,0.3,12,0.6,0.15,32,0.25
"flag_margin",0,0.6,6,0.25,0,17,0.470588235294118
"flag_margin",0,0.6,6,0.25,0.15,11,0.272727272727273
"flag_margin",0,0.6,6,0.6,0,28,0.571428571428571
"flag_margin",0,0.6,6,0.6,0.15,23,0.608695652173913
"flag_margin",0,0.6,12,0.25,0,28,0.25
"flag_margin",0,0.6,12,0.25,0.15,19,0.526315789473684
"flag_margin",0,0.6,12,0.6,0,32,0.4375
"flag_margin",0,0.6,12,0.6,0.15,26,0.423076923076923
"flag_margin",0,1.2,6,0.25,0,10,0.7
"flag_margin",0,1.2,6,0.25,0.15,7,0.428571428571429
"flag_margin",0,1.2,6,0.6,0,6,0.666666666666667
"flag_margin",0,1.2,6,0.6,0.15,10,0.6
"flag_margin",0,1.2,12,0.25,0,13,0.307692307692308
"flag_margin",0,1.2,12,0.25,0.15,14,0.357142857142857
"flag_margin",0,1.2,12,0.6,0,4,1
"flag_margin",0,1.2,12,0.6,0.15,2,0.5
"flag_margin",0.5,0,6,0.25,0,13,0.384615384615385
"flag_margin",0.5,0,6,0.25,0.15,20,0.65
"flag_margin",0.5,0,6,0.6,0,35,0.542857142857143
"flag_margin",0.5,0,6,0.6,0.15,29,0.551724137931034
"flag_margin",0.5,0,12,0.25,0,32,0.3125
"flag_margin",0.5,0,12,0.25,0.15,30,0.233333333333333
"flag_margin",0.5,0,12,0.6,0,39,0.41025641025641
"flag_margin",0.5,0,12,0.6,0.15,39,0.282051282051282
"flag_margin",0.5,0.3,6,0.25,0,18,0.388888888888889
"flag_margin",0.5,0.3,6,0.25,0.15,19,0.473684210526316
"flag_margin",0.5,0.3,6,0.6,0,30,0.766666666666667
"flag_margin",0.5,0.3,6,0.6,0.15,28,0.607142857142857
"flag_margin",0.5,0.3,12,0.25,0,31,0.387096774193548
"flag_margin",0.5,0.3,12,0.25,0.15,29,0.482758620689655
"flag_margin",0.5,0.3,12,0.6,0,40,0.525
"flag_margin",0.5,0.3,12,0.6,0.15,32,0.53125
"flag_margin",0.5,0.6,6,0.25,0,17,0.705882352941177
"flag_margin",0.5,0.6,6,0.25,0.15,11,0.727272727272727
"flag_margin",0.5,0.6,6,0.6,0,28,0.75
"flag_margin",0.5,0.6,6,0.6,0.15,23,0.869565217391304
"flag_margin",0.5,0.6,12,0.25,0,28,0.857142857142857
"flag_margin",0.5,0.6,12,0.25,0.15,19,0.736842105263158
"flag_margin",0.5,0.6,12,0.6,0,32,0.75
"flag_margin",0.5,0.6,12,0.6,0.15,26,0.961538461538462
"flag_margin",0.5,1.2,6,0.25,0,10,1
"flag_margin",0.5,1.2,6,0.25,0.15,7,1
"flag_margin",0.5,1.2,6,0.6,0,6,0.833333333333333
"flag_margin",0.5,1.2,6,0.6,0.15,10,0.8
"flag_margin",0.5,1.2,12,0.25,0,13,1
"flag_margin",0.5,1.2,12,0.25,0.15,14,1
"flag_margin",0.5,1.2,12,0.6,0,4,0.75
"flag_margin",0.5,1.2,12,0.6,0.15,2,0.5
