"cell","c_trunc","align","shape","b","method","bias","mcse","rmse","coverage","emp_sd","mean_se","ess_frac","unsup_mass","align_score"
8,1.5,"full","linear",0.3,"gcomp",-0.00186671552648717,0.0041252076489444,0.130398640466913,0.945,0.130450519918126,0.129368333342316,0.587556317472194,0.143686893154422,0.0217074380560967
8,1.5,"full","linear",0.3,"trimmed_vs_restricted",0.000196543472498256,0.00296545057873265,0.0937290876254937,0.949,0.0937757811745965,0.0944602247493101,0.587556317472194,0.143686893154422,0.0217074380560967
9,1,"full","linear",0.3,"maic",0.0065384119743055,0.00493566140629482,0.156138219521091,0.933,0.156079318032813,0.149689304635154,0.409883770537822,0.280712790723944,0.0522315489555208
9,1,"full","linear",0.3,"gcomp",-0.00310654671204927,0.00641866198627432,0.202898184084587,0.951,0.202975914073673,0.204946241404295,0.409883770537822,0.280712790723944,0.0522315489555208
9,1,"full","linear",0.3,"trimmed_vs_restricted",0.00392034454496621,0.0030228653753742,0.0956239847732241,0.942,0.0955913964624232,0.0933697515294497,0.409883770537822,0.280712790723944,0.0522315489555208
10,Inf,"orthogonal","bent",0.3,"maic",-0.00552906631366391,0.00457572080029272,0.144730280852661,0.945,0.144696996659335,0.145883153904731,0.723800083301,0.0113098288616714,0.000916580638399382
10,Inf,"orthogonal","bent",0.3,"gcomp",0.00147151764697441,0.00308818353785801,0.0976191889441779,0.949,0.0976569381226814,0.0972121860931766,0.723800083301,0.0113098288616714,0.000916580638399382
10,Inf,"orthogonal","bent",0.3,"trimmed_vs_restricted",-0.00997397104004112,0.00306176269598312,0.0972856439255809,0.943,0.0968214377424434,0.0958604395574409,0.723800083301,0.0113098288616714,0.000916580638399382
11,1.5,"orthogonal","bent",0.3,"maic",-0.00407417268616292,0.00486907641543531,0.153950628830433,0.941,0.153973715741838,0.154489476701548,0.589705062676266,0.143810620189321,0.00617404796546742
11,1.5,"orthogonal","bent",0.3,"gcomp",0.00262869270392337,0.00402844976477385,0.127354187701586,0.955,0.127390766962549,0.128951660931019,0.589705062676266,0.143810620189321,0.00617404796546742
11,1.5,"orthogonal","bent",0.3,"trimmed_vs_restricted",-0.00662536831774625,0.00303481783969912,0.0961499074683989,0.95,0.0959693665716099,0.0943380237371768,0.589705062676266,0.143810620189321,0.00617404796546742
12,1,"orthogonal","bent",0.3,"maic",0.00398480124379294,0.00565836680148634,0.178888167261714,0.945,0.178933269293787,0.179423198694059,0.409387676125794,0.280894045988308,0.0150945934152947
12,1,"orthogonal","bent",0.3,"gcomp",0.020192346164154,0.00659254559305882,0.209346427203274,0.942,0.208474596525714,0.205101535635747,0.409387676125794,0.280894045988308,0.0150945934152947
12,1,"orthogonal","bent",0.3,"trimmed_vs_restricted",0.00157674916910881,0.00293993025641808,0.0929356382698916,0.947,0.0929687577232398,0.0935362181680928,0.409387676125794,0.280894045988308,0.0150945934152947
13,Inf,"partial","bent",0.3,"maic",0.00178286008048353,0.00442272098900929,0.139800139755807,0.942,0.139858717807019,0.141616654254654,0.72448748252664,0.0118465645653067,0.000848300915659131
13,Inf,"partial","bent",0.3,"gcomp",0.00490294065383134,0.00303625447449604,0.0960919414920853,0.949,0.0960147969528512,0.0968750951063343,0.72448748252664,0.0118465645653067,0.000848300915659131
13,Inf,"partial","bent",0.3,"trimmed_vs_restricted",-0.00810415521423679,0.00299980642709332,0.0951604807321128,0.949,0.0948622084922673,0.0954613898783468,0.72448748252664,0.0118465645653067,0.000848300915659131
14,1.5,"partial","bent",0.3,"maic",-0.0490119559020966,0.00472948830884234,0.157314536598377,0.92,0.149559552230797,0.143118923102638,0.590357048715252,0.1437150043386,0.0125995382577799
14,1.5,"partial","bent",0.3,"gcomp",-0.0305696521145949,0.00412786246822113,0.134002660191503,0.942,0.130534472675032,0.129044614785657,0.590357048715252,0.1437150043386,0.0125995382577799
14,1.5,"partial","bent",0.3,"trimmed_vs_restricted",-0.000133795658604389,0.00310211256259972,0.0980484428737461,0.945,0.0980974125603679,0.094377420704091,0.590357048715252,0.1437150043386,0.0125995382577799
15,1,"partial","bent",0.3,"maic",-0.0688016604179671,0.00528556639723956,0.180673582473359,0.916,0.167144285393273,0.162346893165092,0.408155749012457,0.280817869399586,0.0277114938099544
15,1,"partial","bent",0.3,"gcomp",-0.0645075759082701,0.00660886610891929,0.21861990184779,0.941,0.208990696552794,0.205031268545737,0.408155749012457,0.280817869399586,0.0277114938099544
15,1,"partial","bent",0.3,"trimmed_vs_restricted",0.00889557313455849,0.00298124867379767,0.0946471712876703,0.956,0.0942753608055697,0.0935932947203877,0.408155749012457,0.280817869399586,0.0277114938099544
16,Inf,"full","bent",0.3,"maic",-0.00193818612803838,0.00455658291975942,0.144032781068081,0.947,0.1440918037386,0.145683248986922,0.722806807653753,0.0113643990212868,0.000897577655770947
16,Inf,"full","bent",0.3,"gcomp",-0.00108522772571873,0.00305783444252586,0.0966549473417486,0.949,0.0966972154609295,0.097144739436121,0.722806807653753,0.0113643990212868,0.000897577655770947
16,Inf,"full","bent",0.3,"trimmed_vs_restricted",-0.0132804987461435,0.00303935444931448,0.0969783967698244,0.941,0.0961128267640054,0.0957847811305016,0.722806807653753,0.0113643990212868,0.000897577655770947
17,1.5,"full","bent",0.3,"maic",-0.0969231082770669,0.00439177293723765,0.169299943239237,0.876,0.138880054479587,0.13502468220688,0.592988750700485,0.143706915802723,0.0235741668035852
17,1.5,"full","bent",0.3,"gcomp",-0.0588270490162507,0.00426887638249371,0.147192744248499,0.917,0.134993724183803,0.129115126085673,0.592988750700485,0.143706915802723,0.0235741668035852
17,1.5,"full","bent",0.3,"trimmed_vs_restricted",0.00819201306171789,0.00305541948705022,0.0969193568468537,0.949,0.0966208478634205,0.094308746173231,0.592988750700485,0.143706915802723,0.0235741668035852
18,1,"full","bent",0.3,"maic",-0.150954834049738,0.00490762268231923,0.216444074889118,0.811,0.155192655728337,0.150084772111277,0.410314739017372,0.280917002919652,0.0508656436709194
18,1,"full","bent",0.3,"gcomp",-0.141201479534447,0.00683661542564101,0.258128706250102,0.877,0.216192762316671,0.205089270075401,0.410314739017372,0.280917002919652,0.0508656436709194
18,1,"full","bent",0.3,"trimmed_vs_restricted",0.00575853481105341,0.00304836491100623,0.0965214837494404,0.94,0.0963977625811618,0.0934076368227947,0.410314739017372,0.280917002919652,0.0508656436709194
19,Inf,"orthogonal","linear",0.6,"maic",-0.0067335028604119,0.00445453188229992,0.140955140015919,0.961,0.140864666579048,0.142195630400885,0.724264236301486,0.0120630019439773,0.00127399063142099
19,Inf,"orthogonal","linear",0.6,"gcomp",0.00295369785907627,0.00316644496532181,0.10012527990341,0.95,0.100131781759898,0.0971065978505817,0.724264236301486,0.0120630019439773,0.00127399063142099
19,Inf,"orthogonal","linear",0.6,"trimmed_vs_restricted",-0.00464438555248399,0.00313224805687342,0.0991097231812179,0.953,0.0990503805635663,0.0956460628425623,0.724264236301486,0.0120630019439773,0.00127399063142099
20,1.5,"orthogonal","linear",0.6,"maic",-0.00419639715808434,0.00466668938023521,0.14755955248962,0.96,0.147573675740628,0.150997483862591,0.590688208141294,0.143632731431614,0.00653193236572328
20,1.5,"orthogonal","linear",0.6,"gcomp",0.00517283252844083,0.00404317110256454,0.12789700359436,0.963,0.127856296538782,0.12912358707207,0.590688208141294,0.143632731431614,0.00653193236572328
20,1.5,"orthogonal","linear",0.6,"trimmed_vs_restricted",0.00188226809656117,0.00299626020290025,0.0947213838658816,0.949,0.0947500670368302,0.0943071325803667,0.590688208141294,0.143632731431614,0.00653193236572328
21,1,"orthogonal","linear",0.6,"maic",0.00685741455029657,0.0052924102471792,0.167417504319404,0.965,0.16736070693101,0.17570196309751,0.409898880776838,0.280659223104214,0.0150089722233304
21,1,"orthogonal","linear",0.6,"gcomp",0.0165077147361259,0.00663663670389416,0.210412467402825,0.942,0.20986887987378,0.205398402586468,0.409898880776838,0.280659223104214,0.0150089722233304
21,1,"orthogonal","linear",0.6,"trimmed_vs_restricted",0.00847481229489893,0.00285663197896631,0.0906863184853345,0.955,0.0903346349040776,0.0934784431992556,0.409898880776838,0.280659223104214,0.0150089722233304
22,Inf,"partial","linear",0.6,"maic",0.00917359399215129,0.00459990893980146,0.145678268519857,0.938,0.14546189279143,0.140203753586016,0.721839574455349,0.0117262371273102,0.00116523381979992
22,Inf,"partial","linear",0.6,"gcomp",0.0132579958061905,0.0031834859725295,0.101490013337036,0.939,0.100670665723894,0.0972690707188545,0.721839574455349,0.0117262371273102,0.00116523381979992
22,Inf,"partial","linear",0.6,"trimmed_vs_restricted",0.00541417281473299,0.00314325539290022,0.0994961691614261,0.941,0.0993984630917215,0.0958482168665626,0.721839574455349,0.0117262371273102,0.00116523381979992
23,1.5,"partial","linear",0.6,"maic",-0.00156755938137156,0.00438055970044971,0.138465054177323,0.954,0.13852546079766,0.142487112735369,0.590328973071901,0.143723860217975,0.0216920183384707
23,1.5,"partial","linear",0.6,"gcomp",0.00362871994404985,0.0040708336753785,0.128717841553591,0.951,0.128731063899106,0.128902068838128,0.590328973071901,0.143723860217975,0.0216920183384707
23,1.5,"partial","linear",0.6,"trimmed_vs_restricted",0.00684959509709782,0.00295780089443764,0.0937376898477829,0.955,0.0935338769170619,0.0941372803438661,0.590328973071901,0.143723860217975,0.0216920183384707
24,1,"partial","linear",0.6,"maic",-0.000890412628712066,0.00506061866825677,0.159953256543444,0.943,0.160030813612594,0.162722855908383,0.409239478611063,0.280745194767595,0.051428737193583
