"cell","gamma","imbalance","mu1_t","method","bias","mcse","rmse","location_error","loc_mcse","region_includes"
2,0.25,0.1,0.5,"dr_o_wrong",0.0257572716621858,0.00161339210962892,0.0765957061995378,0.000757271662185964,0.00161339210962892,0.6475
2,0.25,0.1,0.5,"dr_both_wrong",0.2242372937507,0.0018884902431208,0.239607154129346,0.1992372937507,0.0018884902431208,0.817
3,0.5,0.1,0.5,"maic_wrong",0.248758106356984,0.00192772153505869,0.26326621507792,0.198758106356984,0.00192772153505869,0.7265
3,0.5,0.1,0.5,"maic_right",0.047060330171498,0.00166277300689845,0.0879860102898075,-0.0029396698285021,0.00166277300689845,0.738
3,0.5,0.1,0.5,"or_wrong",0.150493148657395,0.00190600757973562,0.172945901125011,0.100493148657395,0.00190600757973562,0.925
3,0.5,0.1,0.5,"or_right",0.0476949939840654,0.00156766880905552,0.0847792772758546,-0.00230500601593465,0.00156766880905552,0.751
3,0.5,0.1,0.5,"dr_both_right",0.0470612906278156,0.00166278881029108,0.0879871210131719,-0.00293870937218446,0.00166278881029108,0.738
3,0.5,0.1,0.5,"dr_w_wrong",0.0476621636937536,0.00159409043817595,0.0857402436071477,-0.00233783630624642,0.00159409043817595,0.7495
3,0.5,0.1,0.5,"dr_o_wrong",0.0470615542222895,0.00166277605397427,0.0879867801033333,-0.00293844577771053,0.00166277605397427,0.738
3,0.5,0.1,0.5,"dr_both_wrong",0.248755706900314,0.00192778604564303,0.263264892137158,0.198755706900314,0.00192778604564303,0.7265
4,1,0.1,0.5,"maic_wrong",0.300913216875288,0.00198231030663879,0.313694027421141,0.200913216875288,0.00198231030663879,0.493
4,1,0.1,0.5,"maic_right",0.101744433052757,0.001802076986403,0.129783069410493,0.0017444330527574,0.001802076986403,0.9
4,1,0.1,0.5,"or_wrong",0.202842218545177,0.00198719675886959,0.221447326898056,0.102842218545177,0.00198719675886959,0.8515
4,1,0.1,0.5,"or_right",0.101360189595401,0.00172136004438325,0.127267771879653,0.0013601895954011,0.00172136004438324,0.906
4,1,0.1,0.5,"dr_both_right",0.101743358994512,0.00180210096071906,0.129782892851341,0.00174335899451211,0.00180210096071906,0.9005
4,1,0.1,0.5,"dr_w_wrong",0.101308739691087,0.00174418886252617,0.12784681505352,0.00130873969108661,0.00174418886252617,0.8955
4,1,0.1,0.5,"dr_o_wrong",0.101744021947147,0.0018020824754687,0.129782899480309,0.00174402194714718,0.0018020824754687,0.9
4,1,0.1,0.5,"dr_both_wrong",0.300909718007202,0.00198235020543715,0.313691175127433,0.200909718007202,0.00198235020543715,0.493
5,0,0.3,0.5,"maic_wrong",0.19459825679118,0.00187874973384935,0.211953657601093,0.19459825679118,0.00187874973384935,0.888
5,0,0.3,0.5,"maic_right",-0.000490553543492311,0.00159879040769527,0.0714838866283034,-0.000490553543492311,0.00159879040769527,0.5025
5,0,0.3,0.5,"or_wrong",0.097326204629392,0.00191970908183563,0.129766215720301,0.097326204629392,0.00191970908183563,0.869
5,0,0.3,0.5,"or_right",-0.000821672911502536,0.00151590195393654,0.0677812264239648,-0.000821672911502536,0.00151590195393654,0.4995
5,0,0.3,0.5,"dr_both_right",-0.000491509537075124,0.00159883178415378,0.0714857431002277,-0.000491509537075124,0.00159883178415378,0.502
5,0,0.3,0.5,"dr_w_wrong",-0.000924570445259503,0.00153489296552693,0.0686315653714873,-0.000924570445259503,0.00153489296552693,0.4995
5,0,0.3,0.5,"dr_o_wrong",-0.000490307498078367,0.00159883199752619,0.0714857443852518,-0.000490307498078367,0.00159883199752619,0.5025
5,0,0.3,0.5,"dr_both_wrong",0.194592925444252,0.00187878551556734,0.211949396849696,0.194592925444252,0.00187878551556734,0.8885
6,0.25,0.3,0.5,"maic_wrong",0.27749482144796,0.00189346090465963,0.290120973270094,0.20249482144796,0.00189346090465963,0.618
6,0.25,0.3,0.5,"maic_right",0.0779410598580896,0.00161830920429255,0.106348668296869,0.00294105985808967,0.00161830920429255,0.8635
6,0.25,0.3,0.5,"or_wrong",0.179080700461254,0.0019261526046406,0.198711637622371,0.104080700461255,0.0019261526046406,0.896
6,0.25,0.3,0.5,"or_right",0.0775162519929978,0.00153992408543111,0.103678012783014,0.00251625199299787,0.00153992408543111,0.8715
6,0.25,0.3,0.5,"dr_both_right",0.0779382731522976,0.00161833132211762,0.106347298799678,0.00293827315229768,0.00161833132211762,0.864
6,0.25,0.3,0.5,"dr_w_wrong",0.0775077125977225,0.00156646945798717,0.104463605199043,0.00250771259772257,0.00156646945798718,0.868
6,0.25,0.3,0.5,"dr_o_wrong",0.0779403475886045,0.00161833195264289,0.106348838272044,0.00294034758860449,0.00161833195264289,0.864
6,0.25,0.3,0.5,"dr_both_wrong",0.277490806038945,0.0018935385924992,0.290118146192736,0.202490806038945,0.0018935385924992,0.618
7,0.5,0.3,0.5,"maic_wrong",0.349009344262316,0.00188344859482637,0.359024695839311,0.199009344262317,0.00188344859482637,0.285
7,0.5,0.3,0.5,"maic_right",0.15132870725162,0.0016475000732315,0.168303821598177,0.00132870725162019,0.0016475000732315,0.9635
7,0.5,0.3,0.5,"or_wrong",0.250410175869766,0.001897304758864,0.264388326349321,0.100410175869766,0.001897304758864,0.7195
7,0.5,0.3,0.5,"or_right",0.151138697617174,0.00157403811293891,0.166720185590717,0.00113869761717366,0.00157403811293891,0.9755
7,0.5,0.3,0.5,"dr_both_right",0.151327246389661,0.00164754225354434,0.168303333475092,0.00132724638966153,0.00164754225354434,0.9635
7,0.5,0.3,0.5,"dr_w_wrong",0.151301525180987,0.00158934319804077,0.167157557748995,0.00130152518098703,0.00158934319804077,0.9735
7,0.5,0.3,0.5,"dr_o_wrong",0.151328268214305,0.00164752360329287,0.168303887279918,0.00132826821430479,0.00164752360329287,0.9635
