"cell","shift","prev","em","align","trim","n_ok","bias_target","bias_induced","mcse","emp_sd","gap","se_fixed","se_ess","se_stack","se_stack_hc1","cov_se_fixed","cov_se_ess","cov_se_stack","cov_se_stack_hc1","ratio_stack_fixed","ratio_mcse","ess"
11,0.5,0.3,0.5,"positive","none",1000,0.00282847765319395,-0.000377618178010069,0.00932841985808758,0.294990537219014,0.00320609583120401,0.300060738778177,0.293043875451469,0.289814603465345,0.291643104906961,0.957,0.954,0.946,0.947,0.966262169658413,0.000983373804924603,190.109903855425
12,0.8,0.3,0.5,"positive","none",1000,0.0165369863838471,0.0119773275330517,0.0147621992792998,0.466821729958836,0.00455965885079535,0.445066832953483,0.484926842100866,0.402465929166576,0.40500517157494,0.939,0.963,0.896,0.901,0.906421505082887,0.00248316973632362,70.4488185001621
13,0.2,0.1,1,"positive","none",1000,0.00237293800865142,-0.00311406774070694,0.0103009363313738,0.325744208395202,0.00548700574935834,0.319153750180566,0.288534987029019,0.313446155645926,0.315423753533039,0.949,0.916,0.943,0.946,0.982142392753629,0.000398602953869656,351.64735950516
14,0.5,0.1,1,"positive","none",1000,0.0247852145521863,0.0186315603545265,0.0127769676097721,0.404043192370774,0.00615365419765979,0.400990660895721,0.34379666637937,0.381908315371695,0.384317855459986,0.954,0.908,0.93,0.932,0.953174122744812,0.00122961298715164,190.465491760159
15,0.8,0.1,1,"positive","none",1000,-0.0028673797492439,-0.010370764315159,0.0191000852507843,0.603997728958668,0.0075033845659151,0.550763454191798,0.515683425433547,0.491573443821299,0.494674884328228,0.923,0.921,0.879,0.884,0.89447086891452,0.00256055618760302,70.3155201666982
16,0.2,0.3,1,"positive","none",1000,-0.012566692799237,-0.0168354803336998,0.00686304769632419,0.21702862410756,0.0042687875344628,0.230018328866101,0.221377972611114,0.225932013884278,0.227357466598375,0.955,0.951,0.953,0.953,0.982246471677715,0.000357962369544608,352.219238128775
17,0.5,0.3,1,"positive","none",1000,0.00576263306316282,0.000353364321942218,0.00930427143668946,0.294226897083858,0.0054092687412206,0.293814906869502,0.292026356548263,0.282384660584909,0.284166284950264,0.954,0.954,0.941,0.943,0.961431848762797,0.00111895038861927,189.835062201164
18,0.8,0.3,1,"positive","none",1000,0.0138931893051093,0.0064188566889443,0.014024872644281,0.443505414497163,0.00747433261616498,0.434555473271672,0.488198998522092,0.394225797696974,0.396713051378437,0.941,0.98,0.902,0.905,0.908519293061757,0.00243193547796296,70.7280378265162
19,0.2,0.1,0.5,"negative","none",1000,-0.0255864573985868,-0.0226222086848848,0.0125054811322137,0.395458036140567,-0.00296424871370204,0.369172300462823,0.342215844140463,0.365093845494416,0.367397299546866,0.939,0.919,0.935,0.938,0.988942477297413,0.000308878219749758,351.676232502651
20,0.5,0.1,0.5,"negative","none",1000,-0.0247099124892864,-0.0205461653132255,0.0153370125830176,0.484998922649978,-0.00416374717606094,0.465979975545536,0.41845354007495,0.44840172183813,0.45123078284817,0.938,0.918,0.921,0.923,0.962905328592952,0.00108786298858938,190.058217916336
21,0.8,0.1,0.5,"negative","none",1000,-0.0629961909881718,-0.0570019923230649,0.024661096423466,0.779852342951848,-0.00599419866510698,0.635702948369628,0.640559749917178,0.575137462857913,0.57876612638069,0.895,0.917,0.856,0.858,0.907533767905225,0.00248193079159679,71.0025328639228
22,0.2,0.3,0.5,"negative","none",1000,-0.00053623850849995,0.0021840994899449,0.00779786657918306,0.246590192803242,-0.00272033799844484,0.240999506154453,0.232332797337624,0.238124734701733,0.239627113862341,0.944,0.931,0.939,0.941,0.988066826977277,0.000291592447986461,351.796844419395
23,0.5,0.3,0.5,"negative","none",1000,-0.0206270184752102,-0.0169740038868053,0.0100686531004752,0.318398767676177,-0.00365301458840483,0.314649204909416,0.303263538337965,0.303847014101445,0.305764048980543,0.945,0.937,0.936,0.939,0.965702329532454,0.00093023310549242,190.329859655113
24,0.8,0.3,0.5,"negative","none",1000,-0.059216763745752,-0.0539812238756495,0.0164571249963182,0.520419987264555,-0.0052355398701025,0.471015242135543,0.491293992093613,0.423626260859094,0.42629900826183,0.907,0.951,0.866,0.868,0.900789039998864,0.00243887009970346,70.7222646584896
25,0.2,0.1,1,"negative","none",1000,0.00729525321186484,0.0123653450575727,0.0118196926863029,0.373771501319511,-0.00507009184570784,0.359525328529054,0.340808006815022,0.352579165983099,0.354803662283751,0.954,0.943,0.945,0.945,0.98061262025134,0.000390779801370427,351.960709832326
26,0.5,0.1,1,"negative","none",1000,-0.0081181986179206,0.000251135802593641,0.0146824020607631,0.464298320343613,-0.00836933442051424,0.459164092995358,0.4309533272966,0.438552122489404,0.441319040300332,0.94,0.94,0.924,0.925,0.95569758463978,0.00116760463748583,191.361818657824
27,0.8,0.1,1,"negative","none",1000,-0.070016736813495,-0.0562940189338127,0.0223452000642911,0.706617269753009,-0.0137227178796824,0.635486735417258,0.695878539154784,0.57452661509556,0.578151424651005,0.915,0.948,0.883,0.883,0.906926837873482,0.00261298456187851,69.8837725091572
28,0.2,0.3,1,"negative","none",1000,-0.0134441374255485,-0.00831400332760882,0.00767049495760791,0.242562348468777,-0.00513013409793972,0.239535281836957,0.233843968246709,0.232656117680489,0.234123994183235,0.945,0.941,0.936,0.939,0.971253739197897,0.000475223431610593,352.10817856091
29,0.5,0.3,1,"negative","none",1000,-0.00202026973266256,0.00565255685766642,0.00980402163698018,0.310030386024298,-0.00767282659032897,0.314265125916299,0.309137192409644,0.296955894997113,0.298829452352767,0.96,0.956,0.935,0.935,0.944844551565207,0.00131032285361339,190.497471309052
30,0.8,0.3,1,"negative","none",1000,-0.01382275268408,-0.00190109728639512,0.0155453622699737,0.491587518255624,-0.0119216553976849,0.475380280548474,0.503832831847649,0.421746942725065,0.424407833113433,0.942,0.962,0.893,0.895,0.88712005617841,0.00257177384746183,71.2269540535403
31,0.2,0.1,0,"positive","p99",1000,-0.00852211464197094,-0.00692562567483577,0.0118632735307118,0.375149648626369,-0.00159648896713516,0.357209607354507,0.326512823075685,NA,NA,0.952,0.932,NA,NA,NA,NA,354.354829801795
32,0.5,0.1,0,"positive","p99",1000,-0.0252718095550262,-0.0181891653677391,0.0147231400144547,0.465586567552413,-0.0070826441872871,0.429857447221201,0.376384789081607,NA,NA,0.938,0.903,NA,NA,NA,NA,210.121806516651
33,0.8,0.1,0,"positive","p99",1000,-0.0279332572935967,-0.0116561070453819,0.0195353873099197,0.61776318872896,-0.0162771502482147,0.549493943459797,0.503683436651742,NA,NA,0.908,0.898,NA,NA,NA,NA,99.3825173642535
34,0.2,0.3,0,"positive","p99",1000,-0.00456998818053657,-0.00339404713238213,0.00754596235687389,0.238624281856138,-0.00117594104815444,0.237615797921753,0.228095707305604,NA,NA,0.949,0.941,NA,NA,NA,NA,354.132462187012
35,0.5,0.3,0,"positive","p99",1000,-0.0102234992022475,-0.0052807223110945,0.0092009842064328,0.290960668075645,-0.00494277689115297,0.294688674996636,0.283986434215213,NA,NA,0.952,0.941,NA,NA,NA,NA,209.522482737074
36,0.8,0.3,0,"positive","p99",1000,-0.0410035921978708,-0.0297989102249235,0.0130432019444949,0.41246226126141,-0.0112046819729473,0.403051529042043,0.409365098165779,NA,NA,0.942,0.949,NA,NA,NA,NA,100.60431542615
