"cell","ratio","het","K","method","n","bias","coverage","cov_mcse","width","se_ratio","tau_shared","tau1","tau2"
7,2,"bridging",6,"shared_hk",2000,-0.000545764909931842,0.9755,0.00345685912353975,0.514619990733396,1.06822499119818,0.0659759988051305,0.0822003073011225,0.0549169892373072
8,5,"bridging",6,"stratified",2000,-0.000315921889616003,0.939,0.00535158854920668,0.560584901749135,1.00199770737809,0.156866543103093,0.218597121246858,0.0589177386757957
8,5,"bridging",6,"stratified_hk",2000,-0.000315921889616003,0.9655,0.00408103847078167,0.646005409322464,1.01572304411955,0.156866543103093,0.218597121246858,0.0589177386757957
8,5,"bridging",6,"shrunk",2000,-0.00032603959264697,0.932,0.00562920953598283,0.556482194589303,0.993341424028777,0.156866543103093,0.218597121246858,0.0589177386757957
8,5,"bridging",6,"shared",2000,-0.000447031968658565,0.925,0.00588960949469487,0.547257904350586,0.973895404467934,0.156866543103093,0.218597121246858,0.0589177386757957
8,5,"bridging",6,"shared_hk",2000,-0.000447031968658565,0.967,0.00399443362693637,0.693157704582621,1.08509096720675,0.156866543103093,0.218597121246858,0.0589177386757957
9,2,"other",6,"stratified",2000,-0.000434985450421516,0.9605,0.00435544199823623,0.438212602964794,1.05802242993492,0.0672182401340204,0.057098546648646,0.080165213252825
9,2,"other",6,"stratified_hk",2000,-0.000434985450421516,0.977,0.00335193973692846,0.506272912523979,1.07524770090634,0.0672182401340204,0.057098546648646,0.080165213252825
9,2,"other",6,"shrunk",2000,-0.000514938426034166,0.958,0.00448530935387962,0.433579585126038,1.04755190253582,0.0672182401340204,0.057098546648646,0.080165213252825
9,2,"other",6,"shared",2000,-0.000647398698614059,0.95,0.00487339717240448,0.425176073661281,1.02765085369971,0.0672182401340204,0.057098546648646,0.080165213252825
9,2,"other",6,"shared_hk",2000,-0.000647398698614059,0.978,0.00327993902382346,0.514369650803999,1.09361869642076,0.0672182401340204,0.057098546648646,0.080165213252825
10,5,"other",6,"shrunk",2000,0.00223531941130834,0.922,0.00599649897857074,0.557823677198942,1.01048433485066,0.15863262003384,0.0555118068576833,0.221144229631012
10,5,"other",6,"shared_hk",2000,0.0023165176413407,0.964,0.00416557318985035,0.69569653034329,1.10326021091453,0.15863262003384,0.0555118068576833,0.221144229631012
10,5,"other",6,"stratified_hk",2000,0.00201776554398313,0.96,0.00438178046004133,0.647502184028863,1.03382681269804,0.15863262003384,0.0555118068576833,0.221144229631012
10,5,"other",6,"stratified",2000,0.00201776554398313,0.9275,0.00579843728947723,0.561625698625073,1.01938844369556,0.15863262003384,0.0555118068576833,0.221144229631012
10,5,"other",6,"shared",2000,0.0023165176413407,0.911,0.00636706368744651,0.548854718338958,0.989467879222551,0.15863262003384,0.0555118068576833,0.221144229631012
11,1,"bridging",12,"shrunk",2000,0.000282252082065042,0.9545,0.00465992220965114,0.284614765628647,1.02593506505523,0.0460390909169232,0.0492107771827063,0.0491967895333019
11,1,"bridging",12,"stratified",2000,0.00028779528416755,0.955,0.00463546114210873,0.286047617739088,1.03032183149,0.0460390909169232,0.0492107771827063,0.0491967895333019
11,1,"bridging",12,"shared_hk",2000,0.000284949218150835,0.9675,0.00396508196636589,0.309448318359853,1.05649260541337,0.0460390909169232,0.0492107771827063,0.0491967895333019
11,1,"bridging",12,"stratified_hk",2000,0.00028779528416755,0.968,0.00393547964039963,0.307870066605498,1.04803535166372,0.0460390909169232,0.0492107771827063,0.0491967895333019
11,1,"bridging",12,"shared",2000,0.000284949218150835,0.9535,0.00470838348055891,0.279568239853062,1.00993231188469,0.0460390909169232,0.0492107771827063,0.0491967895333019
12,2,"bridging",12,"shared",2000,-0.000498902616875699,0.9495,0.00489641450451246,0.292216943395526,1.02964526793382,0.0653218856250092,0.0830684465507306,0.0483507850541587
