"cell","departure","m","law","method","n","bias","mcse","rmse","coverage"
6,"threshold",0.8,"normal","maic_means",2000,-0.0153709022293056,0.00726309284886545,0.325097750807495,0.9495
6,"threshold",0.8,"normal","stc_linear",2000,-0.00986072246013993,0.00609857830663539,0.272846762697309,0.9575
6,"threshold",0.8,"normal","maic_means_sds",2000,-0.0178873856837136,0.00734865784248417,0.329046349267577,0.951
6,"threshold",0.8,"normal","unadjusted",2000,0.340539852558566,0.00526750962087438,0.414044634954991,0.683
7,"interaction",0.8,"normal","stc_linear",2000,0.0343981576710186,0.00614668592909468,0.276963801470716,0.9435
7,"interaction",0.8,"normal","unadjusted",2000,0.481282944425401,0.00549373226769379,0.540338116329725,0.477
7,"interaction",0.8,"normal","maic_means",2000,-0.0162483382687543,0.00739453100692913,0.331009829208373,0.944
7,"interaction",0.8,"normal","stc_flexible",2000,-0.0385808464061888,0.0065416200597764,0.295010635281763,0.948
7,"interaction",0.8,"normal","maic_means_sds",2000,-0.0155645376261467,0.00754128398445724,0.33753120172192,0.948
8,"quadratic",0.8,"normal","maic_means",2000,0.00595156261630869,0.0073932226844544,0.33060587514407,0.9465
8,"quadratic",0.8,"normal","maic_means_sds",2000,-0.0041944512681238,0.0075081990554811,0.335719118433607,0.944
8,"quadratic",0.8,"normal","unadjusted",2000,0.438575343771176,0.00538287684131096,0.50027001007292,0.545
8,"quadratic",0.8,"normal","stc_linear",2000,0.0452832550967704,0.00611432001356228,0.277097467941206,0.942
8,"quadratic",0.8,"normal","stc_flexible",2000,-0.021364080743182,0.006594967260615,0.29563510733673,0.9425
9,"linear",1.2,"normal","stc_flexible",2000,0.0196030043742151,0.00947960647497931,0.424287983193626,0.9525
9,"linear",1.2,"normal","maic_means_sds",2000,-0.00255918696392648,0.0129079277068532,0.577121417217318,0.9225
9,"linear",1.2,"normal","maic_means",2000,-0.00164591434665759,0.0122361766708435,0.547084110585115,0.924
9,"linear",1.2,"normal","stc_linear",2000,0.00149805711444615,0.00732260760351266,0.327398515303668,0.9525
9,"linear",1.2,"normal","unadjusted",2000,0.58055300505886,0.00550156059916036,0.630512380977815,0.327
10,"threshold",1.2,"normal","stc_linear",2000,0.00358489119774138,0.00737382487052738,0.329704511030854,0.9495
10,"threshold",1.2,"normal","stc_flexible",2000,-0.0323251624460241,0.00957952845604927,0.429520522958144,0.9465
10,"threshold",1.2,"normal","unadjusted",2000,0.534069730536841,0.00527095263360718,0.583753867195319,0.383
10,"threshold",1.2,"normal","maic_means",2000,-0.0133957735582036,0.0124426628658708,0.556474927806696,0.925
10,"threshold",1.2,"normal","maic_means_sds",2000,-0.0125659102296239,0.0130949488047295,0.585612322968595,0.9235
11,"interaction",1.2,"normal","maic_means",2000,-0.0255072700193162,0.0119253004207127,0.533792083382859,0.929
